Ticker,Spot,Perf_1D,Perf_1W,Perf_1M,Perf_3M,Sigma_1D,Sigma_1W,HV10,HV30,IV30,IV90,Term_Structure,Skew_1M_25D,Carry,Status,Flag,IV_Z,IV_Pct,IV_1D,IV_5D,Skew_Z,Skew_Pct,Skew_1D,Skew_5D
SPY,648.57,-1.7,-2.07,-5.02,-4.7,-2.03,-1.96,15.19,13.91,24.12,21.77,1.11,8.76,37.02,🟢 HEALTHY,Clean,2.0,95.5,-0.02,2.96,-0.0,63.6,1.98,1.21
QQQ,582.06,-1.85,-1.96,-3.2,-5.67,-1.71,-1.68,17.75,17.46,27.15,25.63,1.06,9.45,34.62,🟢 HEALTHY,Clean,1.98,95.5,1.3,4.58,-0.64,27.3,0.31,-0.72
DIA,455.89,-1.12,-2.26,-8.06,-5.25,-1.36,-2.3,13.43,14.44,25.63,21.49,1.19,6.9,47.6,🟢 HEALTHY,Clean,2.32,100.0,2.0,7.44,-0.55,36.4,0.15,-0.84
IWM,242.22,-2.18,-1.77,-7.92,-3.42,-1.76,-1.02,19.7,21.77,31.17,28.38,1.1,8.47,36.8,🟢 HEALTHY,Clean,1.37,90.9,1.48,-0.02,-0.08,59.1,-1.93,-0.31
EFA,93.59,-3.04,-2.81,-10.2,-1.96,-2.26,-1.22,22.55,20.85,30.07,24.57,1.22,-27.2,25.01,🟡 WARNING,Clean | ⚠️ Low Skew Outlier,1.62,95.5,4.91,7.5,-4.0,0.0,-2.03,-32.92
VGK,79.18,-3.47,-3.63,-11.26,-4.36,-2.57,-1.51,23.57,20.71,56.62,34.12,1.66,-43.88,58.37,🟡 WARNING,Clean | ⚠️ High IV Outlier | ⚠️ Low Skew Outlier,4.0,100.0,29.05,29.62,-4.0,0.0,-52.15,-44.89
INDA,46.59,-1.96,-3.06,-12.54,-13.96,-1.8,-1.92,14.97,16.16,26.27,23.74,1.11,2.31,43.01,🟢 HEALTHY,Clean,1.02,90.9,1.57,3.01,-0.5,31.8,-0.05,-3.07
FXI,35.16,-2.85,-2.98,-8.72,-8.91,-2.26,-1.15,22.95,20.5,51.45,28.49,1.81,-39.81,55.39,🟡 WARNING,Clean | ⚠️ High IV Outlier | ⚠️ Low Skew Outlier,4.0,100.0,23.7,23.24,-4.0,0.0,-46.04,-41.31
EWJ,81.2,-3.43,-2.59,-11.61,0.77,-2.13,-1.01,25.14,27.88,36.0,29.26,1.23,-27.09,30.17,🟡 WARNING,Clean | ⚠️ Low Skew Outlier,1.75,95.5,1.8,8.67,-4.0,0.0,-30.8,-30.74
EWY,125.78,-6.71,1.31,-3.75,37.71,-1.52,0.22,75.02,64.57,86.65,61.12,1.42,7.59,13.42,🟢 HEALTHY,Clean,1.41,95.5,16.98,26.78,-0.39,40.9,1.95,-4.58
EWZ,35.06,-3.95,-1.21,-7.1,12.48,-1.83,-0.33,37.93,32.34,55.1,36.37,1.51,-9.05,31.16,🟢 HEALTHY,Clean,3.93,100.0,16.82,19.57,-3.33,0.0,-15.23,-18.02
EEM,55.64,-3.44,-2.04,-8.59,3.57,-1.76,-0.54,32.67,29.03,47.81,34.09,1.4,-40.45,31.67,🟡 WARNING,Clean | ⚠️ High IV Outlier | ⚠️ Low Skew Outlier,4.0,100.0,13.53,19.83,-4.0,0.0,-49.7,-52.09
EWW,69.87,-3.2,-2.32,-13.48,1.48,-1.56,-0.8,28.41,31.66,39.55,75.39,0.52,-0.12,28.17,🟢 HEALTHY,Clean,1.94,95.5,5.07,7.15,-0.94,13.6,-0.17,-5.88
IEF,94.88,-0.9,-0.74,-2.39,-1.41,-2.43,-1.14,6.51,5.82,6.84,5.84,1.17,2.91,4.82,🟢 HEALTHY,Clean,1.73,95.5,-0.22,2.19,1.08,81.8,-1.32,0.31
TLT,85.83,-1.9,-0.82,-4.5,-1.96,-2.62,-0.64,14.96,11.65,14.79,12.86,1.15,4.95,-1.15,🟢 HEALTHY,Clean,3.19,100.0,0.6,4.07,2.07,95.5,-0.21,2.66
