date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,ADM,46.89,0.0421,61.56,31.87,47.84,0.6662,0.7771,0.5177,,,,,,
2025-04-23,ADM,46.48,0.0421,66.99,35.51,35.96,0.9877,0.5368,0.5301,,,,,,
2025-04-24,ADM,47.12,0.042,65.11,30.87,44.19,0.6985,0.6787,0.4741,,,,,,
2025-04-25,ADM,46.61,0.0419,56.09,31.37,39.6,0.7921,0.7059,0.5592,,,,,,
2025-04-28,ADM,46.41,0.0419,47.02,34.21,49.21,0.695,1.0467,0.7275,,,,,,
2025-04-29,ADM,46.15,0.0419,47.32,29.38,48.1,0.6108,1.0164,0.6208,,,,,,
2025-04-30,ADM,46.12,0.0419,47.66,33.42,50.52,0.6616,1.06,0.7013,,,,,,
2025-05-01,ADM,45.96,0.0418,67.35,30.66,54.61,0.5615,0.8108,0.4553,,,,,,
2025-05-02,ADM,46.22,0.0421,50.94,34.38,43.52,0.79,0.8544,0.675,,,,,,
2025-05-05,ADM,45.88,0.0421,44.38,32.98,43.79,0.7532,0.9867,0.7432,,,,,,
2025-05-06,ADM,46.67,0.0421,41.54,26.77,37.58,0.7123,0.9047,0.6444,,,,,,
2025-05-07,ADM,46.25,0.0422,43.66,28.45,32.81,0.8669,0.7516,0.6516,,,,,,
2025-05-08,ADM,46.07,0.0422,43.31,26.96,32.95,0.818,0.7608,0.6224,,,,,,
2025-05-09,ADM,46.88,0.0422,39.93,24.9,35.23,0.7069,0.8822,0.6236,,,,,,
2025-05-12,ADM,48.2,0.0428,37.72,25.62,35.28,0.7263,0.9353,0.6793,,,,,,
2025-05-13,ADM,48.96,0.0428,38.64,29.34,35.56,0.8251,0.9202,0.7593,,,,,,
2025-05-14,ADM,47.73,0.0428,45.63,22.1,35.71,0.6188,0.7824,0.4842,,,,,,
2025-05-15,ADM,47.2,0.0426,36.38,28.78,30.85,0.9328,0.8479,0.791,,,,,,
2025-05-16,ADM,48.42,0.0424,31.42,24.86,31.8,0.7817,1.0121,0.7911,,,,,,
2025-05-19,ADM,48.31,0.0424,37.26,19.08,30.1,0.6339,0.8079,0.5122,,,,,,
2025-05-20,ADM,48.45,0.0425,37.16,20.47,30.97,0.6609,0.8336,0.5509,,,,,,
2025-05-21,ADM,47.13,0.0424,39.8,22.83,37.56,0.6079,0.9435,0.5736,,,,,,
2025-05-22,ADM,46.8,0.0423,38.47,25.98,33.48,0.7761,0.8702,0.6754,,,,,,
2025-05-23,ADM,46.78,0.0423,40.21,23.12,33.27,0.6948,0.8276,0.5749,,,,,,
2025-05-27,ADM,47.46,0.042,34.99,21.43,29.4,0.7287,0.8402,0.6123,,,,,,
2025-05-28,ADM,47.18,0.0422,41.32,22.69,35.55,0.6383,0.8604,0.5492,,,,,,
2025-05-29,ADM,47.2,0.0423,39.68,25.17,32.7,0.7697,0.8241,0.6343,,,,,,
