date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-08-26,ARKG,24.91,0.0409,33.6,43.18,37.82,1.1419,1.1255,1.2852,,,,,,
2025-08-27,ARKG,24.72,0.0406,35.77,37.29,39.79,0.9372,1.1125,1.0426,,,,,,
2025-08-28,ARKG,24.76,0.0407,38.6,36.99,37.63,0.983,0.9748,0.9582,,,,,,
2025-08-29,ARKG,24.72,0.0404,36.4,41.89,37.15,1.1278,1.0203,1.1507,,,,,,
2025-09-02,ARKG,24.8,0.0403,40.04,46.58,39.72,1.1727,0.9921,1.1635,,,,,,
2025-09-03,ARKG,24.86,0.0402,37.91,40.57,41.81,0.9704,1.103,1.0704,,,,,,
2025-09-04,ARKG,24.9,0.04,38.65,46.84,34.66,1.3512,0.8968,1.2118,,,,,,
2025-09-05,ARKG,25.52,0.0391,36.64,38.89,36.81,1.0563,1.0048,1.0614,37.41,42.42,36.94,1.1483,0.9875,1.1339
2025-09-08,ARKG,25.48,0.0393,43.33,40.25,39.39,1.0217,0.9092,0.9289,37.42,41.17,38.18,1.0783,1.0204,1.1003
2025-09-09,ARKG,25.61,0.0394,32.31,49.04,33.57,1.4605,1.039,1.5175,37.71,,35.29,,0.9357,
2025-09-10,ARKG,24.78,0.0393,37.4,38.08,38.28,0.9946,1.0237,1.0181,44.71,40.21,42.78,0.9399,0.9568,0.8993
2025-09-11,ARKG,26.19,0.0393,36.47,41.46,34.77,1.1923,0.9534,1.1367,37.38,41.58,38.0,1.0943,1.0164,1.1122
2025-09-12,ARKG,25.6,0.0393,39.17,39.34,38.91,1.0111,0.9934,1.0044,38.95,40.69,40.36,1.0083,1.036,1.0447
2025-09-15,ARKG,25.93,0.039,33.08,42.79,37.66,1.1362,1.1386,1.2937,37.18,44.15,39.02,1.1315,1.0494,1.1873
2025-09-16,ARKG,26.55,0.0389,39.99,50.49,38.41,1.3146,0.9604,1.2625,38.98,,36.88,,0.946,
2025-09-17,ARKG,26.27,0.0387,50.44,39.54,44.02,0.8982,0.8727,0.7839,43.66,43.34,40.64,1.0664,0.9309,0.9927
2025-09-18,ARKG,27.59,0.0388,34.92,43.74,39.13,1.1178,1.1205,1.2525,38.61,43.91,38.04,1.1544,0.9854,1.1375
2025-09-19,ARKG,27.51,0.0388,46.39,39.81,45.79,0.8694,0.9872,0.8583,45.15,43.06,57.69,0.7463,1.2778,0.9537
2025-09-22,ARKG,27.85,0.0385,44.43,41.6,45.88,0.9066,1.0326,0.9362,42.76,42.95,42.56,1.009,0.9955,1.0045
