date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,ARKK,46.12,0.0421,50.77,60.79,46.52,1.3066,0.9164,1.1974,51.27,56.0,41.71,1.3425,0.8136,1.0922
2025-04-23,ARKK,47.95,0.0421,55.94,47.22,50.76,0.9303,0.9074,0.8441,47.97,50.41,42.65,1.1818,0.8892,1.0509
2025-04-24,ARKK,49.99,0.042,41.06,56.32,42.42,1.3278,1.033,1.3716,41.33,52.78,36.43,1.4488,0.8813,1.2768
2025-04-25,ARKK,51.0,0.0419,43.43,51.2,40.22,1.273,0.9261,1.1789,42.75,50.61,37.87,1.3364,0.8858,1.1839
2025-04-28,ARKK,51.24,0.0419,44.65,61.98,38.86,1.595,0.8702,1.388,41.64,51.06,40.36,1.2653,0.9691,1.2262
2025-04-29,ARKK,51.53,0.0419,42.56,53.1,40.04,1.3261,0.9408,1.2476,43.35,50.53,39.02,1.2949,0.9003,1.1658
2025-04-30,ARKK,50.84,0.0419,47.86,57.46,40.84,1.4071,0.8532,1.2004,38.89,53.12,37.66,1.4103,0.9685,1.366
2025-05-01,ARKK,50.77,0.0418,53.28,46.44,44.0,1.0556,0.8257,0.8716,45.91,49.73,39.51,1.2589,0.8605,1.0833
2025-05-02,ARKK,51.9,0.0421,37.15,46.57,37.81,1.2316,1.0179,1.2537,41.22,46.73,37.81,1.2359,0.9172,1.1336
2025-05-05,ARKK,50.69,0.0421,44.92,49.97,40.94,1.2206,0.9113,1.1123,,,,,,
2025-05-06,ARKK,48.78,0.0421,44.97,50.59,42.68,1.1855,0.9491,1.1252,,,,,,
2025-05-07,ARKK,49.59,0.0422,42.71,49.96,39.7,1.2583,0.9296,1.1698,,,,,,
2025-05-08,ARKK,51.47,0.0422,45.34,45.82,44.01,1.0412,0.9705,1.0105,,,,,,
2025-05-09,ARKK,51.35,0.0422,44.83,46.7,39.52,1.1816,0.8816,1.0417,,,,,,
2025-05-12,ARKK,54.48,0.0428,38.66,45.0,35.95,1.2516,0.93,1.1639,,,,,,
2025-05-13,ARKK,57.41,0.0428,38.38,46.82,34.86,1.3431,0.9081,1.2197,,,,,,
2025-05-14,ARKK,57.56,0.0428,37.35,44.14,35.61,1.2397,0.9534,1.182,,,,,,
2025-05-15,ARKK,56.73,0.0426,37.53,49.54,37.26,1.3297,0.9928,1.3201,,,,,,
2025-05-16,ARKK,58.37,0.0424,35.83,42.26,31.22,1.3536,0.8713,1.1795,,,,,,
2025-05-19,ARKK,57.4,0.0424,37.76,43.33,34.47,1.2571,0.9126,1.1473,,,,,,
2025-05-20,ARKK,57.46,0.0425,33.77,42.98,34.76,1.2363,1.0293,1.2726,,,,,,
2025-05-21,ARKK,55.68,0.0424,51.24,42.83,41.12,1.0415,0.8025,0.8359,,,,,,
2025-05-22,ARKK,56.38,0.0423,44.8,43.38,42.43,1.0224,0.9472,0.9684,,,,,,
2025-05-23,ARKK,56.07,0.0423,39.67,43.68,36.03,1.2125,0.9082,1.1012,,,,,,
2025-05-27,ARKK,58.05,0.042,36.99,43.57,36.77,1.1848,0.9941,1.1778,,,,,,
2025-05-28,ARKK,56.98,0.0422,42.98,41.26,38.83,1.0625,0.9034,0.9599,39.61,,37.95,,0.958,
2025-05-29,ARKK,56.62,0.0423,38.62,40.57,38.04,1.0666,0.9849,1.0505,37.04,,35.45,,0.9571,
