date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,DIA,385.88,0.0421,31.7,25.22,27.17,0.9283,0.8569,0.7954,22.67,24.11,17.93,1.3451,0.7906,1.0634
2025-04-23,DIA,389.86,0.0421,34.49,22.24,25.31,0.8787,0.7337,0.6448,24.44,24.36,20.9,1.1653,0.8554,0.9968
2025-04-24,DIA,394.85,0.042,24.93,22.64,18.5,1.2238,0.7418,0.9078,23.69,24.64,17.55,1.4036,0.7408,1.0398
2025-04-25,DIA,394.89,0.0419,24.71,28.34,21.4,1.3243,0.8658,1.1466,21.21,21.93,19.69,1.1133,0.9286,1.0338
2025-04-28,DIA,396.12,0.0419,26.77,19.36,22.31,0.868,0.8333,0.7233,23.67,21.02,18.17,1.1565,0.7678,0.888
2025-04-29,DIA,399.01,0.0419,24.32,20.07,21.56,0.9309,0.8864,0.8252,21.49,21.57,17.48,1.2344,0.8132,1.0038
2025-04-30,DIA,400.13,0.0419,21.17,21.97,24.43,0.899,1.1542,1.0376,23.02,22.11,15.73,1.4052,0.6835,0.9605
2025-05-01,DIA,401.19,0.0418,29.11,17.05,22.91,0.7442,0.7871,0.5858,23.56,20.8,17.65,1.1783,0.7493,0.8829
2025-05-02,DIA,406.72,0.0421,22.96,18.0,18.71,0.9617,0.8149,0.7836,21.11,19.93,16.64,1.1977,0.7881,0.9439
2025-05-05,DIA,405.96,0.0421,27.93,15.84,21.43,0.739,0.7673,0.5671,,,,,,
2025-05-06,DIA,402.0,0.0421,26.88,17.91,23.03,0.7777,0.8568,0.6663,,,,,,
2025-05-07,DIA,404.76,0.0422,23.92,17.37,21.94,0.7916,0.9175,0.7263,,,,,,
2025-05-08,DIA,407.55,0.0422,28.85,15.04,23.35,0.6441,0.8095,0.5214,,,,,,
2025-05-09,DIA,406.11,0.0422,25.11,17.48,20.22,0.8643,0.8054,0.6962,,,,,,
2025-05-12,DIA,417.74,0.0428,20.31,13.9,15.65,0.8877,0.7708,0.6843,,,,,,
2025-05-13,DIA,415.07,0.0428,21.93,12.59,18.42,0.6836,0.8398,0.5741,,,,,,
2025-05-14,DIA,414.12,0.0428,26.89,12.09,20.89,0.5788,0.7769,0.4496,,,,,,
2025-05-15,DIA,417.0,0.0426,21.82,15.59,18.14,0.8595,0.8312,0.7143,17.61,16.62,15.7,1.0587,0.8912,0.9435
2025-05-16,DIA,420.35,0.0424,19.55,13.6,15.32,0.888,0.7837,0.6959,15.46,15.04,14.1,1.0666,0.9121,0.9728
2025-05-19,DIA,421.82,0.0424,20.5,12.34,18.23,0.677,0.8892,0.602,17.06,15.79,13.48,1.1719,0.7901,0.9259
2025-05-20,DIA,420.76,0.0425,21.35,14.0,18.07,0.7744,0.8464,0.6554,17.12,16.23,13.88,1.1695,0.8103,0.9477
2025-05-21,DIA,412.66,0.0424,23.71,15.06,20.21,0.7451,0.8522,0.635,19.87,18.47,15.65,1.1798,0.7876,0.9292
2025-05-22,DIA,412.73,0.0423,22.93,13.62,17.11,0.7959,0.7462,0.5939,20.64,17.76,16.28,1.0905,0.7889,0.8602
2025-05-23,DIA,410.28,0.0423,24.11,17.45,16.09,1.0848,0.6673,0.7239,19.16,17.91,14.78,1.2124,0.7713,0.9352
2025-05-27,DIA,417.69,0.042,19.06,14.94,15.77,0.9474,0.8272,0.7836,18.06,18.09,14.21,1.2729,0.7869,1.0017
2025-05-28,DIA,415.29,0.0422,27.97,14.09,19.48,0.7236,0.6964,0.5039,20.34,17.43,14.58,1.1955,0.7167,0.8568
2025-05-29,DIA,416.32,0.0423,23.05,13.98,17.4,0.8034,0.7547,0.6063,19.09,17.2,16.57,1.0382,0.8677,0.9008
2025-05-30,DIA,416.7,0.0423,22.16,17.6,17.92,0.9822,0.8086,0.7942,20.03,16.71,15.79,1.0579,0.7885,0.8341
2025-06-02,DIA,417.55,0.0423,21.37,17.63,17.7,0.9957,0.8283,0.8247,,,,,,
2025-06-03,DIA,419.82,0.0424,20.51,14.14,17.83,0.793,0.8694,0.6894,,,,,,
2025-06-04,DIA,418.76,0.0424,20.64,13.76,19.03,0.7231,0.9219,0.6666,,,,,,
2025-06-05,DIA,417.81,0.0423,22.97,12.05,16.52,0.7296,0.7193,0.5248,,,,,,
2025-06-06,DIA,422.15,0.0423,18.92,13.15,15.4,0.854,0.8138,0.695,17.71,16.61,14.13,1.1756,0.7979,0.9381
2025-06-09,DIA,422.13,0.0424,19.36,11.57,16.74,0.6912,0.8648,0.5978,18.05,18.89,14.55,1.2981,0.8065,1.047
2025-06-10,DIA,423.36,0.0425,20.27,12.11,15.35,0.7887,0.7574,0.5974,17.35,16.74,14.19,1.1799,0.8178,0.965
2025-06-11,DIA,423.35,0.0425,19.65,10.58,14.69,0.7204,0.7476,0.5386,17.19,15.7,14.79,1.0614,0.8604,0.9132
2025-06-12,DIA,424.23,0.0426,17.21,13.88,15.18,0.9141,0.8819,0.8061,17.11,18.61,14.2,1.3108,0.8296,1.0875
2025-06-13,DIA,416.66,0.0424,23.28,15.18,16.06,0.9454,0.6901,0.6524,17.93,19.1,14.92,1.2795,0.8326,1.0653
2025-06-16,DIA,420.08,0.0425,22.77,13.37,18.17,0.7355,0.7982,0.587,18.27,17.71,14.46,1.2246,0.7912,0.9689
2025-06-17,DIA,416.96,0.0422,22.92,16.88,17.89,0.9436,0.7805,0.7364,18.17,18.32,15.79,1.1599,0.8689,1.0078
2025-06-18,DIA,416.69,0.0422,23.21,17.17,17.18,0.9994,0.7402,0.7398,18.66,17.54,14.82,1.1838,0.7943,0.9402
2025-06-20,DIA,416.81,0.042,22.2,14.77,16.06,0.92,0.7234,0.6656,18.19,17.83,14.36,1.242,0.7892,0.9802
2025-06-23,DIA,420.72,0.0416,19.03,16.49,14.82,1.1131,0.7786,0.8666,17.12,18.08,13.36,1.3526,0.7804,1.0556
2025-06-24,DIA,425.73,0.0418,22.43,12.73,14.51,0.877,0.6469,0.5673,15.27,16.49,14.22,1.1593,0.9313,1.0797
2025-06-25,DIA,424.81,0.0419,21.41,11.29,16.66,0.6775,0.7781,0.5271,17.11,16.43,13.44,1.2218,0.7857,0.96
2025-06-26,DIA,428.84,0.0419,21.64,13.31,14.56,0.9142,0.6728,0.6151,15.75,15.88,13.54,1.1727,0.8597,1.0081
2025-06-27,DIA,432.86,0.042,18.76,11.63,15.31,0.7593,0.8161,0.6197,16.73,16.35,12.49,1.3092,0.7465,0.9772
2025-06-30,DIA,435.48,0.0419,18.01,13.37,16.14,0.8287,0.8964,0.7428,17.13,16.07,14.23,1.1298,0.8304,0.9381
2025-07-01,DIA,439.67,0.0422,19.55,12.0,16.17,0.7424,0.827,0.6139,16.92,15.06,14.4,1.0458,0.8508,0.8898
2025-07-02,DIA,439.49,0.0422,18.72,13.39,15.54,0.8615,0.8302,0.7152,16.94,15.5,13.99,1.1076,0.8259,0.9147
2025-07-03,DIA,442.83,0.0424,19.75,12.71,15.37,0.8266,0.7783,0.6433,16.24,15.87,13.5,1.1757,0.8315,0.9776
2025-07-07,DIA,438.79,0.0424,19.54,13.67,16.86,0.8109,0.8629,0.6997,16.3,17.14,14.0,1.2241,0.8589,1.0513
2025-07-08,DIA,437.19,0.0425,18.87,14.28,16.9,0.845,0.8957,0.7569,16.75,16.1,13.77,1.1696,0.8216,0.961
2025-07-09,DIA,439.3,0.0424,19.21,13.36,16.72,0.7992,0.8702,0.6954,16.07,15.12,13.52,1.1186,0.8411,0.9408
2025-07-10,DIA,441.26,0.0424,20.86,11.89,16.9,0.7036,0.8102,0.57,16.61,15.51,13.6,1.1404,0.8189,0.9339
