date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-24,EEM,42.5,0.042,33.85,15.81,29.22,0.541,0.8631,0.4669,20.89,20.5,19.25,1.0646,0.9215,0.981
2025-04-25,EEM,42.43,0.0419,30.7,14.49,25.39,0.5708,0.8268,0.472,21.22,16.99,21.12,0.8042,0.9953,0.8005
2025-04-28,EEM,42.5,0.0419,29.03,15.79,23.25,0.6791,0.8008,0.5438,27.93,21.67,19.15,1.1318,0.6855,0.7759
2025-04-29,EEM,42.62,0.0419,31.22,12.26,23.56,0.5204,0.7548,0.3928,22.7,17.83,20.27,0.8795,0.8929,0.7853
2025-04-30,EEM,42.73,0.0419,36.74,42.51,24.3,1.7494,0.6613,1.1569,21.25,21.34,19.36,1.1024,0.9111,1.0044
2025-05-01,EEM,42.72,0.0418,33.04,12.89,27.29,0.4724,0.826,0.3902,22.49,16.5,21.41,0.7707,0.9519,0.7337
2025-05-02,EEM,43.94,0.0421,35.87,13.6,26.22,0.5188,0.7309,0.3791,21.98,18.85,19.25,0.9789,0.8761,0.8576
2025-05-05,EEM,44.27,0.0421,35.01,14.37,24.86,0.5782,0.7099,0.4105,23.85,20.5,20.26,1.0121,0.8491,0.8594
2025-05-06,EEM,44.1,0.0421,30.47,18.14,22.97,0.7896,0.7539,0.5954,22.89,19.18,20.86,0.9196,0.9112,0.838
2025-05-07,EEM,43.59,0.0422,28.32,19.11,25.62,0.7458,0.9046,0.6746,21.0,25.36,21.0,1.2076,1.0,1.2076
2025-05-08,EEM,43.56,0.0422,27.26,10.35,25.77,0.4015,0.9455,0.3796,23.74,19.2,20.99,0.9146,0.8842,0.8087
2025-05-09,EEM,43.85,0.0422,32.9,16.56,22.35,0.7411,0.6794,0.5035,22.96,20.36,22.96,0.8869,1.0,0.8869
2025-05-12,EEM,44.8,0.0428,32.03,14.73,21.25,0.6932,0.6635,0.4599,20.2,15.01,19.35,0.7755,0.9579,0.7428
2025-05-13,EEM,44.88,0.0428,35.11,13.28,23.46,0.5659,0.6683,0.3782,22.77,15.27,18.35,0.8319,0.8058,0.6704
2025-05-14,EEM,45.22,0.0428,33.47,11.18,22.5,0.4971,0.672,0.3341,21.11,18.08,19.55,0.9244,0.9261,0.8561
2025-05-15,EEM,45.2,0.0426,24.6,14.32,20.92,0.6843,0.8505,0.5819,20.6,17.94,20.6,0.8705,1.0,0.8705
