date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,EFA,79.49,0.0421,44.75,14.83,26.54,0.5589,0.593,0.3314,25.15,19.67,22.4,0.878,0.8906,0.782
2025-04-23,EFA,79.81,0.0421,52.59,14.85,28.88,0.5142,0.5491,0.2824,27.74,20.19,22.1,0.9136,0.7966,0.7277
2025-04-24,EFA,80.87,0.042,42.5,14.71,28.51,0.516,0.6709,0.3462,23.74,13.32,18.92,0.7043,0.7967,0.5611
2025-04-25,EFA,81.22,0.0419,40.97,14.33,23.98,0.5977,0.5853,0.3498,22.98,19.16,22.98,0.834,1.0,0.834
2025-04-28,EFA,81.76,0.0419,42.89,14.88,25.53,0.5827,0.5953,0.3469,24.1,18.65,22.0,0.8478,0.9126,0.7737
2025-04-29,EFA,81.92,0.0419,46.25,10.35,30.2,0.3429,0.6528,0.2238,21.35,16.36,18.91,0.8652,0.8858,0.7664
2025-04-30,EFA,81.82,0.0419,36.58,12.11,25.66,0.4722,0.7013,0.3311,24.88,17.23,17.33,0.9946,0.6964,0.6926
2025-05-01,EFA,81.56,0.0418,44.87,17.92,27.43,0.6532,0.6113,0.3993,19.96,18.85,19.96,0.944,1.0,0.944
2025-05-02,EFA,83.13,0.0421,35.72,12.1,25.33,0.4777,0.7092,0.3388,21.88,16.92,17.83,0.9486,0.8149,0.773
2025-05-05,EFA,83.27,0.0421,36.68,10.71,25.01,0.4284,0.6818,0.2921,17.34,17.58,17.34,1.0138,1.0,1.0138
2025-05-06,EFA,83.17,0.0421,37.03,10.53,25.13,0.4189,0.6787,0.2843,23.16,16.95,23.16,0.7319,1.0,0.7319
2025-05-07,EFA,82.89,0.0422,42.56,16.66,21.42,0.7776,0.5032,0.3913,22.35,15.74,17.64,0.8923,0.7894,0.7044
2025-05-08,EFA,82.6,0.0422,37.02,15.81,25.89,0.6107,0.6993,0.4271,22.7,12.1,22.7,0.533,1.0,0.533
2025-05-09,EFA,83.0,0.0422,34.5,10.8,20.85,0.518,0.6045,0.3131,22.3,12.39,19.88,0.6235,0.8913,0.5557
2025-05-12,EFA,83.43,0.0428,30.71,8.73,20.27,0.4306,0.6598,0.2841,20.05,17.98,20.05,0.8966,1.0,0.8966
2025-05-13,EFA,83.53,0.0428,28.08,11.38,26.08,0.4363,0.9289,0.4053,,13.01,,,,
2025-05-14,EFA,83.13,0.0428,43.62,6.64,24.84,0.2675,0.5694,0.1523,18.02,15.3,18.02,0.8491,1.0,0.8491
2025-05-15,EFA,84.04,0.0426,29.77,8.42,22.33,0.3772,0.75,0.2829,14.43,14.93,14.43,1.0351,1.0,1.0351
2025-05-16,EFA,84.23,0.0424,30.48,10.44,17.7,0.5899,0.5807,0.3425,19.62,14.53,15.31,0.9495,0.7801,0.7407
2025-05-19,EFA,85.03,0.0424,26.72,11.37,19.69,0.5775,0.7369,0.4255,21.04,15.72,16.11,0.9759,0.7656,0.7471
2025-05-20,EFA,85.44,0.0425,31.94,11.4,24.86,0.4587,0.7785,0.3571,21.92,16.44,15.58,1.0554,0.7109,0.7503
2025-05-21,EFA,84.93,0.0424,53.75,12.11,22.25,0.5443,0.414,0.2253,26.59,16.37,18.68,0.8763,0.7025,0.6156
2025-05-22,EFA,84.89,0.0423,33.75,11.23,21.91,0.5125,0.6491,0.3327,23.65,16.46,16.88,0.9749,0.7139,0.6959
2025-05-23,EFA,85.0,0.0423,33.61,14.87,25.13,0.5917,0.7476,0.4424,21.46,17.2,17.33,0.9923,0.8076,0.8014
2025-05-27,EFA,86.24,0.042,28.82,12.99,27.45,0.4733,0.9525,0.4508,19.75,13.44,17.43,0.7707,0.8829,0.6805
2025-05-28,EFA,85.24,0.0422,29.21,11.63,23.35,0.498,0.7993,0.3981,17.23,17.19,17.23,0.9975,1.0,0.9975
2025-05-29,EFA,85.62,0.0423,37.9,12.99,30.3,0.4287,0.7993,0.3427,20.77,13.14,15.11,0.8699,0.7274,0.6327
2025-05-30,EFA,85.74,0.0423,28.12,14.2,18.78,0.7563,0.6678,0.5051,16.66,15.21,16.66,0.9129,1.0,0.9129
2025-06-02,EFA,86.66,0.0423,35.77,12.67,17.93,0.7069,0.5013,0.3544,,,,,,
2025-06-03,EFA,86.01,0.0424,30.94,13.51,21.17,0.638,0.6843,0.4366,,,,,,
2025-06-04,EFA,86.39,0.0424,31.2,12.9,24.85,0.5193,0.7964,0.4136,,,,,,
2025-06-05,EFA,86.33,0.0423,30.37,10.61,20.63,0.5143,0.6793,0.3493,,14.6,,,,
2025-06-06,EFA,86.64,0.0423,21.79,11.0,17.68,0.6219,0.8113,0.5045,17.47,13.35,15.16,0.8805,0.8676,0.764
2025-06-09,EFA,86.63,0.0424,27.78,11.5,18.02,0.6382,0.6488,0.414,22.45,14.01,15.89,0.8818,0.708,0.6244
2025-06-10,EFA,86.75,0.0425,26.3,13.15,19.93,0.6597,0.7578,0.4999,18.62,14.9,18.62,0.8002,1.0,0.8002
2025-06-11,EFA,86.6,0.0425,24.3,10.88,21.1,0.5156,0.8681,0.4476,24.03,12.03,14.97,0.8038,0.623,0.5008
2025-06-12,EFA,87.27,0.0426,25.17,11.21,17.55,0.6391,0.6972,0.4455,22.2,15.86,14.66,1.0819,0.6603,0.7143
2025-06-13,EFA,86.15,0.0424,23.06,13.55,18.4,0.7365,0.7979,0.5877,19.06,8.58,16.72,0.513,0.8774,0.4501
2025-06-16,EFA,86.47,0.0425,24.75,13.3,17.96,0.7404,0.7257,0.5373,24.96,19.24,16.96,1.1347,0.6793,0.7708
2025-06-17,EFA,85.41,0.0422,24.51,13.6,19.08,0.7129,0.7782,0.5548,22.01,10.76,16.3,0.6603,0.7406,0.489
2025-06-18,EFA,85.56,0.0422,22.05,14.5,18.05,0.8032,0.8186,0.6575,23.62,17.08,16.0,1.0678,0.6773,0.7232
2025-06-20,EFA,84.79,0.042,28.37,12.95,20.19,0.6418,0.7115,0.4566,21.9,18.63,16.12,1.1555,0.7363,0.8508
2025-06-23,EFA,85.43,0.0416,24.91,12.45,18.34,0.6788,0.7361,0.4997,19.18,17.47,15.37,1.1361,0.8016,0.9107
2025-06-24,EFA,86.47,0.0418,21.14,11.42,17.67,0.6462,0.836,0.5402,20.22,16.7,15.57,1.0729,0.77,0.8261
2025-06-25,EFA,86.0,0.0419,12.16,12.48,17.35,0.7193,1.4264,1.0261,19.07,,15.18,,0.7961,
2025-06-26,EFA,86.96,0.0419,25.06,9.13,18.02,0.5064,0.7192,0.3642,16.49,21.03,15.41,1.3651,0.9347,1.276
2025-06-27,EFA,87.75,0.042,25.47,10.82,17.73,0.6105,0.6962,0.425,18.68,14.98,15.39,0.9734,0.8237,0.8018
2025-06-30,EFA,87.8,0.0419,28.15,11.06,16.58,0.6669,0.5889,0.3928,20.78,16.66,15.69,1.062,0.7547,0.8015
2025-07-01,EFA,87.65,0.0422,27.23,12.38,19.11,0.6479,0.7017,0.4547,22.35,16.99,15.59,1.0899,0.6974,0.76
2025-07-02,EFA,87.91,0.0422,21.47,12.58,26.39,0.4767,1.2295,0.5862,19.83,15.51,14.41,1.0761,0.7268,0.7821
2025-07-03,EFA,87.93,0.0424,22.17,12.14,19.75,0.6147,0.8907,0.5475,20.23,14.49,16.53,0.8767,0.8175,0.7167
2025-07-07,EFA,86.97,0.0424,30.41,9.48,18.15,0.5223,0.5968,0.3117,20.77,16.32,14.81,1.1019,0.713,0.7857
2025-07-08,EFA,87.61,0.0425,26.82,11.6,17.26,0.6717,0.6438,0.4324,19.06,18.29,12.95,1.4117,0.6797,0.9595
2025-07-09,EFA,88.27,0.0424,25.54,9.97,16.52,0.6032,0.6469,0.3902,24.92,16.25,13.54,1.2002,0.5433,0.6521
2025-07-10,EFA,88.21,0.0424,21.42,10.13,17.47,0.5801,0.8156,0.4731,18.43,14.98,17.48,0.8569,0.9484,0.8127
2025-07-11,EFA,87.37,0.0424,21.98,10.24,16.5,0.6206,0.7507,0.4659,27.04,,15.94,,0.5897,
