date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,EWJ,66.24,0.0421,53.41,14.96,35.65,0.4196,0.6674,0.2801,,,,,,
2025-04-23,EWJ,66.44,0.0421,56.85,13.79,36.25,0.3803,0.6377,0.2425,,,,,,
2025-04-24,EWJ,67.2,0.042,51.52,14.43,35.31,0.4086,0.6855,0.2801,,,,,,
2025-04-25,EWJ,67.67,0.0419,52.36,14.82,32.0,0.4629,0.6112,0.2829,,,,,,
2025-04-28,EWJ,68.6,0.0419,57.99,16.4,36.67,0.4471,0.6324,0.2827,,,,,,
2025-04-29,EWJ,68.86,0.0419,60.77,11.66,37.84,0.3083,0.6227,0.192,,,,,,
2025-04-30,EWJ,68.3,0.0419,55.86,14.59,39.04,0.3737,0.6989,0.2611,,,,,,
2025-05-01,EWJ,68.05,0.0418,63.05,11.28,40.09,0.2813,0.6358,0.1789,,,,,,
2025-05-06,EWJ,69.26,0.0421,38.96,15.17,25.35,0.5984,0.6506,0.3893,,,,,,
2025-05-07,EWJ,68.83,0.0422,39.19,15.24,28.01,0.5441,0.7147,0.3889,,,,,,
2025-05-08,EWJ,68.68,0.0422,45.47,14.25,25.44,0.5601,0.5595,0.3133,,,,,,
2025-05-09,EWJ,68.86,0.0422,33.05,13.9,25.91,0.5363,0.784,0.4204,,,,,,
2025-05-12,EWJ,69.61,0.0428,38.95,13.05,25.72,0.5072,0.6604,0.335,,,,,,
2025-05-13,EWJ,69.08,0.0428,39.14,12.2,24.31,0.5019,0.6212,0.3118,,,,,,
2025-05-14,EWJ,68.32,0.0428,39.87,13.73,26.18,0.5245,0.6567,0.3445,,,,,,
2025-05-15,EWJ,69.13,0.0426,43.64,10.6,26.65,0.3976,0.6107,0.2428,,,,,,
2025-05-16,EWJ,69.31,0.0424,39.58,11.09,24.47,0.4531,0.6183,0.2801,,,,,,
2025-05-19,EWJ,69.39,0.0424,38.5,9.58,24.74,0.3871,0.6427,0.2488,,,,,,
2025-05-20,EWJ,69.79,0.0425,42.78,10.15,26.56,0.3821,0.6209,0.2372,,,,,,
2025-05-21,EWJ,69.14,0.0424,46.52,10.18,28.74,0.354,0.6179,0.2188,,,,,,
2025-05-22,EWJ,69.2,0.0423,48.64,14.05,29.19,0.4813,0.6001,0.2888,,,,,,
2025-05-23,EWJ,69.83,0.0423,50.32,13.49,28.69,0.4701,0.5702,0.2681,,,,,,
2025-05-27,EWJ,71.67,0.042,46.73,13.21,26.92,0.4906,0.576,0.2826,,,,,,
2025-05-28,EWJ,70.39,0.0422,47.53,15.86,29.08,0.5453,0.6119,0.3337,,,,,,
2025-05-29,EWJ,70.79,0.0423,43.51,11.81,29.96,0.3942,0.6885,0.2714,,,,,,
2025-05-30,EWJ,70.87,0.0423,52.06,15.5,28.57,0.5425,0.5489,0.2978,,,,,,
2025-06-02,EWJ,71.75,0.0423,51.09,14.53,31.11,0.4672,0.6089,0.2845,,,,,,
2025-06-03,EWJ,70.88,0.0424,56.39,15.5,26.7,0.5805,0.4734,0.2748,,,,,,
2025-06-04,EWJ,70.83,0.0424,51.85,10.69,30.57,0.3496,0.5896,0.2061,,,,,,
2025-06-05,EWJ,70.17,0.0423,36.13,11.62,34.08,0.3409,0.9433,0.3216,,,,,,
2025-06-06,EWJ,70.59,0.0423,35.54,16.3,24.95,0.6533,0.7022,0.4587,24.29,27.81,21.78,1.2769,0.8968,1.1451
2025-06-09,EWJ,70.69,0.0424,34.68,13.95,28.47,0.49,0.8209,0.4023,38.1,20.87,22.3,0.9355,0.5854,0.5477
2025-06-10,EWJ,70.64,0.0425,33.22,13.26,27.27,0.4861,0.821,0.3991,23.9,13.97,21.33,0.6547,0.8926,0.5843
2025-06-11,EWJ,70.44,0.0425,42.69,9.8,26.0,0.3767,0.6091,0.2295,30.35,17.3,21.74,0.7957,0.7162,0.5699
2025-06-12,EWJ,70.96,0.0426,30.39,13.79,24.75,0.5572,0.8143,0.4537,30.08,18.79,22.23,0.8451,0.7391,0.6247
2025-06-13,EWJ,70.38,0.0424,36.85,17.11,25.87,0.6615,0.702,0.4644,25.86,20.21,23.95,0.8438,0.9263,0.7816
2025-06-16,EWJ,70.51,0.0425,35.45,10.14,27.25,0.3723,0.7685,0.2861,25.73,19.87,22.42,0.8863,0.8714,0.7723
2025-06-17,EWJ,69.67,0.0422,41.95,15.37,27.34,0.5621,0.6516,0.3663,27.09,24.58,22.51,1.092,0.8311,0.9075
2025-06-18,EWJ,70.42,0.0422,38.3,11.11,27.63,0.4021,0.7213,0.2901,25.04,17.25,24.53,0.7031,0.9797,0.6888
2025-06-20,EWJ,69.17,0.042,31.23,13.91,29.56,0.4705,0.9464,0.4453,24.62,12.33,24.11,0.5113,0.9796,0.5008
2025-06-23,EWJ,69.42,0.0416,35.95,15.76,29.43,0.5355,0.8185,0.4383,25.8,19.71,21.23,0.9286,0.8229,0.7642
2025-06-24,EWJ,70.12,0.0418,39.99,15.37,25.81,0.5953,0.6455,0.3842,21.68,20.05,21.68,0.9251,1.0,0.9251
2025-06-25,EWJ,69.83,0.0419,30.43,14.69,30.43,0.4828,1.0,0.4828,29.01,17.04,23.79,0.7161,0.8202,0.5873
2025-06-26,EWJ,71.3,0.0419,39.4,10.83,28.56,0.3791,0.7248,0.2748,27.32,17.8,21.87,0.8136,0.8006,0.6513
2025-06-27,EWJ,72.56,0.042,43.55,11.05,29.38,0.376,0.6746,0.2537,25.58,15.06,20.01,0.7525,0.7823,0.5886
2025-06-30,EWJ,72.27,0.0419,49.97,13.72,31.47,0.436,0.6298,0.2746,27.19,19.19,24.05,0.7978,0.8845,0.7057
2025-07-01,EWJ,71.74,0.0422,64.9,14.22,30.81,0.4616,0.4747,0.2191,26.81,15.43,25.06,0.6158,0.9348,0.5757
2025-07-02,EWJ,71.77,0.0422,31.7,18.35,31.61,0.5805,0.9972,0.5788,28.33,18.94,23.87,0.7932,0.8425,0.6683
2025-07-03,EWJ,71.91,0.0424,42.41,16.9,36.5,0.4629,0.8607,0.3984,29.3,21.16,24.36,0.8688,0.8314,0.7223
2025-07-07,EWJ,70.19,0.0424,42.35,17.25,27.35,0.6305,0.6459,0.4072,,,,,,
2025-07-08,EWJ,70.55,0.0425,31.25,13.48,27.27,0.4942,0.8725,0.4312,,,,,,
2025-07-09,EWJ,70.66,0.0424,34.75,9.47,28.83,0.3285,0.8297,0.2726,,,,,,
2025-07-10,EWJ,70.31,0.0424,40.97,12.89,27.15,0.4747,0.6627,0.3146,,,,,,
2025-07-11,EWJ,69.75,0.0424,38.83,14.14,28.29,0.5,0.7285,0.3642,,,,,,
2025-07-14,EWJ,69.8,0.0423,34.28,12.62,28.62,0.4409,0.8348,0.3681,,,,,,
2025-07-15,EWJ,69.1,0.0423,41.06,16.13,28.55,0.5648,0.6954,0.3928,,,,,,
2025-07-16,EWJ,69.42,0.0422,32.22,14.11,26.35,0.5357,0.8177,0.4381,,,,,,
2025-07-17,EWJ,69.78,0.0424,43.02,17.05,28.69,0.5943,0.6669,0.3963,,,,,,
2025-07-18,EWJ,69.22,0.0423,42.6,13.82,27.94,0.4948,0.6558,0.3245,,,,,,
2025-07-21,EWJ,69.99,0.0422,30.61,11.99,30.1,0.3983,0.9834,0.3916,,,,,,
2025-07-22,EWJ,70.35,0.0423,41.46,12.61,29.47,0.4278,0.7109,0.3041,,,,,,
2025-07-23,EWJ,73.73,0.0424,41.92,7.89,26.15,0.3018,0.6238,0.1882,,,,,,
2025-07-24,EWJ,73.79,0.0424,47.22,8.8,28.19,0.3121,0.597,0.1863,,,,,,
2025-07-25,EWJ,72.95,0.0424,44.26,9.63,27.26,0.3533,0.616,0.2177,,,,,,
2025-07-28,EWJ,71.59,0.0424,52.72,9.48,31.97,0.2967,0.6064,0.1799,,,,,,
2025-07-29,EWJ,71.22,0.0423,49.72,11.04,31.07,0.3552,0.625,0.222,,,,,,
2025-07-30,EWJ,71.31,0.0423,51.36,11.32,29.38,0.3852,0.5721,0.2203,,,,,,
2025-07-31,EWJ,70.96,0.0424,51.03,9.91,32.04,0.3094,0.6278,0.1943,,,,,,
2025-08-05,EWJ,72.32,0.0415,24.34,11.51,24.34,0.4729,1.0,0.4729,,,,,,
2025-08-06,EWJ,73.29,0.0413,34.12,11.35,23.19,0.4891,0.6798,0.3325,,,,,,
2025-08-07,EWJ,73.86,0.0414,31.93,12.62,22.55,0.5597,0.7062,0.3953,,,,,,
2025-08-08,EWJ,75.12,0.0413,34.86,10.84,25.38,0.4272,0.728,0.311,,,,,,
2025-08-11,EWJ,74.98,0.0414,35.75,10.57,25.84,0.4093,0.7228,0.2958,,,,,,
2025-08-12,EWJ,76.37,0.0413,35.52,9.99,25.11,0.3978,0.7068,0.2812,,,,,,
2025-08-13,EWJ,76.41,0.0411,34.3,11.25,24.71,0.4553,0.7207,0.3281,,,,,,
2025-08-14,EWJ,75.96,0.0411,31.34,10.68,24.55,0.4349,0.7835,0.3407,,,,,,
2025-08-15,EWJ,77.26,0.0411,35.67,10.99,25.9,0.4244,0.726,0.3081,,,,,,
2025-08-18,EWJ,77.4,0.0412,38.83,11.65,27.33,0.426,0.704,0.2999,,,,,,
2025-08-19,EWJ,77.13,0.0411,41.34,10.96,26.67,0.4109,0.6451,0.2651,,,,,,
2025-08-20,EWJ,76.77,0.0411,41.33,12.66,27.21,0.4652,0.6584,0.3063,,,,,,
2025-08-21,EWJ,75.86,0.0413,37.59,13.02,27.11,0.4803,0.7212,0.3464,,,,,,
2025-08-22,EWJ,77.13,0.0409,43.07,10.72,28.29,0.3788,0.657,0.2489,,,,,,
2025-08-25,EWJ,76.2,0.0409,41.15,11.18,29.06,0.3847,0.7062,0.2717,,,,,,
2025-08-26,EWJ,76.07,0.0409,37.69,11.47,29.55,0.3882,0.7841,0.3044,,,,,,
