date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,EWW,53.5,0.0421,49.61,23.7,41.53,0.5706,0.8371,0.4777,,,,,,
2025-04-23,EWW,54.46,0.0421,57.45,22.01,42.36,0.5196,0.7374,0.3832,,,,,,
2025-04-24,EWW,55.26,0.042,55.33,24.85,42.8,0.5806,0.7735,0.4491,,,,,,
2025-04-25,EWW,55.84,0.0419,43.2,21.35,39.03,0.5469,0.9037,0.4942,,,,,,
2025-04-28,EWW,56.01,0.0419,48.57,19.61,36.99,0.5301,0.7616,0.4037,,,,,,
2025-04-29,EWW,54.38,0.0419,57.23,22.69,47.36,0.4791,0.8276,0.3965,,,,,,
2025-04-30,EWW,54.91,0.0419,40.51,37.45,41.88,0.8942,1.0339,0.9245,,,,,,
2025-05-01,EWW,54.62,0.0418,51.11,13.82,46.08,0.3,0.9015,0.2705,,,,,,
2025-05-02,EWW,54.88,0.0421,48.06,,38.66,,0.8043,,,,,,,
2025-05-05,EWW,54.63,0.0421,49.55,30.35,34.11,0.8898,0.6884,0.6125,,,,,,
2025-05-06,EWW,56.27,0.0421,37.44,18.23,38.82,0.4696,1.0371,0.487,,,,,,
2025-05-07,EWW,56.95,0.0422,37.34,25.13,33.41,0.7521,0.8946,0.6728,,,,,,
2025-05-08,EWW,56.0,0.0422,44.42,18.66,37.69,0.495,0.8485,0.42,,,,,,
2025-05-09,EWW,56.01,0.0422,40.96,26.44,37.52,0.7048,0.916,0.6456,,,,,,
2025-05-12,EWW,55.74,0.0428,40.68,24.44,31.92,0.7655,0.7847,0.6007,,,,,,
2025-05-13,EWW,56.94,0.0428,49.22,17.96,34.45,0.5214,0.6999,0.3649,,,,,,
2025-05-14,EWW,57.21,0.0428,38.53,23.93,31.15,0.7682,0.8084,0.621,,,,,,
2025-05-15,EWW,57.11,0.0426,47.12,22.73,32.02,0.7097,0.6796,0.4824,,,,,,
2025-05-16,EWW,57.35,0.0424,41.25,22.74,28.67,0.7931,0.695,0.5513,,,,,,
2025-05-19,EWW,58.38,0.0424,29.8,22.27,35.47,0.6279,1.1903,0.7474,,,,,,
2025-05-20,EWW,58.34,0.0425,39.8,23.36,32.1,0.7279,0.8064,0.587,,,,,,
2025-05-21,EWW,58.13,0.0424,36.64,23.69,32.28,0.7338,0.881,0.6464,,,,,,
2025-05-22,EWW,57.66,0.0423,38.4,23.07,32.69,0.7059,0.8512,0.6008,,,,,,
2025-05-23,EWW,58.47,0.0423,37.25,25.69,26.01,0.9877,0.6982,0.6896,,,,,,
2025-05-27,EWW,58.92,0.042,65.03,20.53,33.34,0.6157,0.5128,0.3157,,,,,,
2025-05-28,EWW,58.69,0.0422,52.48,15.48,31.58,0.4902,0.6017,0.295,,,,,,
2025-05-29,EWW,59.01,0.0423,35.91,20.65,33.26,0.6208,0.9262,0.575,,,,,,
2025-05-30,EWW,57.99,0.0423,45.9,19.73,36.17,0.5455,0.788,0.4299,,,,,,
2025-06-02,EWW,58.44,0.0423,48.86,36.58,36.89,0.9917,0.7549,0.7486,,,,,,
2025-06-03,EWW,58.2,0.0424,34.08,30.55,36.99,0.8258,1.0855,0.8964,,,,,,
2025-06-04,EWW,58.07,0.0424,43.87,26.68,34.81,0.7666,0.7933,0.6082,,,,,,
2025-06-05,EWW,58.52,0.0423,37.38,21.37,34.36,0.622,0.9194,0.5719,,,,,,
2025-06-06,EWW,59.02,0.0423,25.84,23.14,25.08,0.9227,0.9706,0.8956,24.16,24.68,24.85,0.9932,1.0285,1.0215
2025-06-09,EWW,58.88,0.0424,31.79,21.17,31.79,0.6657,1.0,0.6657,35.08,20.77,35.08,0.5919,1.0,0.5919
2025-06-10,EWW,59.14,0.0425,36.77,22.07,25.31,0.8721,0.6884,0.6004,28.03,,28.03,,1.0,
2025-06-11,EWW,59.33,0.0425,37.36,,34.36,,0.9196,,28.15,21.18,28.15,0.7524,1.0,0.7524
2025-06-12,EWW,59.34,0.0426,26.01,,26.01,,1.0,,,,,,,
2025-06-13,EWW,58.85,0.0424,26.14,24.81,26.14,0.9491,1.0,0.9491,,22.59,,,,
2025-06-16,EWW,58.69,0.0425,45.19,22.23,28.63,0.7765,0.6336,0.492,37.26,23.51,37.26,0.631,1.0,0.631
2025-06-17,EWW,57.8,0.0422,38.48,20.83,30.54,0.682,0.7936,0.5412,,40.41,,,,
2025-06-18,EWW,57.86,0.0422,30.83,15.6,26.99,0.5781,0.8753,0.506,28.64,27.28,26.47,1.0307,0.9244,0.9528
2025-06-20,EWW,57.02,0.042,36.64,18.6,26.61,0.6989,0.7262,0.5076,29.17,,29.17,,1.0,
2025-06-23,EWW,56.85,0.0416,27.5,28.82,27.72,1.0396,1.008,1.0479,27.84,25.7,24.86,1.0336,0.893,0.923
2025-06-24,EWW,58.1,0.0418,29.05,20.91,26.93,0.7765,0.9269,0.7197,23.83,28.08,23.53,1.193,0.9875,1.1781
2025-06-25,EWW,58.56,0.0419,28.31,11.24,27.76,0.4049,0.9807,0.3971,27.67,25.91,25.64,1.0103,0.9266,0.9362
2025-06-26,EWW,59.17,0.0419,29.54,38.35,27.56,1.3915,0.933,1.2983,27.63,23.12,27.63,0.8367,1.0,0.8367
2025-06-27,EWW,59.18,0.042,27.44,16.88,27.43,0.6153,0.9997,0.6151,29.17,24.12,29.17,0.827,1.0,0.827
2025-06-30,EWW,59.42,0.0419,32.9,17.03,32.9,0.5176,1.0,0.5176,,,,,,
2025-07-01,EWW,59.97,0.0422,31.33,15.14,23.08,0.656,0.7369,0.4833,26.84,20.46,26.84,0.7624,1.0,0.7624
2025-07-02,EWW,60.43,0.0422,23.98,18.52,23.84,0.7766,0.9943,0.7722,,,,,,
2025-07-03,EWW,60.54,0.0424,32.01,17.85,25.04,0.7128,0.7822,0.5576,,52.82,,,,
2025-07-10,EWW,59.15,0.0424,28.39,27.71,23.86,1.1614,0.8404,0.976,,,,,,
2025-07-11,EWW,59.0,0.0424,28.74,18.57,26.85,0.6914,0.9342,0.6459,,,,,,
2025-07-14,EWW,58.49,0.0423,25.7,17.72,25.45,0.6964,0.9903,0.6896,,,,,,
2025-07-15,EWW,58.26,0.0423,27.83,20.8,27.63,0.7528,0.993,0.7475,,,,,,
2025-07-16,EWW,58.64,0.0422,29.87,15.6,26.61,0.5863,0.8908,0.5223,,,,,,
2025-07-17,EWW,58.66,0.0424,28.29,24.17,25.41,0.9514,0.8981,0.8545,,,,,,
2025-07-18,EWW,58.34,0.0423,28.21,18.23,26.0,0.7011,0.9219,0.6464,,,,,,
2025-07-21,EWW,58.12,0.0422,41.01,17.05,28.57,0.5969,0.6966,0.4158,,,,,,
2025-07-22,EWW,57.92,0.0423,32.06,22.26,28.29,0.7869,0.8824,0.6943,,,,,,
2025-07-23,EWW,59.33,0.0424,25.99,24.77,25.77,0.9613,0.9913,0.953,,,,,,
2025-07-24,EWW,59.7,0.0424,36.07,17.71,26.87,0.6592,0.745,0.4911,,,,,,
2025-07-25,EWW,59.9,0.0424,24.07,20.67,25.31,0.8169,1.0512,0.8587,,,,,,
2025-07-28,EWW,58.93,0.0424,34.25,23.04,27.63,0.8339,0.8066,0.6726,,,,,,
2025-07-29,EWW,59.78,0.0423,26.86,,26.15,,0.9738,,,,,,,
2025-07-30,EWW,59.04,0.0423,51.89,18.64,35.1,0.5311,0.6764,0.3592,,,,,,
2025-07-31,EWW,59.01,0.0424,48.14,,25.48,,0.5293,,,,,,,
2025-08-04,EWW,58.11,0.0415,28.0,,28.0,,1.0,,,,,,,
2025-08-05,EWW,59.06,0.0415,27.72,19.85,26.01,0.7631,0.9383,0.716,,,,,,
2025-08-06,EWW,59.62,0.0413,28.98,17.25,25.33,0.6808,0.8743,0.5952,,,,,,
2025-08-07,EWW,60.49,0.0414,24.14,18.47,24.74,0.7466,1.0249,0.7652,,,,,,
2025-08-08,EWW,60.48,0.0413,29.08,43.31,23.44,1.8476,0.8061,1.4893,,,,,,
2025-08-11,EWW,60.38,0.0414,32.33,15.4,38.62,0.3988,1.1946,0.4764,,,,,,
2025-08-12,EWW,61.16,0.0413,24.22,17.1,21.51,0.7949,0.8883,0.7061,,,,,,
2025-08-13,EWW,60.82,0.0411,32.14,14.42,35.02,0.4119,1.0895,0.4487,,,,,,
2025-08-14,EWW,59.84,0.0411,32.2,16.52,37.49,0.4406,1.1643,0.513,,,,,,
2025-08-15,EWW,60.19,0.0411,29.47,16.85,22.94,0.7345,0.7783,0.5716,,,,,,
2025-08-18,EWW,60.04,0.0412,31.24,18.93,23.93,0.7908,0.7662,0.6059,,,,,,
2025-08-19,EWW,60.1,0.0411,29.35,21.17,24.07,0.8795,0.8202,0.7214,,,,,,
2025-08-20,EWW,60.02,0.0411,28.33,15.71,23.64,0.6645,0.8347,0.5547,,,,,,
2025-08-21,EWW,60.39,0.0413,26.7,12.13,21.22,0.5716,0.7948,0.4544,,,,,,
2025-08-22,EWW,61.62,0.0409,23.11,14.99,17.37,0.8629,0.7516,0.6486,,,,,,
