date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-28,EWZ,25.81,0.0419,67.16,18.64,41.53,0.4488,0.6183,0.2775,41.04,26.74,31.6,0.8463,0.7699,0.6516
2025-04-29,EWZ,25.95,0.0419,53.78,13.89,45.85,0.303,0.8525,0.2583,36.48,,32.66,,0.8954,
2025-04-30,EWZ,25.65,0.0419,56.11,16.18,38.61,0.4191,0.688,0.2884,31.77,30.05,29.09,1.0329,0.9155,0.9456
2025-05-01,EWZ,25.49,0.0418,54.74,15.17,49.16,0.3086,0.898,0.2772,30.24,,30.24,,1.0,
2025-05-02,EWZ,25.72,0.0421,62.16,15.89,39.64,0.4009,0.6377,0.2556,31.64,23.91,29.86,0.8007,0.9438,0.7557
2025-05-05,EWZ,25.33,0.0421,61.6,12.65,42.02,0.301,0.6822,0.2053,,,,,,
2025-05-06,EWZ,25.24,0.0421,43.44,15.93,39.85,0.3998,0.9173,0.3667,,,,,,
2025-05-07,EWZ,25.04,0.0422,53.4,21.13,46.59,0.4536,0.8726,0.3958,,,,,,
2025-05-08,EWZ,26.06,0.0422,49.9,21.48,46.0,0.4669,0.9218,0.4304,,,,,,
2025-05-09,EWZ,26.14,0.0422,48.51,21.65,41.97,0.5159,0.8652,0.4463,,,,,,
2025-05-12,EWZ,26.07,0.0428,60.64,20.67,43.38,0.4764,0.7154,0.3408,,,,,,
2025-05-13,EWZ,26.87,0.0428,65.14,10.7,35.1,0.3049,0.5389,0.1643,,,,,,
2025-05-14,EWZ,26.75,0.0428,70.04,8.69,40.57,0.2142,0.5792,0.1241,,,,,,
2025-05-15,EWZ,26.57,0.0426,45.88,13.76,34.51,0.3988,0.7522,0.3,,,,,,
2025-05-16,EWZ,26.56,0.0424,41.37,20.2,37.82,0.5341,0.9141,0.4883,,,,,,
2025-05-19,EWZ,26.73,0.0424,54.14,17.18,35.14,0.4889,0.6491,0.3173,,,,,,
2025-05-20,EWZ,26.71,0.0425,59.16,17.62,44.11,0.3994,0.7456,0.2978,,,,,,
2025-05-21,EWZ,26.24,0.0424,63.71,17.76,44.18,0.4019,0.6935,0.2788,,,,,,
2025-05-22,EWZ,26.1,0.0423,70.62,21.67,39.89,0.5433,0.5649,0.3069,,,,,,
2025-05-23,EWZ,26.23,0.0423,45.53,19.64,40.55,0.4842,0.8907,0.4313,,,,,,
2025-05-27,EWZ,26.55,0.042,45.74,14.4,44.22,0.3256,0.9667,0.3147,,,,,,
2025-05-28,EWZ,26.26,0.0422,67.38,81.8,47.73,1.7138,0.7084,1.214,,,,,,
2025-05-29,EWZ,26.27,0.0423,51.61,18.8,46.95,0.4005,0.9097,0.3643,,,,,,
