date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-23,FCX,34.79,0.0421,65.1,52.96,56.45,0.9382,0.8671,0.8136,49.57,48.45,45.48,1.0653,0.9174,0.9773
2025-04-24,FCX,37.2,0.042,46.58,50.0,45.36,1.1022,0.9738,1.0734,45.63,46.77,41.79,1.1192,0.9157,1.0249
2025-04-25,FCX,36.92,0.0419,48.3,43.22,45.64,0.9471,0.945,0.895,45.29,45.98,40.25,1.1422,0.8887,1.0152
2025-04-28,FCX,36.81,0.0419,52.85,47.96,47.59,1.0077,0.9005,0.9074,44.53,44.64,42.43,1.052,0.9527,1.0023
2025-04-29,FCX,36.74,0.0419,53.35,42.55,42.1,1.0107,0.7892,0.7977,46.22,45.12,42.32,1.0661,0.9157,0.9762
2025-04-30,FCX,35.62,0.0419,47.52,46.47,43.14,1.0771,0.9079,0.9779,43.99,47.19,40.91,1.1534,0.93,1.0727
2025-05-01,FCX,35.99,0.0418,50.52,44.52,43.89,1.0144,0.8686,0.8812,46.17,44.87,42.84,1.0474,0.9279,0.9718
2025-05-02,FCX,37.17,0.0421,59.57,42.3,44.88,0.9425,0.7533,0.71,45.7,43.78,42.22,1.037,0.9238,0.958
2025-05-05,FCX,36.92,0.0421,55.3,43.52,45.94,0.9474,0.8308,0.7871,46.32,44.95,42.56,1.0562,0.9187,0.9703
2025-05-06,FCX,37.48,0.0421,44.19,44.91,46.03,0.9758,1.0416,1.0163,44.43,47.43,42.47,1.1168,0.9558,1.0675
2025-05-07,FCX,36.59,0.0422,49.2,46.51,46.67,0.9965,0.9485,0.9452,44.83,44.93,43.99,1.0213,0.9813,1.0022
2025-05-08,FCX,37.05,0.0422,60.68,43.3,47.97,0.9026,0.7906,0.7136,46.39,44.49,42.73,1.0412,0.9211,0.959
2025-05-09,FCX,37.42,0.0422,48.32,44.19,42.6,1.0372,0.8816,0.9144,44.78,46.22,42.44,1.0892,0.9476,1.0322
2025-05-12,FCX,38.66,0.0428,48.2,38.86,42.22,0.9203,0.876,0.8062,41.9,40.34,37.85,1.0658,0.9032,0.9626
2025-05-13,FCX,39.02,0.0428,50.22,36.76,45.18,0.8137,0.8996,0.7321,42.39,39.25,38.97,1.0073,0.9192,0.926
2025-05-14,FCX,38.61,0.0428,44.04,39.51,45.1,0.876,1.0242,0.8972,40.66,40.68,38.7,1.0514,0.9517,1.0006
2025-05-15,FCX,38.03,0.0426,48.01,43.35,41.14,1.0537,0.857,0.903,41.79,42.89,39.88,1.0755,0.9544,1.0264
2025-05-16,FCX,37.58,0.0424,46.65,39.84,41.32,0.9641,0.8858,0.854,42.1,41.06,39.64,1.0358,0.9415,0.9752
2025-05-19,FCX,38.35,0.0424,43.49,42.17,41.71,1.0111,0.959,0.9696,42.41,42.72,38.99,1.0957,0.9192,1.0071
2025-05-20,FCX,37.96,0.0425,44.09,39.05,40.41,0.9663,0.9165,0.8856,42.91,42.0,39.62,1.0599,0.9234,0.9787
2025-05-21,FCX,37.57,0.0424,47.42,40.73,45.3,0.8991,0.9553,0.8589,46.12,43.09,41.75,1.0322,0.9053,0.9345
2025-05-22,FCX,37.27,0.0423,53.75,38.51,44.24,0.8706,0.823,0.7165,45.15,42.58,42.0,1.0139,0.9301,0.943
2025-05-23,FCX,38.57,0.0423,49.77,43.91,42.14,1.0421,0.8467,0.8824,44.93,46.83,41.56,1.1267,0.925,1.0422
2025-05-27,FCX,39.18,0.042,51.05,39.93,42.27,0.9446,0.828,0.7822,44.23,43.27,40.93,1.0572,0.9254,0.9783
2025-05-28,FCX,38.44,0.0422,48.52,40.44,43.91,0.9211,0.9048,0.8334,44.12,42.01,41.27,1.0179,0.9354,0.9522
2025-05-29,FCX,38.58,0.0423,45.74,40.36,42.77,0.9437,0.935,0.8824,43.2,43.23,40.41,1.0698,0.9354,1.0007
2025-05-30,FCX,38.04,0.0423,47.82,41.56,43.77,0.9497,0.9151,0.8691,44.6,45.85,41.59,1.1025,0.9326,1.0281
2025-06-02,FCX,39.69,0.0423,50.27,40.48,43.55,0.9295,0.8663,0.8053,,,,,,
2025-06-03,FCX,39.78,0.0424,46.39,39.18,41.25,0.9497,0.8893,0.8446,,,,,,
2025-06-04,FCX,40.39,0.0424,46.2,37.75,40.78,0.9259,0.8826,0.8172,,,,,,
2025-06-05,FCX,41.21,0.0423,56.19,37.35,42.92,0.8701,0.7639,0.6647,,,,,,
2025-06-06,FCX,41.0,0.0423,42.8,35.57,41.83,0.8502,0.9775,0.8311,40.62,39.03,38.07,1.0253,0.9372,0.9609
2025-06-09,FCX,41.85,0.0424,48.52,33.07,39.98,0.8272,0.824,0.6817,41.81,39.03,38.22,1.0211,0.9141,0.9334
2025-06-10,FCX,41.71,0.0425,44.57,36.04,37.86,0.9521,0.8494,0.8087,40.39,38.38,37.43,1.0254,0.9267,0.9502
2025-06-11,FCX,40.54,0.0425,46.99,37.1,43.21,0.8586,0.9195,0.7895,42.42,37.15,38.78,0.9578,0.9142,0.8756
2025-06-12,FCX,40.71,0.0426,46.01,38.63,43.86,0.8808,0.9533,0.8396,42.72,39.4,39.9,0.9875,0.934,0.9224
2025-06-13,FCX,40.47,0.0424,41.99,39.06,39.78,0.9819,0.9474,0.9303,41.41,41.83,39.24,1.0658,0.9477,1.0101
2025-06-16,FCX,41.43,0.0425,36.22,35.05,42.42,0.8263,1.1711,0.9677,41.07,39.56,39.43,1.0032,0.9602,0.9633
2025-06-17,FCX,40.89,0.0422,46.4,36.59,39.72,0.9212,0.8561,0.7886,42.22,39.26,38.82,1.0111,0.9197,0.9299
2025-06-18,FCX,40.71,0.0422,43.11,34.05,40.07,0.8499,0.9293,0.7898,41.31,37.97,40.53,0.9369,0.981,0.9191
2025-06-20,FCX,39.76,0.042,43.89,38.29,38.41,0.9967,0.8753,0.8724,40.84,39.51,38.45,1.0275,0.9415,0.9674
2025-06-23,FCX,40.47,0.0416,43.44,38.21,37.76,1.012,0.8692,0.8796,39.07,38.55,37.17,1.0373,0.9514,0.9869
2025-06-24,FCX,41.53,0.0418,43.52,37.2,36.76,1.0121,0.8446,0.8548,37.6,37.16,35.35,1.051,0.9402,0.9882
