date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,FXI,32.64,0.0421,50.47,31.74,43.65,0.7271,0.8649,0.6289,36.84,32.92,34.8,0.946,0.9445,0.8935
2025-04-23,FXI,33.0,0.0421,45.67,34.71,40.11,0.8654,0.8783,0.76,37.35,28.35,33.72,0.8408,0.9029,0.7592
2025-04-24,FXI,33.27,0.042,43.09,26.29,42.95,0.6122,0.9968,0.6102,35.77,29.31,32.41,0.9044,0.9061,0.8195
2025-04-25,FXI,33.15,0.0419,44.35,25.22,38.6,0.6533,0.8705,0.5687,35.28,29.78,32.0,0.9305,0.9069,0.8439
2025-04-28,FXI,33.17,0.0419,41.77,25.18,39.36,0.6397,0.9423,0.6028,34.57,29.39,31.9,0.9213,0.9227,0.8501
2025-04-29,FXI,32.97,0.0419,41.41,24.32,38.31,0.6348,0.9251,0.5872,34.08,28.68,32.14,0.8922,0.943,0.8414
2025-04-30,FXI,33.03,0.0419,38.74,24.17,34.25,0.7055,0.8843,0.6239,33.21,28.6,30.24,0.9456,0.9106,0.861
2025-05-01,FXI,32.96,0.0418,41.95,22.69,35.84,0.6331,0.8543,0.5408,34.32,29.32,31.83,0.9211,0.9275,0.8543
2025-05-02,FXI,34.05,0.0421,42.6,24.33,36.8,0.6611,0.8637,0.571,34.28,29.57,31.62,0.9353,0.9224,0.8627
2025-05-05,FXI,34.02,0.0421,45.53,23.71,43.55,0.5444,0.9565,0.5207,35.12,29.63,32.29,0.9176,0.9193,0.8436
2025-05-06,FXI,34.41,0.0421,39.21,25.69,44.53,0.5768,1.1358,0.6552,35.87,28.22,33.06,0.8536,0.9215,0.7866
2025-05-07,FXI,33.63,0.0422,44.91,23.62,35.41,0.667,0.7884,0.5259,33.91,25.96,33.57,0.7733,0.9899,0.7654
2025-05-08,FXI,34.14,0.0422,39.94,22.04,37.83,0.5827,0.9472,0.5519,32.28,27.1,32.66,0.8297,1.0117,0.8394
2025-05-09,FXI,33.98,0.0422,46.16,22.06,39.43,0.5595,0.8543,0.478,34.07,27.28,32.97,0.8276,0.9677,0.8009
2025-05-12,FXI,35.16,0.0428,41.74,22.4,38.47,0.5824,0.9216,0.5367,32.75,26.75,32.41,0.8253,0.9897,0.8168
2025-05-13,FXI,34.86,0.0428,42.04,18.36,37.42,0.4905,0.8901,0.4366,32.44,26.76,32.15,0.8323,0.991,0.8248
2025-05-14,FXI,35.42,0.0428,44.17,19.2,37.65,0.5099,0.8525,0.4347,31.82,27.75,30.55,0.9083,0.9601,0.8721
2025-05-15,FXI,34.87,0.0426,43.66,19.1,36.84,0.5184,0.8437,0.4374,30.5,25.44,30.07,0.846,0.9861,0.8343
2025-05-16,FXI,34.77,0.0424,39.99,22.92,36.47,0.6285,0.9121,0.5733,30.27,24.7,29.34,0.8417,0.9692,0.8158
2025-05-19,FXI,34.98,0.0424,37.24,23.34,34.1,0.6846,0.9155,0.6268,30.39,25.04,28.88,0.867,0.9501,0.8238
2025-05-20,FXI,35.37,0.0425,31.26,23.18,29.45,0.787,0.9422,0.7414,29.51,27.3,29.39,0.9288,0.9957,0.9249
2025-05-21,FXI,35.21,0.0424,38.77,16.92,39.07,0.433,1.0079,0.4364,30.07,24.88,29.16,0.8533,0.9697,0.8274
2025-05-22,FXI,35.03,0.0423,36.1,22.82,35.61,0.641,0.9863,0.6322,29.81,25.1,29.81,0.8421,1.0,0.8421
2025-05-23,FXI,35.09,0.0423,34.51,23.21,29.07,0.7982,0.8426,0.6726,29.4,26.06,29.4,0.8861,1.0,0.8861
2025-05-27,FXI,34.73,0.042,36.4,16.92,28.18,0.6002,0.7742,0.4647,30.2,24.97,28.17,0.8863,0.9329,0.8269
2025-05-28,FXI,34.38,0.0422,41.42,21.34,30.64,0.6965,0.7398,0.5153,29.18,24.15,28.39,0.8506,0.9728,0.8275
2025-05-29,FXI,34.75,0.0423,30.67,21.63,27.56,0.7849,0.8984,0.7051,29.68,24.06,27.84,0.864,0.9381,0.8105
2025-05-30,FXI,34.14,0.0423,39.79,25.66,32.31,0.794,0.812,0.6447,29.21,25.73,28.19,0.9126,0.9651,0.8808
2025-06-02,FXI,34.48,0.0423,34.71,25.03,28.75,0.8706,0.8282,0.721,,,,,,
