date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-08-18,GDX,57.68,0.0412,30.46,28.3,32.82,0.8624,1.0773,0.929,33.62,31.03,33.19,0.9348,0.9874,0.923
2025-08-19,GDX,56.19,0.0411,36.44,27.61,33.65,0.8205,0.9234,0.7576,33.26,29.27,34.53,0.8477,1.0382,0.8801
2025-08-20,GDX,57.9,0.0411,33.56,28.01,32.72,0.8563,0.9749,0.8348,33.42,30.14,33.01,0.9129,0.9879,0.9019
2025-08-21,GDX,58.86,0.0413,32.62,30.0,33.0,0.9089,1.0118,0.9196,33.85,32.49,34.05,0.9543,1.0061,0.9601
2025-08-22,GDX,59.75,0.0409,36.11,28.74,33.17,0.8665,0.9186,0.7959,34.39,30.63,34.0,0.9008,0.9886,0.8905
2025-08-25,GDX,59.83,0.0409,34.9,28.53,33.79,0.8445,0.9682,0.8176,33.76,30.32,34.1,0.8892,1.01,0.898
2025-08-26,GDX,61.16,0.0409,34.65,30.3,33.71,0.899,0.973,0.8747,32.33,31.26,34.29,0.9118,1.0606,0.9671
2025-08-27,GDX,61.04,0.0406,33.99,29.33,33.85,0.8665,0.9958,0.8628,32.79,30.89,33.55,0.9208,1.023,0.9419
2025-08-28,GDX,60.89,0.0407,33.32,25.31,34.06,0.743,1.0221,0.7594,35.19,31.86,35.45,0.8988,1.0072,0.9052
2025-08-29,GDX,62.71,0.0404,34.44,30.21,34.84,0.8673,1.0114,0.8772,35.15,31.49,35.13,0.8964,0.9992,0.8957
2025-09-02,GDX,64.33,0.0403,37.02,35.18,38.27,0.9192,1.0339,0.9504,37.46,34.14,39.68,0.8605,1.0593,0.9116
2025-09-03,GDX,64.73,0.0402,37.77,33.73,40.15,0.84,1.0631,0.893,35.56,34.3,38.49,0.891,1.0825,0.9645
2025-09-04,GDX,64.1,0.04,35.36,32.53,35.65,0.9125,1.0083,0.9201,34.64,33.28,36.37,0.9152,1.0499,0.9609
2025-09-05,GDX,65.86,0.0391,36.5,33.16,36.96,0.8974,1.0125,0.9086,36.24,34.49,37.1,0.9297,1.0237,0.9517
2025-09-08,GDX,66.76,0.0393,36.64,32.7,36.55,0.8947,0.9973,0.8923,36.08,33.48,37.04,0.9038,1.0266,0.9279
2025-09-09,GDX,66.37,0.0394,37.22,34.07,36.92,0.923,0.9919,0.9155,35.96,34.06,37.28,0.9135,1.0369,0.9472
2025-09-10,GDX,68.01,0.0393,36.51,32.76,34.97,0.9369,0.9577,0.8973,36.19,34.19,36.51,0.9365,1.0089,0.9448
2025-09-11,GDX,69.26,0.0393,36.78,33.5,34.84,0.9616,0.9473,0.9109,35.31,34.66,36.52,0.949,1.0344,0.9816
2025-09-12,GDX,69.25,0.0393,37.05,32.04,36.2,0.8849,0.9771,0.8647,36.53,34.36,36.75,0.935,1.0061,0.9406
2025-09-15,GDX,69.97,0.039,37.11,33.18,38.13,0.87,1.0275,0.894,36.05,33.73,37.6,0.897,1.0429,0.9355
2025-09-16,GDX,68.52,0.0389,39.58,33.83,38.43,0.8802,0.971,0.8547,37.91,34.65,37.78,0.9172,0.9965,0.914
2025-09-17,GDX,68.16,0.0387,34.21,46.61,35.59,1.3096,1.0402,1.3622,36.92,33.63,36.15,0.9305,0.9789,0.9109
2025-09-18,GDX,68.29,0.0388,34.33,32.18,33.66,0.9559,0.9804,0.9371,34.11,33.81,35.23,0.9597,1.033,0.9913
2025-09-19,GDX,71.84,0.0388,38.15,32.23,37.93,0.8498,0.9942,0.8449,37.79,33.62,37.54,0.8957,0.9932,0.8896
2025-09-22,GDX,73.79,0.0385,33.04,38.29,40.82,0.9379,1.2358,1.159,38.68,35.68,39.5,0.9033,1.0212,0.9224
2025-09-23,GDX,73.69,0.0385,41.51,33.76,42.57,0.7929,1.0255,0.8131,42.27,35.65,39.73,0.8974,0.9399,0.8435
2025-09-24,GDX,71.8,0.0386,41.67,34.68,41.66,0.8326,0.9997,0.8324,38.71,34.5,39.25,0.8788,1.014,0.8911
2025-09-25,GDX,72.6,0.0388,41.96,35.62,39.85,0.8938,0.9496,0.8488,38.72,35.98,38.75,0.9285,1.0008,0.9292
2025-09-26,GDX,74.14,0.0386,39.76,35.35,39.61,0.8923,0.9964,0.8891,39.02,35.57,39.09,0.9098,1.0019,0.9115
2025-09-29,GDX,75.17,0.0386,41.62,36.08,43.6,0.8275,1.0474,0.8668,38.79,36.19,40.7,0.8891,1.0494,0.933
2025-09-30,GDX,75.85,0.0385,39.82,38.71,40.42,0.9577,1.0149,0.9719,39.67,38.08,42.93,0.8871,1.0822,0.96
2025-10-01,GDX,76.57,0.0385,44.42,36.1,41.65,0.8667,0.9376,0.8126,40.14,36.31,40.92,0.8875,1.0193,0.9046
2025-10-02,GDX,76.54,0.0385,41.82,37.29,34.69,1.075,0.8296,0.8918,39.15,37.6,39.5,0.952,1.0088,0.9604
2025-10-03,GDX,76.52,0.0386,39.27,35.55,38.6,0.921,0.9831,0.9054,35.21,35.83,38.13,0.9397,1.0831,1.0177
2025-10-06,GDX,78.04,0.0386,42.42,34.33,42.03,0.8168,0.9909,0.8094,38.74,38.13,38.56,0.9888,0.9952,0.9841
2025-10-07,GDX,76.42,0.0384,41.97,37.32,42.42,0.8798,1.0106,0.8891,38.51,38.35,39.08,0.9813,1.0148,0.9958
2025-10-08,GDX,78.58,0.0384,40.43,40.02,41.78,0.9577,1.0334,0.9897,37.44,38.53,38.79,0.9934,1.0361,1.0292
2025-10-09,GDX,75.06,0.0385,43.07,42.15,47.11,0.8947,1.0937,0.9785,37.67,39.68,39.44,1.0061,1.047,1.0534
