date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,GLD,311.11,0.0421,27.29,25.08,29.08,0.8625,1.0655,0.919,22.56,21.23,27.16,0.7816,1.2039,0.941
2025-04-23,GLD,303.65,0.0421,23.88,23.12,23.72,0.9749,0.9931,0.9682,19.77,20.93,21.98,0.9523,1.1118,1.0589
2025-04-24,GLD,308.07,0.042,25.74,22.07,23.26,0.9488,0.9034,0.8572,20.26,20.85,21.29,0.9792,1.0509,1.029
2025-04-25,GLD,304.73,0.0419,22.56,21.89,22.08,0.9911,0.9789,0.9702,19.29,19.3,19.44,0.9927,1.008,1.0007
2025-04-28,GLD,309.07,0.0419,17.89,21.17,22.18,0.9545,1.2394,1.183,19.49,19.74,19.09,1.0335,0.9795,1.0124
2025-04-29,GLD,306.06,0.0419,22.64,22.89,21.58,1.061,0.9529,1.011,19.17,19.5,20.25,0.9628,1.0563,1.017
2025-04-30,GLD,303.77,0.0419,19.91,20.41,22.8,0.8948,1.1453,1.0249,19.73,18.84,21.05,0.895,1.0672,0.9551
2025-05-01,GLD,297.46,0.0418,20.07,19.75,20.29,0.9737,1.0106,0.984,17.89,18.8,19.7,0.9543,1.1015,1.0512
2025-05-02,GLD,297.98,0.0421,19.53,20.54,20.17,1.0182,1.0327,1.0515,18.04,18.81,19.48,0.9653,1.08,1.0425
2025-05-05,GLD,306.88,0.0421,24.58,20.78,22.8,0.9114,0.9274,0.8452,18.51,19.63,21.91,0.8958,1.184,1.0606
2025-05-06,GLD,315.48,0.0421,21.95,23.26,25.0,0.9307,1.1389,1.06,18.28,21.32,22.71,0.9389,1.2426,1.1667
2025-05-07,GLD,310.75,0.0422,22.03,22.66,22.18,1.0218,1.0067,1.0287,21.74,19.9,21.27,0.9357,0.9785,0.9156
2025-05-08,GLD,304.63,0.0422,20.76,21.8,21.0,1.0381,1.012,1.0505,19.62,19.6,20.92,0.9371,1.066,0.999
2025-05-09,GLD,306.84,0.0422,20.44,20.32,22.3,0.9114,1.0908,0.9942,19.28,19.15,21.24,0.9018,1.1015,0.9934
2025-05-12,GLD,298.19,0.0428,20.1,20.18,20.44,0.9875,1.0168,1.0041,17.78,18.5,19.34,0.9564,1.0881,1.0406
2025-05-13,GLD,299.46,0.0428,17.86,18.15,18.52,0.9803,1.037,1.0166,17.44,17.65,18.94,0.932,1.0861,1.0122
2025-05-14,GLD,293.16,0.0428,19.04,19.16,19.42,0.9867,1.0195,1.006,18.31,17.65,19.23,0.918,1.0502,0.964
2025-05-15,GLD,297.84,0.0426,19.54,20.49,20.27,1.0109,1.0375,1.0488,18.36,18.65,20.07,0.9294,1.0928,1.0157
2025-05-16,GLD,294.24,0.0424,19.73,19.76,19.96,0.9899,1.0117,1.0015,18.59,18.05,19.99,0.9027,1.0757,0.971
2025-05-19,GLD,298.03,0.0424,19.6,20.54,19.47,1.0549,0.9936,1.0482,18.55,18.55,20.18,0.9193,1.0875,0.9998
2025-05-20,GLD,303.58,0.0425,21.08,21.37,20.14,1.0607,0.9557,1.0138,18.06,19.18,20.49,0.9361,1.1346,1.0621
2025-05-21,GLD,305.82,0.0424,20.71,21.04,21.37,0.9846,1.0319,1.016,19.72,19.59,21.36,0.917,1.0836,0.9936
2025-05-22,GLD,303.11,0.0423,20.14,19.03,20.94,0.9091,1.0394,0.945,19.77,19.21,20.68,0.929,1.0456,0.9713
2025-05-23,GLD,309.75,0.0423,20.82,20.4,21.48,0.95,1.0317,0.9802,19.53,19.4,20.42,0.9498,1.0458,0.9933
2025-05-27,GLD,304.5,0.042,19.21,19.41,20.82,0.9322,1.0843,1.0107,18.62,19.18,19.72,0.9725,1.0595,1.0303
2025-05-28,GLD,303.81,0.0422,18.68,18.13,18.29,0.9913,0.979,0.9705,17.93,17.77,19.07,0.9319,1.0639,0.9915
2025-05-29,GLD,305.61,0.0423,19.13,18.53,18.65,0.9935,0.975,0.9687,18.32,17.83,18.71,0.9527,1.0216,0.9732
2025-05-30,GLD,303.6,0.0423,17.89,17.75,17.83,0.9956,0.9968,0.9924,17.68,17.5,18.65,0.9384,1.055,0.99
2025-06-02,GLD,311.67,0.0423,17.81,20.04,19.94,1.0048,1.1196,1.125,,,,,,
2025-06-03,GLD,308.91,0.0424,18.98,18.43,18.89,0.9757,0.995,0.9707,,,,,,
2025-06-04,GLD,310.9,0.0424,18.89,17.95,19.64,0.914,1.04,0.9506,,,,,,
2025-06-05,GLD,309.33,0.0423,17.4,18.77,19.59,0.958,1.1262,1.079,,,,,,
2025-06-06,GLD,305.18,0.0423,18.54,17.61,17.98,0.9794,0.9702,0.9502,17.55,16.98,19.16,0.8863,1.0915,0.9675
2025-06-09,GLD,306.62,0.0424,19.79,17.38,19.03,0.9135,0.9614,0.8783,18.05,17.71,19.34,0.9156,1.0712,0.9808
2025-06-10,GLD,306.71,0.0425,19.84,17.4,18.73,0.929,0.9441,0.8771,17.52,17.32,18.4,0.9413,1.0502,0.9886
2025-06-11,GLD,308.37,0.0425,18.05,18.12,19.11,0.9481,1.0588,1.0038,17.68,17.46,17.52,0.9964,0.9912,0.9877
2025-06-12,GLD,312.2,0.0426,19.1,18.89,18.88,1.0005,0.9885,0.989,18.2,17.92,19.36,0.9257,1.064,0.9849
2025-06-13,GLD,316.29,0.0424,20.58,18.75,22.47,0.8346,1.0914,0.9109,18.68,18.58,20.16,0.9221,1.0789,0.9948
2025-06-16,GLD,311.78,0.0425,18.59,17.71,20.06,0.8828,1.0791,0.9525,19.33,17.81,19.6,0.9087,1.0137,0.9212
2025-06-17,GLD,311.94,0.0422,18.63,18.13,19.38,0.9354,1.0405,0.9733,17.61,17.95,19.37,0.927,1.0996,1.0193
2025-06-18,GLD,310.26,0.0422,17.93,17.32,19.95,0.8678,1.1129,0.9658,17.69,17.54,20.08,0.8737,1.1353,0.9919
2025-06-20,GLD,310.13,0.042,17.54,16.97,18.99,0.8936,1.0831,0.9679,17.16,17.01,18.55,0.917,1.0812,0.9915
2025-06-23,GLD,311.08,0.0416,18.28,17.14,19.15,0.8952,1.0475,0.9378,16.64,16.74,18.6,0.8997,1.118,1.0059
2025-06-24,GLD,306.19,0.0418,17.47,16.46,16.85,0.9773,0.9645,0.9427,16.54,16.24,17.04,0.9532,1.0302,0.982
2025-06-25,GLD,307.12,0.0419,16.47,15.91,16.66,0.9551,1.0112,0.9657,15.88,15.81,16.76,0.9427,1.0554,0.995
2025-06-26,GLD,306.78,0.0419,15.79,15.54,15.97,0.9729,1.0118,0.9844,15.52,15.38,16.66,0.9234,1.0736,0.9914
2025-06-27,GLD,301.22,0.042,16.83,14.83,16.02,0.9255,0.952,0.8811,15.28,14.88,16.13,0.9225,1.0558,0.9739
2025-06-30,GLD,304.83,0.0419,16.03,16.62,16.18,1.027,1.0093,1.0366,15.72,15.93,15.52,1.0262,0.9875,1.0134
2025-07-01,GLD,307.55,0.0422,15.85,15.71,16.18,0.9707,1.021,0.9911,15.77,15.49,17.36,0.8919,1.1008,0.9818
2025-07-02,GLD,309.25,0.0422,16.21,16.03,16.05,0.9988,0.9904,0.9892,14.87,15.78,16.59,0.9514,1.1158,1.0616
2025-07-03,GLD,307.14,0.0424,15.26,15.12,15.05,1.0048,0.9862,0.9909,14.86,15.53,16.45,0.9441,1.1075,1.0456
2025-07-07,GLD,307.37,0.0424,16.07,15.62,16.58,0.9425,1.0316,0.9723,13.39,15.63,15.23,1.0264,1.1369,1.1668
2025-07-08,GLD,304.16,0.0425,15.34,14.84,15.61,0.9504,1.0175,0.9671,14.78,15.5,16.4,0.9448,1.1096,1.0483
2025-07-09,GLD,305.52,0.0424,14.88,14.83,15.49,0.9579,1.0407,0.9969,15.33,15.32,15.59,0.9828,1.0169,0.9994
2025-07-10,GLD,306.2,0.0424,14.2,14.93,14.82,1.0072,1.0438,1.0513,14.7,15.4,15.69,0.9815,1.0673,1.0476
2025-07-11,GLD,309.14,0.0424,16.28,15.73,16.94,0.9288,1.0405,0.9664,16.09,15.6,16.94,0.9211,1.053,0.9699
2025-07-14,GLD,308.01,0.0423,16.27,15.62,17.46,0.8945,1.0729,0.9597,16.0,15.08,17.3,0.8716,1.0814,0.9426
2025-07-15,GLD,306.73,0.0423,15.91,15.25,15.9,0.9592,0.9996,0.9589,15.51,15.64,16.43,0.9518,1.0595,1.0084
2025-07-16,GLD,308.26,0.0422,16.55,15.81,17.73,0.8918,1.0711,0.9552,17.43,15.6,17.51,0.8905,1.0048,0.8948
2025-07-17,GLD,307.59,0.0424,15.96,15.66,16.09,0.973,1.0081,0.9809,15.78,16.37,17.04,0.9608,1.0796,1.0373
2025-07-18,GLD,308.39,0.0423,15.94,15.5,16.31,0.9507,1.023,0.9725,16.0,15.43,16.9,0.9133,1.0559,0.9643
2025-07-21,GLD,313.13,0.0422,16.78,16.24,17.06,0.9517,1.0165,0.9674,16.45,16.35,17.46,0.9364,1.0618,0.9943
2025-07-22,GLD,316.1,0.0423,18.0,17.53,17.84,0.9825,0.9912,0.9739,17.51,16.99,18.54,0.9167,1.0586,0.9703
2025-07-23,GLD,312.18,0.0424,17.51,16.86,18.3,0.9215,1.0449,0.9629,19.09,16.79,18.08,0.9287,0.9471,0.8796
2025-07-24,GLD,310.27,0.0424,16.74,16.57,17.39,0.9533,1.0386,0.9901,16.51,16.37,17.71,0.9246,1.0727,0.9918
2025-07-25,GLD,307.4,0.0424,15.98,15.73,15.8,0.9956,0.9887,0.9843,15.69,16.08,16.56,0.9711,1.0555,1.025
2025-07-28,GLD,305.41,0.0424,15.94,15.49,15.63,0.9914,0.9805,0.972,15.24,15.87,16.27,0.9754,1.0676,1.0414
