date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-25,HYG,74.32,0.0419,49.58,4.28,24.09,0.1776,0.4859,0.0863,17.99,7.15,17.99,0.3972,1.0,0.3972
2025-04-28,HYG,74.36,0.0419,42.12,3.73,25.91,0.1439,0.6152,0.0886,17.35,5.48,14.2,0.3858,0.8184,0.3157
2025-04-29,HYG,74.55,0.0419,36.85,4.15,29.99,0.1383,0.8138,0.1125,14.42,6.05,14.42,0.4193,1.0,0.4193
2025-04-30,HYG,74.16,0.0419,61.77,2.71,32.51,0.0834,0.5263,0.0439,26.81,7.23,14.56,0.4966,0.5429,0.2696
2025-05-01,HYG,74.25,0.0418,62.24,2.91,22.87,0.1272,0.3675,0.0468,21.08,7.17,14.85,0.4826,0.7043,0.3399
2025-05-02,HYG,74.48,0.0421,57.22,3.98,22.03,0.1808,0.3851,0.0696,18.02,5.67,14.82,0.3825,0.8228,0.3147
2025-05-05,HYG,74.45,0.0421,30.13,3.83,27.0,0.1417,0.8963,0.127,18.33,7.29,11.43,0.6381,0.6233,0.3978
2025-05-06,HYG,74.4,0.0421,26.24,3.79,26.15,0.1449,0.9964,0.1443,11.07,7.39,11.07,0.6673,1.0,0.6673
2025-05-07,HYG,74.46,0.0422,27.91,3.99,23.27,0.1716,0.8339,0.1431,15.68,6.13,11.03,0.5559,0.7033,0.391
2025-05-08,HYG,74.44,0.0422,33.08,3.82,24.98,0.1531,0.7551,0.1156,11.45,4.5,11.45,0.3933,1.0,0.3933
2025-05-09,HYG,74.49,0.0422,22.07,3.83,26.17,0.1465,1.1861,0.1737,10.79,5.75,10.79,0.533,1.0,0.533
2025-05-12,HYG,75.23,0.0428,31.29,2.98,29.62,0.1006,0.9466,0.0952,19.78,4.66,11.4,0.4083,0.5763,0.2353
2025-05-13,HYG,75.36,0.0428,32.98,3.08,29.68,0.1037,0.8999,0.0933,13.82,4.86,11.13,0.4368,0.8057,0.3519
2025-05-14,HYG,75.09,0.0428,31.92,2.42,32.41,0.0746,1.0154,0.0758,11.14,4.59,11.14,0.4117,1.0,0.4117
2025-05-15,HYG,75.23,0.0426,33.12,2.72,18.28,0.1486,0.5518,0.082,22.77,4.74,10.87,0.4364,0.4771,0.2082
2025-05-16,HYG,75.32,0.0424,33.12,3.14,20.74,0.1513,0.6263,0.0948,10.69,6.13,10.69,0.5738,1.0,0.5738
2025-05-19,HYG,75.28,0.0424,34.49,3.08,21.21,0.145,0.615,0.0892,13.54,4.71,13.54,0.3475,1.0,0.3475
2025-05-20,HYG,75.24,0.0425,35.05,3.13,21.57,0.1449,0.6155,0.0892,20.39,4.71,9.32,0.5056,0.4571,0.2311
2025-05-21,HYG,74.74,0.0424,33.12,2.83,30.46,0.093,0.9197,0.0855,16.03,5.4,13.39,0.403,0.8352,0.3366
