date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,IBB,120.14,0.0421,23.1,32.75,26.54,1.2337,1.1493,1.4178,26.95,32.05,24.0,1.3354,0.8905,1.1891
2025-04-23,IBB,121.71,0.0421,30.57,30.09,26.72,1.1262,0.874,0.9843,33.4,29.47,23.55,1.2513,0.7051,0.8823
2025-04-24,IBB,123.9,0.042,24.43,31.29,24.63,1.2708,1.0082,1.2812,23.67,,21.76,,0.9193,
2025-04-25,IBB,122.92,0.0419,25.36,35.6,25.03,1.4225,0.9868,1.4037,26.8,,23.44,,0.8747,
2025-04-28,IBB,124.32,0.0419,22.71,32.6,23.82,1.3684,1.0492,1.4357,23.76,31.76,22.56,1.4078,0.9495,1.3366
2025-04-29,IBB,124.45,0.0419,27.88,27.12,25.14,1.0791,0.9016,0.9729,25.08,,23.99,,0.9568,
2025-04-30,IBB,126.28,0.0419,23.54,28.65,22.17,1.2924,0.9417,1.217,22.95,27.51,21.51,1.279,0.9371,1.1986
2025-05-01,IBB,124.58,0.0418,28.78,28.55,27.05,1.0555,0.94,0.9922,26.74,27.66,23.61,1.1717,0.8827,1.0343
2025-05-06,IBB,118.32,0.0421,31.22,36.72,31.66,1.1598,1.0143,1.1763,,,,,,
2025-05-07,IBB,119.11,0.0422,29.3,34.67,25.76,1.3458,0.8792,1.1832,27.14,33.31,27.14,1.2273,1.0,1.2273
2025-05-08,IBB,118.89,0.0422,32.82,32.14,26.5,1.213,0.8074,0.9794,28.29,28.89,28.29,1.0211,1.0,1.0211
2025-05-09,IBB,116.35,0.0422,34.3,34.98,29.98,1.1669,0.8741,1.02,,34.26,,,,
2025-05-12,IBB,121.76,0.0428,25.33,28.71,23.74,1.2092,0.9374,1.1335,23.13,34.02,23.13,1.4708,1.0,1.4708
2025-05-13,IBB,119.24,0.0428,30.35,27.76,25.38,1.0936,0.8364,0.9147,23.57,28.37,22.7,1.2499,0.963,1.2036
2025-05-14,IBB,116.64,0.0428,27.65,29.99,24.9,1.2043,0.9005,1.0845,,25.38,,,,
2025-05-15,IBB,118.95,0.0426,24.67,27.98,21.66,1.2918,0.878,1.1342,20.83,31.46,20.85,1.5087,1.0012,1.5105
2025-05-16,IBB,120.87,0.0424,25.12,28.57,22.63,1.2624,0.9009,1.1373,21.81,28.51,20.11,1.4179,0.9218,1.307
2025-05-19,IBB,122.22,0.0424,23.88,29.43,22.18,1.3266,0.9289,1.2323,20.83,,19.76,,0.9488,
2025-05-20,IBB,124.37,0.0425,23.42,29.16,21.77,1.3394,0.9295,1.2449,21.55,29.08,19.42,1.4975,0.901,1.3492
2025-05-21,IBB,121.4,0.0424,27.63,29.08,24.15,1.2045,0.8738,1.0526,27.46,,21.12,,0.7691,
2025-05-22,IBB,121.13,0.0423,28.78,30.12,25.95,1.1607,0.9015,1.0464,24.95,28.56,21.83,1.3082,0.875,1.1446
2025-05-23,IBB,120.96,0.0423,26.97,33.46,25.59,1.3075,0.9489,1.2407,22.05,,22.05,,1.0,
2025-05-27,IBB,122.56,0.042,29.37,31.44,27.09,1.1606,0.9225,1.0707,25.55,,24.72,,0.9674,
2025-05-28,IBB,121.62,0.0422,29.38,30.45,28.28,1.0768,0.9623,1.0363,24.81,26.53,24.52,1.0818,0.9883,1.0691
2025-05-29,IBB,123.94,0.0423,26.75,29.52,26.09,1.1312,0.9754,1.1034,23.58,,21.47,,0.9105,
2025-05-30,IBB,121.43,0.0423,30.4,29.53,26.88,1.0983,0.8842,0.9712,23.32,32.35,22.12,1.4623,0.9485,1.387
2025-06-02,IBB,123.41,0.0423,27.6,28.56,24.97,1.1436,0.9049,1.0348,,,,,,
2025-06-03,IBB,124.53,0.0424,27.87,24.2,25.2,0.9603,0.9042,0.8682,,,,,,
2025-06-04,IBB,124.82,0.0424,25.02,21.53,22.14,0.9724,0.8848,0.8603,,,,,,
2025-06-05,IBB,124.76,0.0423,25.88,24.76,23.44,1.0564,0.9057,0.9568,,,,,,
2025-06-06,IBB,126.66,0.0423,22.41,24.19,20.23,1.1959,0.9028,1.0797,22.35,25.64,19.38,1.3231,0.8672,1.1474
2025-06-09,IBB,127.28,0.0424,23.48,23.49,18.59,1.2634,0.7917,1.0003,22.34,25.6,20.42,1.2538,0.914,1.146
2025-06-10,IBB,128.48,0.0425,23.74,23.96,20.95,1.1439,0.8824,1.0094,22.9,25.2,20.65,1.2207,0.9018,1.1008
2025-06-11,IBB,127.55,0.0425,24.92,24.74,23.37,1.0585,0.9378,0.9926,25.87,24.07,25.87,0.9303,1.0,0.9303
2025-06-12,IBB,128.69,0.0426,23.94,28.09,22.49,1.2493,0.9393,1.1735,22.36,27.27,19.99,1.3645,0.8939,1.2198
2025-06-13,IBB,127.69,0.0424,25.79,26.28,22.68,1.1584,0.8796,1.0189,21.94,25.24,21.86,1.1546,0.9961,1.1502
2025-06-16,IBB,127.54,0.0425,24.44,27.41,21.83,1.2554,0.8936,1.1218,22.07,26.43,19.82,1.3332,0.8982,1.1975
2025-06-17,IBB,125.02,0.0422,25.81,25.81,22.88,1.128,0.8864,0.9999,23.91,23.77,20.65,1.1513,0.8637,0.9943
2025-06-18,IBB,125.47,0.0422,26.25,25.81,23.21,1.1119,0.8844,0.9834,22.94,23.65,22.94,1.0311,1.0,1.0311
2025-06-20,IBB,125.21,0.042,24.47,25.97,22.59,1.1493,0.9234,1.0613,20.25,29.01,20.25,1.4328,1.0,1.4328
2025-06-23,IBB,124.64,0.0416,26.92,24.55,23.15,1.0608,0.8599,0.9122,21.08,25.71,19.71,1.3043,0.9349,1.2194
2025-06-24,IBB,127.1,0.0418,23.67,22.67,21.64,1.0472,0.9142,0.9574,,24.15,,,,
2025-06-25,IBB,126.39,0.0419,22.16,24.5,18.78,1.3041,0.8477,1.1055,20.1,24.83,18.45,1.3463,0.9176,1.2353
2025-06-26,IBB,126.71,0.0419,20.85,22.46,19.5,1.1521,0.9351,1.0773,21.43,23.53,19.09,1.2323,0.891,1.098
2025-06-27,IBB,126.17,0.042,21.12,19.91,19.12,1.041,0.9054,0.9425,19.64,21.93,19.64,1.1168,1.0,1.1168
2025-06-30,IBB,126.21,0.0419,20.13,22.2,19.17,1.1582,0.952,1.1025,20.36,23.9,18.59,1.2854,0.9132,1.1738
2025-07-01,IBB,127.32,0.0422,20.72,21.89,21.98,0.9958,1.0606,1.0562,21.56,,20.51,,0.9513,
2025-07-02,IBB,129.24,0.0422,21.06,22.38,19.76,1.133,0.9382,1.063,20.41,25.38,17.65,1.438,0.8647,1.2435
2025-07-03,IBB,129.69,0.0424,20.42,22.32,20.1,1.1106,0.9841,1.093,20.55,22.77,18.99,1.1992,0.9238,1.1078
2025-07-07,IBB,127.81,0.0424,22.11,24.26,22.36,1.0851,1.0111,1.0972,20.02,23.44,20.02,1.1706,1.0,1.1706
2025-07-08,IBB,129.02,0.0425,27.0,23.34,24.7,0.945,0.9146,0.8643,21.6,20.06,20.97,0.9568,0.971,0.9291
2025-07-09,IBB,131.97,0.0424,20.63,24.56,20.56,1.1949,0.9965,1.1907,20.23,,20.23,,1.0,
2025-07-10,IBB,133.33,0.0424,22.18,22.84,20.37,1.1213,0.9183,1.0298,20.66,21.7,18.31,1.185,0.8862,1.0501
2025-07-11,IBB,131.27,0.0424,24.68,23.6,22.41,1.0535,0.9078,0.9564,21.29,24.59,18.43,1.3341,0.8658,1.155
2025-07-14,IBB,131.57,0.0423,23.62,23.5,21.98,1.0692,0.9306,0.995,20.47,,20.41,,0.9971,
2025-07-15,IBB,128.74,0.0423,25.2,25.58,23.42,1.0921,0.9292,1.0149,24.3,25.37,19.91,1.2743,0.8195,1.0442
2025-07-16,IBB,130.87,0.0422,20.17,28.01,22.21,1.261,1.1013,1.3887,22.22,25.63,19.54,1.3117,0.8793,1.1533
2025-07-17,IBB,131.42,0.0424,23.78,24.4,19.99,1.2204,0.8407,1.026,21.14,,20.08,,0.9498,
