date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,IEF,90.72,0.0421,28.82,3.98,20.45,0.1945,0.7096,0.138,16.93,,15.67,,0.9252,
2025-04-23,IEF,90.81,0.0421,32.28,3.65,20.41,0.1786,0.6324,0.1129,18.79,4.6,14.72,0.3124,0.7832,0.2447
2025-04-24,IEF,91.3,0.042,24.68,3.33,22.39,0.1486,0.9072,0.1348,,4.9,,,,
2025-04-25,IEF,91.65,0.0419,25.6,4.29,19.84,0.2163,0.775,0.1676,15.09,,14.99,,0.9939,
2025-04-28,IEF,92.01,0.0419,35.18,1.41,18.9,0.0744,0.5372,0.0399,19.7,5.34,15.18,0.3516,0.7708,0.271
2025-04-29,IEF,92.33,0.0419,29.09,5.91,23.69,0.2493,0.8146,0.203,18.47,9.61,17.26,0.5569,0.9344,0.5204
2025-04-30,IEF,92.48,0.0419,35.24,1.43,18.63,0.0766,0.5286,0.0405,16.55,,15.96,,0.9644,
2025-05-01,IEF,92.07,0.0418,37.94,1.26,24.04,0.0524,0.6335,0.0332,15.99,5.14,15.08,0.3411,0.9428,0.3216
2025-05-02,IEF,91.46,0.0421,25.79,5.09,17.46,0.2915,0.6772,0.1974,15.91,4.34,14.1,0.3075,0.8865,0.2726
2025-05-05,IEF,91.29,0.0421,23.83,3.97,19.62,0.2024,0.8231,0.1666,,,,,,
2025-05-06,IEF,91.52,0.0421,21.8,1.28,19.15,0.0667,0.8783,0.0586,,,,,,
2025-05-07,IEF,91.77,0.0422,26.68,2.17,16.03,0.1353,0.6008,0.0813,,,,,,
2025-05-08,IEF,91.05,0.0422,24.73,2.48,17.03,0.1454,0.6887,0.1001,,,,,,
2025-05-09,IEF,91.12,0.0422,21.53,4.35,17.89,0.2429,0.831,0.2018,,,,,,
2025-05-12,IEF,90.54,0.0428,23.33,2.63,22.21,0.1183,0.9521,0.1127,,,,,,
2025-05-13,IEF,90.47,0.0428,22.47,1.09,15.57,0.0703,0.6931,0.0487,,,,,,
2025-05-14,IEF,90.13,0.0428,25.8,2.42,16.72,0.1447,0.6483,0.0938,,,,,,
2025-05-15,IEF,90.72,0.0426,22.87,3.4,22.82,0.1491,0.9978,0.1488,,,,,,
2025-05-16,IEF,90.75,0.0424,21.01,4.74,20.27,0.234,0.9645,0.2257,12.55,9.1,12.55,0.7252,1.0,0.7252
2025-05-19,IEF,90.7,0.0424,23.38,3.73,19.98,0.1867,0.8547,0.1596,13.29,,12.86,,0.9678,
2025-05-20,IEF,90.59,0.0425,20.4,6.06,17.91,0.3382,0.8779,0.2969,12.21,5.63,12.21,0.4608,1.0,0.4608
2025-05-21,IEF,89.96,0.0424,31.38,4.06,17.54,0.2314,0.5591,0.1294,14.59,,13.81,,0.9463,
2025-05-22,IEF,90.3,0.0423,32.34,3.08,17.52,0.1759,0.5417,0.0953,15.27,9.99,12.64,0.7902,0.8277,0.654
2025-05-23,IEF,90.56,0.0423,25.65,3.39,15.9,0.2132,0.6199,0.1322,14.2,,13.93,,0.9812,
2025-05-27,IEF,90.93,0.042,28.14,1.55,17.0,0.0913,0.604,0.0552,15.28,4.58,13.41,0.3416,0.8773,0.2997
2025-05-28,IEF,90.68,0.0422,32.45,,19.12,,0.5893,,17.98,6.02,16.23,0.3707,0.9025,0.3346
2025-05-29,IEF,91.06,0.0423,26.03,6.99,18.91,0.3697,0.7265,0.2685,21.9,8.88,14.9,0.5961,0.6803,0.4055
2025-05-30,IEF,91.33,0.0423,22.79,2.2,18.87,0.1167,0.8278,0.0966,13.55,5.45,12.53,0.4353,0.9247,0.4025
2025-06-02,IEF,91.02,0.0423,25.44,1.44,20.79,0.0693,0.8171,0.0566,,,,,,
2025-06-03,IEF,90.93,0.0424,21.38,2.72,17.18,0.1585,0.8039,0.1274,,,,,,
2025-06-04,IEF,91.6,0.0424,23.38,3.87,18.49,0.2095,0.791,0.1657,,,,,,
2025-06-05,IEF,91.33,0.0423,19.84,2.18,18.82,0.1158,0.9484,0.1099,,,,,,
2025-06-06,IEF,90.6,0.0423,20.48,3.45,19.94,0.1731,0.9732,0.1685,13.98,,11.75,,0.8405,
2025-06-09,IEF,90.77,0.0424,17.86,4.02,18.39,0.2184,1.03,0.2249,14.53,,12.64,,0.8696,
2025-06-10,IEF,90.92,0.0425,21.89,2.33,22.14,0.1053,1.0114,0.1065,11.45,5.39,11.45,0.4705,1.0,0.4705
2025-06-11,IEF,91.3,0.0425,17.62,2.31,15.32,0.1505,0.8699,0.1309,15.58,4.69,11.72,0.4002,0.7526,0.3012
2025-06-12,IEF,91.7,0.0426,23.76,3.31,16.11,0.2054,0.6781,0.1393,14.5,4.95,12.48,0.3968,0.8606,0.3414
2025-06-13,IEF,91.36,0.0424,23.99,4.51,15.88,0.2839,0.6618,0.1879,12.46,5.69,11.65,0.4885,0.935,0.4568
2025-06-16,IEF,91.1,0.0425,16.51,2.19,16.69,0.131,1.0108,0.1324,12.41,,11.62,,0.9361,
2025-06-17,IEF,91.54,0.0422,26.14,4.97,16.46,0.3019,0.6297,0.1901,18.58,5.58,11.2,0.4986,0.6029,0.3006
2025-06-18,IEF,91.6,0.0422,24.32,2.94,16.35,0.1797,0.6722,0.1208,13.57,,11.26,,0.8298,
2025-06-20,IEF,91.66,0.042,27.67,,16.43,,0.594,,17.22,,12.66,,0.7352,
2025-06-23,IEF,91.98,0.0416,35.07,2.54,19.05,0.1331,0.5432,0.0723,15.74,3.9,12.29,0.3173,0.7808,0.2477
2025-06-24,IEF,92.3,0.0418,26.06,2.23,17.6,0.1268,0.6752,0.0856,15.64,4.24,11.39,0.372,0.7281,0.2708
2025-06-25,IEF,92.34,0.0419,26.69,2.87,15.07,0.1907,0.5646,0.1077,13.77,4.31,11.19,0.3855,0.8125,0.3132
2025-06-26,IEF,92.67,0.0419,28.4,2.79,16.04,0.174,0.5647,0.0983,13.18,3.87,11.39,0.3399,0.864,0.2937
