date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,INDA,53.5,0.0421,18.68,20.02,17.9,1.1185,0.9578,1.0713,,,,,,
2025-04-23,INDA,53.18,0.0421,19.82,22.22,20.12,1.1043,1.0155,1.1214,,,,,,
2025-04-24,INDA,53.74,0.042,19.56,22.28,19.21,1.1594,0.9823,1.1389,,,,,,
2025-04-25,INDA,52.85,0.0419,19.99,22.59,18.9,1.1954,0.9454,1.1301,,,,,,
2025-04-28,INDA,53.29,0.0419,22.07,26.19,20.67,1.2673,0.9363,1.1866,,,,,,
2025-04-29,INDA,53.54,0.0419,22.0,25.06,21.53,1.1639,0.9785,1.1389,,,,,,
2025-04-30,INDA,53.57,0.0419,21.31,24.65,20.2,1.22,0.9481,1.1566,,,,,,
2025-05-01,INDA,53.54,0.0418,22.39,25.19,19.77,1.2736,0.8833,1.125,,,,,,
2025-05-06,INDA,53.68,0.0421,19.41,21.52,17.61,1.2217,0.9071,1.1083,,,,,,
2025-05-07,INDA,53.22,0.0422,20.11,22.95,18.7,1.2273,0.9298,1.1411,,,,,,
2025-05-08,INDA,51.54,0.0422,23.61,27.27,21.88,1.2464,0.9266,1.1549,,,,,,
2025-05-09,INDA,52.39,0.0422,19.96,27.56,19.85,1.3883,0.9943,1.3804,,,,,,
2025-05-12,INDA,54.32,0.0428,17.48,21.96,18.27,1.202,1.0452,1.2564,,,,,,
2025-05-13,INDA,54.01,0.0428,19.77,21.37,16.23,1.3166,0.8208,1.0806,,,,,,
2025-05-14,INDA,53.97,0.0428,17.76,21.08,17.19,1.2263,0.9675,1.1865,,,,,,
2025-05-15,INDA,54.77,0.0426,16.03,19.49,15.76,1.2366,0.9832,1.2158,,,,,,
2025-05-16,INDA,54.66,0.0424,14.9,18.3,15.35,1.1924,1.0296,1.2276,,,,,,
2025-05-19,INDA,54.78,0.0424,16.04,18.46,14.74,1.2522,0.9191,1.151,,,,,,
2025-05-20,INDA,54.07,0.0425,17.75,19.63,16.16,1.2143,0.9107,1.1059,,,,,,
2025-05-21,INDA,54.03,0.0424,18.78,19.72,15.86,1.2437,0.8446,1.0503,,,,,,
2025-05-22,INDA,53.79,0.0423,17.26,20.11,16.28,1.2352,0.9431,1.165,,,,,,
2025-05-23,INDA,54.58,0.0423,15.15,19.18,15.27,1.2559,1.0076,1.2655,,,,,,
2025-05-27,INDA,54.53,0.042,15.19,18.72,13.98,1.3385,0.9208,1.2325,,,,,,
2025-05-28,INDA,54.29,0.0422,17.87,19.23,16.17,1.1893,0.9045,1.0757,,,,,,
2025-05-29,INDA,54.59,0.0423,16.39,19.12,15.44,1.238,0.9422,1.1665,,,,,,
2025-05-30,INDA,54.31,0.0423,16.25,18.55,16.38,1.1325,1.0082,1.1418,,,,,,
2025-06-02,INDA,54.54,0.0423,14.42,19.58,15.01,1.3044,1.0409,1.3577,,,,,,
2025-06-03,INDA,53.96,0.0424,17.37,18.45,16.04,1.1501,0.9235,1.0622,,,,,,
2025-06-04,INDA,53.92,0.0424,16.43,18.29,15.65,1.1692,0.9523,1.1135,,,,,,
2025-06-05,INDA,54.18,0.0423,15.46,17.77,14.67,1.2115,0.9489,1.1496,,,,,,
2025-06-06,INDA,54.91,0.0423,15.22,18.81,13.34,1.4097,0.8764,1.2354,15.26,18.62,13.83,1.3464,0.9063,1.2202
2025-06-09,INDA,55.24,0.0424,14.99,18.1,14.94,1.2115,0.9965,1.2072,15.87,18.08,14.21,1.2719,0.8957,1.1393
2025-06-10,INDA,55.26,0.0425,14.81,18.0,14.25,1.2629,0.9621,1.2151,14.74,17.6,14.26,1.2343,0.9676,1.1944
2025-06-11,INDA,55.33,0.0425,14.89,16.03,14.46,1.1086,0.971,1.0765,15.67,16.94,14.78,1.1455,0.9432,1.0805
2025-06-12,INDA,54.8,0.0426,15.08,17.8,15.06,1.1821,0.9991,1.181,15.25,19.86,14.84,1.3384,0.9733,1.3027
2025-06-13,INDA,54.04,0.0424,16.0,19.25,14.87,1.2947,0.9293,1.2031,16.64,18.21,15.07,1.2085,0.9056,1.0943
2025-06-16,INDA,54.56,0.0425,15.07,16.62,16.59,1.0018,1.1007,1.1027,16.57,17.28,16.57,1.043,1.0,1.043
2025-06-17,INDA,53.83,0.0422,16.6,17.41,15.07,1.1554,0.9079,1.0489,17.11,18.72,16.26,1.1516,0.9502,1.0943
2025-06-18,INDA,53.79,0.0422,8.8,17.91,15.53,1.1529,1.7657,2.0356,15.58,20.57,16.13,1.2753,1.0354,1.3205
2025-06-20,INDA,53.9,0.042,15.17,16.67,16.06,1.0384,1.0586,1.0992,17.59,15.82,15.45,1.0238,0.8784,0.8993
2025-06-23,INDA,54.31,0.0416,15.02,19.04,13.75,1.3845,0.9153,1.2672,15.4,19.18,14.47,1.3259,0.9396,1.2458
2025-06-24,INDA,54.8,0.0418,13.81,16.54,13.46,1.2292,0.9747,1.1982,15.34,15.9,13.86,1.1471,0.9036,1.0365
2025-06-25,INDA,55.0,0.0419,13.18,13.91,13.12,1.0602,0.9951,1.0551,14.16,16.59,13.47,1.2314,0.9509,1.171
2025-06-26,INDA,55.71,0.0419,12.29,13.43,11.99,1.1197,0.9752,1.092,14.3,15.51,13.65,1.136,0.9548,1.0848
2025-06-27,INDA,55.86,0.042,12.39,13.59,12.76,1.0652,1.0297,1.0968,14.96,15.48,13.12,1.1802,0.8769,1.035
2025-06-30,INDA,55.68,0.0419,12.69,13.76,13.86,0.9925,1.0926,1.0844,14.45,15.2,14.45,1.0524,1.0,1.0524
2025-07-01,INDA,55.84,0.0422,12.99,15.37,12.99,1.1836,0.9999,1.1835,13.9,17.69,14.46,1.2235,1.0401,1.2726
2025-07-02,INDA,55.6,0.0422,14.36,15.06,14.48,1.0406,1.0082,1.0492,14.99,30.05,14.38,2.0893,0.9599,2.0054
2025-07-03,INDA,55.79,0.0424,13.69,15.31,13.39,1.1431,0.9781,1.118,15.58,,13.92,,0.8936,
2025-07-07,INDA,55.36,0.0424,13.96,14.64,13.57,1.0791,0.9716,1.0484,,,,,,
2025-07-08,INDA,55.69,0.0425,13.26,14.04,12.89,1.0887,0.9724,1.0586,,,,,,
2025-07-09,INDA,55.66,0.0424,13.41,14.66,13.01,1.1266,0.97,1.0928,,,,,,
2025-07-10,INDA,55.27,0.0424,14.06,14.9,12.4,1.2018,0.8815,1.0594,,,,,,
2025-07-11,INDA,54.88,0.0424,13.7,14.16,12.34,1.1471,0.9012,1.0337,,,,,,
