date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,ITA,145.38,0.0421,22.2,27.37,23.73,1.1533,1.069,1.2328,22.22,25.83,21.28,1.2137,0.9578,1.1624
2025-04-23,ITA,149.44,0.0421,33.27,32.65,24.39,1.3391,0.733,0.9816,27.16,26.21,24.96,1.0501,0.9188,0.9648
2025-04-24,ITA,152.05,0.042,24.41,23.77,23.07,1.0302,0.945,0.9735,20.22,24.17,19.09,1.2665,0.9441,1.1958
2025-04-25,ITA,153.91,0.0419,19.21,23.16,19.21,1.2053,1.0,1.2053,20.74,22.13,20.74,1.0669,1.0,1.0669
2025-04-28,ITA,154.89,0.0419,27.66,21.39,23.29,0.9186,0.8419,0.7733,23.47,,16.65,,0.7094,
2025-04-29,ITA,155.6,0.0419,24.99,24.05,20.27,1.1865,0.8111,0.9623,21.36,34.31,21.52,1.5943,1.0078,1.6067
2025-04-30,ITA,156.08,0.0419,21.3,28.89,18.12,1.5944,0.8506,1.3561,18.36,27.73,18.65,1.487,1.0159,1.5106
2025-05-01,ITA,157.71,0.0418,21.98,20.82,20.41,1.0199,0.9287,0.9472,22.48,24.97,19.46,1.2831,0.8655,1.1105
2025-05-06,ITA,159.28,0.0421,21.82,23.18,17.64,1.3142,0.8084,1.0624,,,,,,
2025-05-07,ITA,159.46,0.0422,22.05,18.87,12.47,1.5128,0.5657,0.8558,,,,,,
2025-05-08,ITA,162.57,0.0422,21.53,17.14,15.18,1.1291,0.7051,0.7961,,,,,,
2025-05-09,ITA,162.46,0.0422,18.14,24.53,18.07,1.3577,0.9958,1.3519,,,,,,
2025-05-12,ITA,164.76,0.0428,18.59,19.1,15.59,1.2249,0.8387,1.0273,,,,,,
2025-05-13,ITA,166.05,0.0428,20.84,17.3,15.76,1.0976,0.7563,0.8301,,,,,,
2025-05-14,ITA,166.23,0.0428,20.67,18.89,13.44,1.4054,0.6504,0.914,,,,,,
2025-05-15,ITA,169.76,0.0426,18.16,18.33,16.3,1.125,0.8973,1.0094,,,,,,
2025-05-16,ITA,171.03,0.0424,17.02,15.69,15.87,0.9884,0.9326,0.9218,,,,,,
2025-05-19,ITA,172.38,0.0424,17.08,19.76,13.2,1.4967,0.7729,1.1567,,,,,,
2025-05-20,ITA,172.49,0.0425,17.06,22.41,15.84,1.4151,0.9284,1.3139,,,,,,
