date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,ITB,89.56,0.0421,36.67,33.35,34.03,0.9799,0.928,0.9093,30.13,34.91,28.14,1.2406,0.9339,1.1586
2025-04-23,ITB,89.43,0.0421,57.33,31.87,40.37,0.7895,0.7042,0.556,30.92,28.79,32.56,0.8842,1.0532,0.9312
2025-04-24,ITB,91.05,0.042,41.85,32.06,32.32,0.9917,0.7724,0.766,29.28,31.47,27.62,1.1394,0.9433,1.0748
2025-04-25,ITB,90.17,0.0419,33.89,30.8,29.24,1.0532,0.8628,0.9087,30.41,30.94,28.7,1.0783,0.9437,1.0176
2025-04-28,ITB,90.32,0.0419,39.65,32.75,31.57,1.0375,0.7961,0.826,28.86,33.33,29.02,1.1488,1.0055,1.1552
2025-04-29,ITB,90.5,0.0419,33.96,30.63,28.56,1.0724,0.841,0.9019,33.21,33.62,27.74,1.2121,0.8352,1.0123
2025-04-30,ITB,90.99,0.0419,34.0,41.45,28.87,1.4357,0.8491,1.219,,30.38,,,,
2025-05-01,ITB,90.77,0.0418,38.55,24.81,34.18,0.7257,0.8868,0.6435,30.57,30.96,30.57,1.0129,1.0,1.0129
2025-05-02,ITB,92.54,0.0421,32.71,29.13,31.73,0.9179,0.9702,0.8906,30.19,31.09,27.25,1.1409,0.9026,1.0297
2025-05-05,ITB,91.78,0.0421,38.98,27.66,35.45,0.7802,0.9095,0.7096,,,,,,
2025-05-06,ITB,89.86,0.0421,34.9,27.51,31.12,0.884,0.8916,0.7882,,,,,,
2025-05-07,ITB,90.04,0.0422,34.76,29.08,30.79,0.9445,0.8858,0.8367,,,,,,
2025-05-08,ITB,91.61,0.0422,30.52,32.46,35.35,0.9182,1.1584,1.0636,,,,,,
2025-05-09,ITB,90.95,0.0422,35.62,29.71,32.02,0.9278,0.899,0.8341,,,,,,
2025-05-12,ITB,94.84,0.0428,29.4,28.3,27.4,1.0329,0.932,0.9627,,,,,,
2025-05-13,ITB,94.99,0.0428,36.34,26.86,29.46,0.912,0.8106,0.7392,,,,,,
2025-05-14,ITB,92.15,0.0428,36.0,28.56,36.03,0.7925,1.0009,0.7932,,,,,,
2025-05-15,ITB,92.93,0.0426,30.9,27.65,27.08,1.021,0.8762,0.8946,,,,,,
2025-05-16,ITB,94.28,0.0424,26.01,26.61,27.25,0.9766,1.0475,1.023,,,,,,
2025-05-19,ITB,93.39,0.0424,30.86,27.66,28.29,0.9778,0.9167,0.8963,,,,,,
2025-05-20,ITB,92.04,0.0425,34.0,25.63,33.8,0.7582,0.9943,0.7538,,,,,,
2025-05-21,ITB,89.47,0.0424,49.16,32.45,35.38,0.9171,0.7198,0.6601,,,,,,
2025-05-22,ITB,89.07,0.0423,32.61,32.18,31.9,1.0087,0.9783,0.9868,,,,,,
2025-05-23,ITB,88.67,0.0423,36.86,30.13,30.68,0.9822,0.8323,0.8175,,,,,,
2025-05-27,ITB,90.48,0.042,30.09,30.36,27.51,1.1037,0.914,1.0088,,,,,,
2025-05-28,ITB,87.99,0.0422,36.89,26.71,27.95,0.9554,0.7577,0.7239,,,,,,
2025-05-29,ITB,88.64,0.0423,30.84,28.28,31.27,0.9045,1.014,0.9172,,,,,,
2025-05-30,ITB,88.41,0.0423,32.18,26.58,28.38,0.9366,0.882,0.8261,,,,,,
2025-06-02,ITB,87.44,0.0423,32.8,30.01,26.48,1.1333,0.8074,0.915,,,,,,
2025-06-03,ITB,88.87,0.0424,30.94,29.89,26.68,1.1204,0.8623,0.9661,,,,,,
2025-06-04,ITB,90.72,0.0424,30.01,26.84,25.09,1.0697,0.8361,0.8944,,,,,,
2025-06-05,ITB,90.65,0.0423,31.52,26.87,28.01,0.9592,0.8887,0.8525,,,,,,
2025-06-06,ITB,89.59,0.0423,34.26,28.03,30.7,0.9128,0.8963,0.8181,,,,,,
2025-06-09,ITB,90.6,0.0424,36.08,27.64,31.0,0.8915,0.8592,0.766,,,,,,
2025-06-10,ITB,93.05,0.0425,33.32,30.39,30.43,0.9989,0.9131,0.9121,,,,,,
2025-06-11,ITB,91.38,0.0425,33.47,26.36,29.68,0.8884,0.8867,0.7877,,,,,,
2025-06-12,ITB,91.93,0.0426,32.92,29.84,27.82,1.0726,0.845,0.9064,,,,,,
2025-06-13,ITB,89.23,0.0424,35.38,27.8,29.1,0.9553,0.8224,0.7857,,,,,,
2025-06-16,ITB,89.82,0.0425,34.74,31.17,30.19,1.0323,0.8692,0.8973,,,,,,
2025-06-17,ITB,87.29,0.0422,32.79,32.55,34.33,0.9484,1.0468,0.9928,,,,,,
2025-06-18,ITB,87.32,0.0422,36.29,29.69,31.25,0.95,0.8613,0.8182,,,,,,
2025-06-20,ITB,89.21,0.042,31.77,32.83,27.37,1.1994,0.8616,1.0334,,,,,,
2025-06-23,ITB,92.08,0.0416,22.53,36.86,23.45,1.5714,1.0409,1.6357,,,,,,
2025-06-24,ITB,92.8,0.0418,27.69,26.47,28.89,0.916,1.0436,0.956,,,,,,
2025-06-25,ITB,91.39,0.0419,30.61,29.12,27.84,1.046,0.9095,0.9514,,,,,,
2025-06-26,ITB,91.82,0.0419,25.85,28.27,26.57,1.0641,1.028,1.0938,,,,,,
2025-06-27,ITB,92.76,0.042,28.15,29.57,26.1,1.133,0.9274,1.0507,,,,,,
