date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-28,IWM,192.86,0.0419,33.22,31.1,25.78,1.2066,0.776,0.9363,26.87,27.54,22.96,1.1997,0.8543,1.0249
2025-04-29,IWM,194.0,0.0419,33.09,25.97,27.93,0.9299,0.8441,0.7849,28.14,27.88,23.26,1.1988,0.8265,0.9909
2025-04-30,IWM,192.78,0.0419,30.8,27.42,22.73,1.2064,0.7379,0.8901,27.24,28.02,22.78,1.2301,0.8362,1.0286
2025-05-01,IWM,193.98,0.0418,32.76,27.96,26.24,1.0657,0.8009,0.8535,29.12,28.34,23.35,1.2136,0.8019,0.9732
2025-05-02,IWM,198.34,0.0421,29.12,25.11,22.17,1.1327,0.7613,0.8623,26.77,26.62,23.05,1.155,0.8612,0.9946
2025-05-05,IWM,196.82,0.0421,33.59,25.16,26.77,0.9399,0.7971,0.7492,27.49,25.89,24.04,1.0768,0.8747,0.9419
2025-05-06,IWM,194.67,0.0421,31.96,26.66,26.57,1.0037,0.8313,0.8344,27.45,27.58,24.33,1.1338,0.8863,1.0049
2025-05-07,IWM,195.32,0.0422,30.2,25.11,23.42,1.072,0.7755,0.8314,26.81,27.67,22.48,1.2306,0.8385,1.0319
2025-05-08,IWM,199.04,0.0422,28.98,25.69,28.49,0.9018,0.9829,0.8864,27.67,25.15,23.67,1.0624,0.8554,0.9088
2025-05-09,IWM,198.67,0.0422,29.69,23.56,26.28,0.8964,0.8851,0.7934,27.5,26.05,22.57,1.1538,0.8207,0.947
2025-05-12,IWM,205.65,0.0428,25.46,21.19,22.84,0.9277,0.8973,0.8324,23.29,23.02,20.57,1.1191,0.8833,0.9886
2025-05-13,IWM,206.41,0.0428,23.52,16.74,21.46,0.7802,0.9121,0.7116,22.85,21.65,20.23,1.0706,0.8854,0.9479
2025-05-14,IWM,204.58,0.0428,24.61,20.75,22.73,0.9128,0.9234,0.8429,23.45,22.17,20.41,1.0862,0.8706,0.9456
2025-05-15,IWM,205.91,0.0426,23.92,20.62,22.39,0.9212,0.9359,0.8621,22.93,24.2,20.05,1.2067,0.8744,1.0551
2025-05-16,IWM,207.61,0.0424,22.85,21.35,20.51,1.0411,0.8976,0.9345,22.52,22.32,19.95,1.1189,0.8859,0.9912
2025-05-19,IWM,206.74,0.0424,23.64,20.46,21.5,0.9518,0.9093,0.8654,22.94,22.56,20.24,1.1151,0.8821,0.9836
2025-05-20,IWM,206.85,0.0425,23.72,18.22,20.55,0.8866,0.8667,0.7684,22.56,22.7,19.96,1.137,0.8849,1.0061
2025-05-21,IWM,201.04,0.0424,32.21,24.01,22.13,1.0848,0.6871,0.7454,24.81,21.07,21.08,0.9996,0.8496,0.8493
2025-05-22,IWM,201.03,0.0423,26.08,24.63,22.62,1.0888,0.8674,0.9444,25.13,25.04,21.87,1.1453,0.87,0.9964
2025-05-23,IWM,200.4,0.0423,26.48,25.93,22.58,1.1487,0.8527,0.9795,24.84,26.11,21.7,1.2033,0.8736,1.0512
