date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-28,LQD,103.47,0.0419,46.5,4.31,28.4,0.1517,0.6109,0.0927,21.16,12.21,14.53,0.84,0.687,0.5771
2025-04-29,LQD,103.71,0.0419,29.72,4.5,26.11,0.1726,0.8783,0.1516,21.08,6.71,14.32,0.4689,0.6792,0.3185
2025-04-30,LQD,103.22,0.0419,37.71,3.23,28.39,0.1137,0.753,0.0856,20.31,12.51,20.31,0.616,1.0,0.616
2025-05-01,LQD,102.86,0.0418,43.5,4.86,23.3,0.2087,0.5356,0.1118,19.66,5.57,15.59,0.3572,0.7927,0.2831
2025-05-02,LQD,102.61,0.0421,30.99,10.49,19.92,0.5264,0.6429,0.3384,26.2,6.65,14.84,0.4483,0.5662,0.2539
2025-05-05,LQD,102.46,0.0421,22.3,,19.83,,0.8891,,12.74,8.63,12.74,0.6769,1.0,0.6769
2025-05-06,LQD,102.66,0.0421,33.54,,20.19,,0.6019,,16.43,,16.43,,1.0,
2025-05-07,LQD,102.88,0.0422,30.06,5.07,17.61,0.2877,0.5859,0.1686,,8.69,,,,
2025-05-08,LQD,102.36,0.0422,39.99,,25.99,,0.65,,,,,,,
2025-05-09,LQD,102.32,0.0422,20.34,5.37,20.68,0.2595,1.0169,0.2639,15.05,,15.05,,1.0,
2025-05-12,LQD,102.3,0.0428,27.43,3.6,18.1,0.1989,0.66,0.1312,13.23,7.7,13.23,0.5822,1.0,0.5822
2025-05-13,LQD,102.39,0.0428,31.27,6.88,18.07,0.3806,0.5777,0.2199,15.44,4.97,15.44,0.3219,1.0,0.3219
2025-05-14,LQD,101.87,0.0428,19.15,9.95,24.37,0.4084,1.2723,0.5197,14.33,7.53,14.33,0.5256,1.0,0.5256
2025-05-15,LQD,102.6,0.0426,21.76,5.05,18.76,0.2694,0.8621,0.2322,14.23,6.97,13.62,0.5115,0.9571,0.4896
2025-05-16,LQD,102.79,0.0424,21.03,6.74,18.19,0.3705,0.8648,0.3204,,7.63,,,,
2025-05-19,LQD,102.8,0.0424,27.21,6.92,19.29,0.3587,0.7088,0.2542,12.32,,12.87,,1.0446,
2025-05-20,LQD,102.55,0.0425,22.84,8.11,18.85,0.4305,0.8253,0.3553,17.27,5.26,13.0,0.4046,0.7527,0.3046
2025-05-21,LQD,101.41,0.0424,24.92,7.02,20.19,0.3477,0.8102,0.2817,13.67,6.65,13.67,0.4865,1.0,0.4865
2025-05-22,LQD,101.93,0.0423,22.11,9.34,19.43,0.4808,0.8788,0.4225,14.78,8.68,13.16,0.6592,0.8903,0.5869
2025-05-23,LQD,102.0,0.0423,19.68,14.96,20.05,0.746,1.0188,0.76,13.24,7.26,13.24,0.5484,1.0,0.5484
2025-05-27,LQD,102.92,0.042,21.15,2.63,24.57,0.1071,1.1618,0.1244,16.18,,13.16,,0.8134,
2025-05-28,LQD,102.67,0.0422,20.8,15.72,20.8,0.7559,1.0,0.7559,14.65,9.15,14.65,0.6242,1.0,0.6242
2025-05-29,LQD,103.14,0.0423,31.5,2.48,25.29,0.0981,0.8028,0.0787,13.86,9.79,13.86,0.7065,1.0,0.7065
2025-05-30,LQD,103.43,0.0423,28.03,2.2,20.8,0.106,0.7419,0.0787,13.61,7.6,13.61,0.5587,1.0,0.5587
2025-06-02,LQD,103.14,0.0423,31.25,2.59,18.0,0.1438,0.5759,0.0828,,,,,,
2025-06-03,LQD,103.19,0.0424,27.11,,16.27,,0.6001,,,,,,,
2025-06-04,LQD,103.94,0.0424,37.69,4.02,21.36,0.1881,0.5669,0.1066,,,,,,
2025-06-05,LQD,103.62,0.0423,31.36,4.75,25.22,0.1882,0.8041,0.1513,,,,,,
