date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-23,MOS,27.12,0.0421,60.52,36.15,44.62,0.81,0.7373,0.5972,,,,,,
2025-04-24,MOS,28.07,0.042,69.85,40.3,50.36,0.8003,0.7209,0.577,,,,,,
2025-04-25,MOS,28.26,0.0419,47.74,38.65,45.99,0.8405,0.9633,0.8096,,,,,,
2025-04-28,MOS,28.66,0.0419,65.8,34.38,42.2,0.8146,0.6414,0.5225,,,,,,
2025-04-29,MOS,29.35,0.0419,48.85,37.11,52.14,0.7118,1.0674,0.7598,,,,,,
2025-04-30,MOS,29.49,0.0419,49.94,39.05,60.98,0.6403,1.221,0.7819,,,,,,
2025-05-01,MOS,29.56,0.0418,61.03,35.14,44.07,0.7973,0.7221,0.5757,,,,,,
2025-05-02,MOS,29.6,0.0421,51.39,37.71,51.0,0.7394,0.9924,0.7338,,,,,,
2025-05-05,MOS,29.69,0.0421,63.77,36.62,53.62,0.6829,0.8409,0.5743,,,,,,
2025-05-06,MOS,29.54,0.0421,53.04,36.66,54.57,0.6717,1.0288,0.691,,,,,,
2025-05-07,MOS,30.62,0.0422,48.77,30.97,48.25,0.642,0.9892,0.635,,,,,,
2025-05-08,MOS,31.29,0.0422,53.95,33.19,43.48,0.7635,0.8059,0.6153,,,,,,
2025-05-09,MOS,31.69,0.0422,47.05,32.75,35.06,0.9342,0.7452,0.6962,,,,,,
2025-05-12,MOS,31.97,0.0428,37.83,23.32,34.75,0.6709,0.9187,0.6163,,,,,,
2025-05-13,MOS,33.21,0.0428,37.94,20.85,33.77,0.6175,0.89,0.5496,,,,,,
2025-05-14,MOS,32.67,0.0428,42.78,27.83,36.64,0.7596,0.8566,0.6506,,,,,,
2025-05-15,MOS,33.63,0.0426,40.22,25.36,33.83,0.7495,0.8413,0.6306,,,,,,
2025-05-16,MOS,34.16,0.0424,37.85,24.67,33.89,0.728,0.8954,0.6519,,,,,,
2025-05-19,MOS,34.29,0.0424,45.87,25.74,32.88,0.783,0.7167,0.5611,,,,,,
2025-05-20,MOS,34.47,0.0425,40.2,21.85,34.22,0.6384,0.8513,0.5434,,,,,,
2025-05-21,MOS,34.48,0.0424,46.61,28.21,39.22,0.7194,0.8413,0.6052,,,,,,
2025-05-22,MOS,33.96,0.0423,52.28,25.36,36.92,0.6869,0.7062,0.4851,,,,,,
2025-05-23,MOS,34.05,0.0423,38.69,27.17,34.94,0.7776,0.9032,0.7024,,,,,,
2025-05-27,MOS,34.97,0.042,46.51,28.02,35.42,0.791,0.7616,0.6025,,,,,,
2025-05-28,MOS,34.95,0.0422,43.66,26.74,37.41,0.7149,0.8568,0.6125,,,,,,
2025-05-29,MOS,34.84,0.0423,49.65,21.78,33.67,0.6468,0.6782,0.4387,,,,,,
2025-05-30,MOS,35.06,0.0423,47.4,21.89,35.25,0.6209,0.7437,0.4618,,,,,,
2025-06-02,MOS,35.69,0.0423,43.92,24.49,34.94,0.7009,0.7956,0.5576,,,,,,
2025-06-03,MOS,35.85,0.0424,49.57,26.85,35.96,0.7466,0.7255,0.5417,,,,,,
2025-06-04,MOS,35.72,0.0424,44.59,21.21,35.16,0.6032,0.7887,0.4758,,,,,,
2025-06-05,MOS,35.53,0.0423,41.92,23.13,34.07,0.679,0.8127,0.5518,,,,,,
2025-06-06,MOS,33.96,0.0423,38.26,20.81,35.3,0.5895,0.9225,0.5438,39.16,33.99,35.09,0.9686,0.8961,0.8679
2025-06-09,MOS,33.76,0.0424,38.43,25.08,39.86,0.6291,1.0373,0.6526,40.12,33.81,36.52,0.9256,0.9104,0.8427
2025-06-10,MOS,33.26,0.0425,41.92,24.9,35.72,0.697,0.8521,0.5939,38.9,34.53,35.95,0.9607,0.9242,0.8878
2025-06-11,MOS,33.82,0.0425,25.54,32.8,29.44,1.1141,1.1526,1.284,33.91,34.94,34.41,1.0154,1.0148,1.0304
2025-06-12,MOS,33.76,0.0426,44.0,29.5,38.38,0.7688,0.8721,0.6705,39.21,34.66,36.74,0.9435,0.937,0.884
2025-06-13,MOS,34.9,0.0424,51.99,31.39,39.5,0.7946,0.7598,0.6037,44.64,35.26,38.05,0.9268,0.8523,0.79
2025-06-16,MOS,35.14,0.0425,41.41,29.22,33.62,0.8689,0.8121,0.7056,39.08,36.58,37.31,0.9805,0.9546,0.9359
2025-06-17,MOS,35.29,0.0422,44.25,27.39,40.31,0.6796,0.9109,0.619,39.7,37.39,38.89,0.9612,0.9798,0.9418
2025-06-18,MOS,35.56,0.0422,43.65,29.77,43.47,0.6847,0.996,0.682,40.03,32.82,36.84,0.891,0.9203,0.82
2025-06-20,MOS,35.47,0.042,38.1,31.09,34.98,0.8888,0.9182,0.8161,37.3,34.99,38.27,0.9144,1.0259,0.9381
2025-06-23,MOS,35.17,0.0416,45.2,23.19,39.13,0.5927,0.8657,0.5131,42.68,36.86,37.4,0.9857,0.8762,0.8637
2025-06-24,MOS,34.69,0.0418,45.16,20.41,39.64,0.5149,0.8777,0.4519,43.08,34.95,37.35,0.9358,0.8671,0.8114
2025-06-25,MOS,34.62,0.0419,51.49,17.79,35.8,0.497,0.6952,0.3455,40.46,30.56,38.46,0.7946,0.9505,0.7553
2025-06-26,MOS,34.33,0.0419,50.55,17.99,41.13,0.4373,0.8137,0.3558,41.62,29.79,35.24,0.8453,0.8467,0.7157
2025-06-27,MOS,34.47,0.042,39.66,24.29,35.13,0.6913,0.8857,0.6123,38.07,31.53,34.65,0.9102,0.91,0.8283
2025-06-30,MOS,35.6,0.0419,39.32,28.72,33.58,0.8552,0.8539,0.7302,35.84,32.59,34.99,0.9313,0.9761,0.9091
2025-07-01,MOS,35.9,0.0422,47.45,19.4,40.37,0.4805,0.8507,0.4088,38.93,33.9,36.47,0.9297,0.9367,0.8708
2025-07-02,MOS,36.9,0.0422,43.98,30.56,38.35,0.7969,0.8719,0.6948,39.0,32.41,35.67,0.9086,0.9145,0.8309
2025-07-03,MOS,36.37,0.0424,41.03,27.72,36.77,0.7538,0.8962,0.6756,39.51,34.74,36.89,0.9416,0.9337,0.8792
2025-07-07,MOS,36.78,0.0424,46.52,27.88,37.97,0.7342,0.8161,0.5992,,,,,,
2025-07-08,MOS,36.41,0.0425,50.26,31.11,45.1,0.6897,0.8973,0.6189,,,,,,
2025-07-09,MOS,36.42,0.0424,46.94,30.41,41.93,0.7253,0.8934,0.6479,,,,,,
2025-07-10,MOS,35.08,0.0424,48.54,24.47,47.14,0.519,0.9711,0.504,,,,,,
2025-07-11,MOS,35.57,0.0424,35.68,36.03,37.99,0.9485,1.0647,1.0099,,,,,,
2025-07-14,MOS,35.18,0.0423,47.92,33.75,40.56,0.8321,0.8464,0.7042,,,,,,
2025-07-15,MOS,35.04,0.0423,47.09,33.27,41.7,0.7979,0.8856,0.7066,,,,,,
2025-07-16,MOS,34.67,0.0422,55.67,36.75,44.25,0.8305,0.7948,0.6601,,,,,,
2025-07-17,MOS,34.42,0.0424,50.12,33.36,36.84,0.9054,0.735,0.6655,,,,,,
2025-07-18,MOS,35.37,0.0423,51.3,32.04,40.34,0.7942,0.7864,0.6246,,,,,,
2025-07-21,MOS,34.68,0.0422,52.61,31.41,43.34,0.7248,0.8238,0.597,,,,,,
2025-07-22,MOS,35.04,0.0423,54.91,32.44,50.84,0.6382,0.9258,0.5908,,,,,,
2025-07-23,MOS,36.29,0.0424,54.09,32.62,53.17,0.6136,0.9829,0.6031,,,,,,
2025-07-24,MOS,36.49,0.0424,43.8,34.65,44.17,0.7844,1.0084,0.791,,,,,,
2025-07-25,MOS,36.01,0.0424,48.84,32.68,43.11,0.7581,0.8826,0.6691,,,,,,
2025-07-28,MOS,35.56,0.0424,59.57,30.96,45.6,0.6788,0.7656,0.5197,,,,,,
2025-07-29,MOS,36.13,0.0423,51.4,37.68,40.1,0.9398,0.7801,0.7332,,,,,,
2025-07-30,MOS,35.36,0.0423,55.01,31.02,52.22,0.5941,0.9493,0.564,,,,,,
2025-07-31,MOS,35.14,0.0424,54.07,35.2,53.44,0.6587,0.9884,0.651,,,,,,
2025-08-01,MOS,34.47,0.0418,53.81,37.26,44.54,0.8365,0.8278,0.6925,,,,,,
2025-08-04,MOS,34.67,0.0415,57.39,33.7,47.97,0.7025,0.8359,0.5872,,,,,,
2025-08-05,MOS,34.82,0.0415,60.8,35.06,40.38,0.8683,0.6642,0.5767,,,,,,
2025-08-06,MOS,30.19,0.0413,50.37,25.69,52.82,0.4863,1.0486,0.51,,,,,,
2025-08-07,MOS,30.92,0.0414,51.36,32.17,36.14,0.8901,0.7036,0.6263,,,,,,
2025-08-08,MOS,31.21,0.0413,41.26,24.03,35.68,0.6736,0.8648,0.5826,,,,,,
2025-08-11,MOS,31.72,0.0414,39.55,28.54,36.15,0.7896,0.9141,0.7218,,,,,,
2025-08-12,MOS,30.44,0.0413,60.04,25.93,40.91,0.6338,0.6814,0.4319,,,,,,
2025-08-13,MOS,31.44,0.0411,41.53,27.71,40.8,0.6793,0.9824,0.6674,,,,,,
2025-08-14,MOS,31.33,0.0411,34.7,27.66,33.15,0.8344,0.9554,0.7972,,,,,,
2025-08-15,MOS,31.69,0.0411,43.19,29.45,36.1,0.8157,0.8358,0.6817,,,,,,
2025-08-18,MOS,31.52,0.0412,35.87,28.64,37.03,0.7734,1.0323,0.7984,,,,,,
2025-08-19,MOS,31.47,0.0411,40.55,27.88,37.18,0.7497,0.917,0.6875,,,,,,
2025-08-20,MOS,31.67,0.0411,54.04,30.11,43.75,0.6882,0.8095,0.5571,,,,,,
2025-08-21,MOS,31.83,0.0413,48.06,28.1,36.05,0.7793,0.7501,0.5846,,,,,,
2025-08-22,MOS,31.77,0.0409,37.4,27.63,37.44,0.7379,1.0011,0.7387,,,,,,
2025-08-25,MOS,32.33,0.0409,44.33,27.25,38.61,0.7058,0.871,0.6147,,,,,,
2025-08-26,MOS,32.5,0.0409,38.61,31.68,37.89,0.8362,0.9814,0.8206,,,,,,
2025-08-27,MOS,32.69,0.0406,35.48,26.38,39.58,0.6665,1.1156,0.7435,,,,,,
2025-08-28,MOS,33.13,0.0407,42.89,34.29,35.13,0.9762,0.819,0.7995,,,,,,
2025-08-29,MOS,32.6,0.0404,39.93,29.12,35.46,0.8212,0.8879,0.7291,,,,,,
2025-09-02,MOS,32.45,0.0403,43.48,29.18,39.08,0.7466,0.8988,0.671,,,,,,
2025-09-03,MOS,31.9,0.0402,40.73,29.14,35.37,0.8239,0.8684,0.7155,,,,,,
2025-09-04,MOS,31.84,0.04,43.24,29.84,35.16,0.8487,0.8131,0.69,,,,,,
2025-09-05,MOS,31.67,0.0391,36.23,28.63,34.91,0.82,0.9637,0.7902,37.07,34.38,36.57,0.9401,0.9866,0.9275
2025-09-08,MOS,32.01,0.0393,41.47,31.6,37.4,0.845,0.9018,0.762,38.72,34.99,36.49,0.9588,0.9423,0.9035
2025-09-09,MOS,31.6,0.0394,36.75,30.05,36.73,0.8183,0.9995,0.8178,39.15,36.55,38.23,0.9559,0.9766,0.9335
2025-09-10,MOS,32.83,0.0393,27.15,29.7,35.67,0.8327,1.3138,1.094,37.28,35.5,35.98,0.9869,0.9651,0.9525
2025-09-11,MOS,33.09,0.0393,50.88,27.51,37.03,0.7427,0.7279,0.5406,36.95,35.62,36.31,0.981,0.9828,0.9641
2025-09-12,MOS,33.07,0.0393,41.79,30.7,28.93,1.0611,0.6923,0.7346,37.65,35.28,36.21,0.9744,0.9618,0.9372
2025-09-15,MOS,33.46,0.039,42.71,30.65,43.15,0.7104,1.0102,0.7176,39.06,35.45,39.02,0.9085,0.9988,0.9075
2025-09-16,MOS,33.23,0.0389,39.34,30.9,36.04,0.8573,0.9161,0.7853,38.32,36.14,37.19,0.9718,0.9705,0.9431
2025-09-17,MOS,33.57,0.0387,41.97,31.35,38.42,0.8162,0.9153,0.747,38.63,35.27,37.21,0.9478,0.9631,0.9128
2025-09-18,MOS,33.63,0.0388,40.46,27.45,37.28,0.7362,0.9214,0.6784,39.04,35.91,37.57,0.9558,0.9623,0.9197
2025-09-19,MOS,33.39,0.0388,41.7,27.54,36.86,0.7471,0.8838,0.6603,38.84,36.42,38.42,0.948,0.9893,0.9378
2025-09-22,MOS,32.85,0.0385,47.16,30.33,38.93,0.779,0.8255,0.6431,39.1,35.76,37.75,0.9473,0.9654,0.9145
2025-09-23,MOS,33.38,0.0385,42.08,30.14,38.73,0.7781,0.9205,0.7163,37.88,36.51,37.9,0.9633,1.0006,0.9638
2025-09-24,MOS,35.31,0.0386,46.25,21.68,39.04,0.5554,0.844,0.4688,40.28,37.28,39.63,0.9409,0.9838,0.9257
2025-09-25,MOS,34.19,0.0388,51.34,20.37,48.73,0.418,0.949,0.3967,41.74,39.09,40.89,0.9559,0.9797,0.9365
2025-09-26,MOS,34.71,0.0386,45.21,31.23,43.59,0.7165,0.964,0.6907,41.66,37.1,40.08,0.9256,0.962,0.8904
2025-09-29,MOS,34.1,0.0386,46.93,31.61,48.13,0.6567,1.0256,0.6736,43.73,39.57,41.23,0.9597,0.9429,0.9049
2025-09-30,MOS,34.08,0.0385,43.15,31.04,42.26,0.7344,0.9794,0.7193,41.67,39.03,40.4,0.9661,0.9695,0.9367
2025-10-01,MOS,33.23,0.0385,43.69,29.13,42.98,0.6777,0.9836,0.6666,42.65,37.01,41.03,0.9021,0.9621,0.8679
2025-10-02,MOS,34.16,0.0385,51.45,37.21,43.79,0.8498,0.851,0.7232,42.74,40.3,41.97,0.9602,0.9822,0.9431
2025-10-03,MOS,33.93,0.0386,56.65,32.33,41.38,0.7813,0.7304,0.5707,46.62,36.74,43.8,0.8389,0.9395,0.7881
