date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-23,QQQ,452.37,0.0421,32.04,34.02,29.14,1.1674,0.9096,1.0618,28.66,30.89,24.62,1.2547,0.8589,1.0777
2025-04-24,QQQ,465.1,0.042,33.39,33.44,25.4,1.3166,0.7608,1.0016,27.06,29.89,23.39,1.2782,0.8642,1.1046
2025-04-25,QQQ,470.28,0.0419,28.15,28.54,24.48,1.166,0.8694,1.0138,25.97,29.33,22.16,1.3238,0.8531,1.1293
2025-04-28,QQQ,470.13,0.0419,30.44,28.97,24.17,1.1985,0.794,0.9516,26.23,29.56,21.93,1.3477,0.836,1.1267
2025-04-29,QQQ,473.24,0.0419,29.09,28.26,22.82,1.2383,0.7843,0.9713,26.07,29.06,22.01,1.3202,0.8442,1.1145
2025-04-30,QQQ,473.18,0.0419,31.27,30.14,25.34,1.1894,0.8102,0.9636,25.01,31.31,22.66,1.3819,0.906,1.2519
2025-05-01,QQQ,479.36,0.0418,29.06,28.58,21.28,1.3427,0.7326,0.9836,26.66,27.88,22.53,1.2375,0.845,1.0457
2025-05-02,QQQ,486.48,0.0421,25.75,26.12,21.29,1.2272,0.8268,1.0146,25.13,27.95,20.95,1.3344,0.8335,1.1122
2025-05-05,QQQ,483.59,0.0421,25.92,26.8,21.94,1.2212,0.8465,1.0338,25.63,27.68,21.37,1.2952,0.834,1.0801
2025-05-06,QQQ,479.09,0.0421,29.47,24.26,23.27,1.0426,0.7896,0.8233,26.41,29.06,22.06,1.3173,0.8352,1.1002
2025-05-07,QQQ,480.97,0.0422,27.09,31.48,21.51,1.4636,0.794,1.1621,24.15,30.1,21.49,1.4004,0.8899,1.2461
2025-05-08,QQQ,485.94,0.0422,26.21,24.93,22.38,1.114,0.8537,0.951,25.0,29.04,21.86,1.3281,0.8746,1.1616
2025-05-09,QQQ,485.62,0.0422,24.96,25.44,22.36,1.1376,0.8957,1.019,24.91,27.15,21.11,1.2862,0.8473,1.0899
2025-05-12,QQQ,505.4,0.0428,22.91,21.57,19.9,1.0843,0.8685,0.9417,21.44,23.84,18.69,1.2758,0.8715,1.1119
2025-05-13,QQQ,513.11,0.0428,22.64,21.13,20.37,1.0371,0.9,0.9333,21.19,23.01,18.47,1.2456,0.8718,1.0859
2025-05-14,QQQ,516.18,0.0428,21.85,22.2,19.99,1.1104,0.9148,1.0158,21.68,24.18,19.13,1.2639,0.8825,1.1154
2025-05-15,QQQ,516.75,0.0426,23.1,21.11,20.45,1.0323,0.8851,0.9137,20.76,23.85,19.34,1.2334,0.9317,1.1492
2025-05-16,QQQ,519.0,0.0424,21.56,20.6,18.79,1.0963,0.8715,0.9554,20.61,24.6,17.81,1.3811,0.8644,1.1938
2025-05-19,QQQ,519.5,0.0424,20.53,21.8,18.02,1.2099,0.8775,1.0617,21.45,24.6,18.48,1.3309,0.8618,1.147
2025-05-20,QQQ,517.76,0.0425,22.26,22.31,18.65,1.1963,0.8379,1.0024,21.5,23.95,17.9,1.338,0.8328,1.1142
2025-05-21,QQQ,510.57,0.0424,24.81,24.15,21.71,1.1125,0.875,0.9735,23.73,26.62,19.66,1.3538,0.8284,1.1216
2025-05-22,QQQ,511.52,0.0423,22.67,23.87,21.67,1.1015,0.956,1.053,22.63,25.46,19.91,1.2785,0.8799,1.1249
2025-05-23,QQQ,506.79,0.0423,25.23,26.33,20.88,1.2605,0.8278,1.0435,23.68,26.99,20.59,1.3108,0.8694,1.1397
2025-05-27,QQQ,518.71,0.042,22.41,23.25,19.31,1.2039,0.8616,1.0373,22.04,25.08,18.99,1.3203,0.8619,1.1379
2025-05-28,QQQ,516.41,0.0422,24.59,20.89,21.33,0.9791,0.8675,0.8494,23.62,24.98,19.39,1.2881,0.821,1.0575
