date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,SIL,40.21,0.0421,56.04,45.42,51.92,0.8748,0.9264,0.8104,44.96,43.12,52.63,0.8193,1.1706,0.9591
2025-04-23,SIL,39.75,0.0421,56.05,41.92,48.63,0.862,0.8675,0.7478,43.8,44.95,44.21,1.0168,1.0093,1.0263
2025-04-24,SIL,40.36,0.042,44.15,40.4,46.93,0.8609,1.0629,0.915,41.78,40.13,41.22,0.9737,0.9865,0.9606
2025-04-25,SIL,39.81,0.0419,42.39,37.4,44.13,0.8476,1.0411,0.8825,41.11,,40.78,,0.9919,
2025-04-28,SIL,40.17,0.0419,42.86,40.37,43.19,0.9348,1.0075,0.9418,39.97,48.72,38.56,1.2635,0.9649,1.2191
2025-04-29,SIL,39.7,0.0419,46.71,35.33,43.87,0.8053,0.9391,0.7563,42.64,36.38,41.41,0.8783,0.9712,0.8531
2025-04-30,SIL,40.25,0.0419,44.0,37.58,44.04,0.8533,1.0008,0.8539,37.74,42.68,39.81,1.0721,1.0549,1.1309
2025-05-01,SIL,38.87,0.0418,48.43,36.15,43.27,0.8355,0.8936,0.7466,41.54,39.73,42.25,0.9405,1.0171,0.9565
2025-05-06,SIL,41.0,0.0421,47.02,42.44,43.22,0.9821,0.919,0.9026,,,,,,
2025-05-07,SIL,40.23,0.0422,44.08,37.8,42.58,0.8876,0.966,0.8575,,,,,,
2025-05-08,SIL,40.19,0.0422,44.07,38.47,47.5,0.8098,1.0778,0.8728,,,,,,
2025-05-09,SIL,42.05,0.0422,42.79,37.61,39.04,0.9633,0.9124,0.8789,,,,,,
2025-05-12,SIL,39.29,0.0428,39.82,34.39,38.23,0.8995,0.9601,0.8636,,,,,,
2025-05-13,SIL,39.42,0.0428,41.11,33.16,39.11,0.8477,0.9515,0.8066,,,,,,
2025-05-14,SIL,38.48,0.0428,40.15,33.52,37.81,0.8867,0.9417,0.835,,,,,,
2025-05-15,SIL,39.09,0.0426,39.4,34.13,38.63,0.8836,0.9804,0.8662,,,,,,
2025-05-16,SIL,38.95,0.0424,40.35,31.33,36.02,0.8697,0.8926,0.7763,,,,,,
2025-05-19,SIL,39.54,0.0424,38.67,32.5,37.29,0.8716,0.9642,0.8404,,,,,,
2025-05-20,SIL,40.92,0.0425,39.68,31.63,38.15,0.829,0.9614,0.797,,,,,,
2025-05-21,SIL,41.8,0.0424,46.58,33.49,42.76,0.7833,0.918,0.719,,,,,,
2025-05-22,SIL,41.41,0.0423,43.79,32.68,41.52,0.7869,0.9482,0.7461,,,,,,
