date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-24,SLV,30.56,0.042,29.23,30.58,31.1,0.983,1.0643,1.0462,30.02,30.07,33.38,0.9007,1.1122,1.0017
2025-04-25,SLV,30.05,0.0419,27.05,27.66,29.2,0.9473,1.0797,1.0228,26.16,28.31,29.33,0.9652,1.1215,1.0824
2025-04-28,SLV,30.19,0.0419,27.73,29.41,28.95,1.016,1.0438,1.0605,27.92,28.88,30.78,0.9382,1.1025,1.0344
2025-04-29,SLV,29.83,0.0419,29.23,27.69,35.1,0.7889,1.2008,0.9473,28.34,27.01,30.86,0.8753,1.089,0.9532
2025-04-30,SLV,29.6,0.0419,27.56,28.9,28.71,1.0066,1.0418,1.0486,27.33,28.02,29.66,0.9446,1.0854,1.0253
2025-05-01,SLV,29.39,0.0418,28.13,27.13,28.14,0.9642,1.0003,0.9645,26.89,27.66,29.21,0.9469,1.0863,1.0286
2025-05-02,SLV,29.12,0.0421,25.9,26.54,26.72,0.993,1.0319,1.0247,25.99,27.13,29.77,0.9111,1.1456,1.0437
2025-05-05,SLV,29.48,0.0421,27.56,26.57,27.71,0.9589,1.0053,0.964,26.86,27.89,29.01,0.9612,1.0801,1.0382
2025-05-06,SLV,30.22,0.0421,28.78,28.67,31.27,0.9167,1.0867,0.9962,28.57,28.57,30.88,0.9254,1.0808,1.0002
2025-05-07,SLV,29.49,0.0422,25.5,27.31,27.69,0.9861,1.086,1.0709,27.25,27.78,31.07,0.8942,1.1402,1.0195
2025-05-08,SLV,29.46,0.0422,27.9,26.81,27.57,0.9726,0.9882,0.9612,27.18,27.55,29.39,0.9374,1.0814,1.0137
2025-05-09,SLV,29.8,0.0422,27.11,26.47,27.1,0.977,0.9995,0.9766,27.82,27.99,30.49,0.9181,1.0958,1.0061
2025-05-12,SLV,29.63,0.0428,26.1,25.79,27.45,0.9396,1.0517,0.9881,26.51,27.11,28.95,0.9363,1.0918,1.0223
2025-05-13,SLV,29.93,0.0428,25.14,25.41,26.88,0.9451,1.0695,1.0107,26.73,25.76,29.02,0.8876,1.0857,0.9637
2025-05-14,SLV,29.25,0.0428,24.36,26.0,26.95,0.9646,1.1065,1.0673,25.85,25.33,27.86,0.9093,1.0775,0.9797
2025-05-15,SLV,29.61,0.0426,25.2,26.3,27.28,0.9642,1.0825,1.0437,25.7,25.86,28.02,0.9231,1.0903,1.0065
2025-05-16,SLV,29.3,0.0424,24.55,24.65,25.95,0.9497,1.0571,1.0039,25.29,24.76,27.73,0.893,1.0966,0.9793
2025-05-19,SLV,29.42,0.0424,24.52,24.22,25.68,0.9432,1.0473,0.9879,24.94,24.68,27.38,0.9013,1.0978,0.9894
2025-05-20,SLV,30.13,0.0425,25.69,26.25,27.82,0.9436,1.0829,1.0218,25.4,25.73,29.03,0.8861,1.143,1.0128
2025-05-21,SLV,30.51,0.0424,28.14,27.24,30.1,0.9051,1.0695,0.9681,28.03,27.17,30.67,0.8859,1.0942,0.9694
2025-05-22,SLV,30.03,0.0423,26.31,25.66,29.01,0.8843,1.1026,0.9751,27.34,26.99,29.24,0.9231,1.0695,0.9873
2025-05-23,SLV,30.45,0.0423,27.74,25.79,28.53,0.9038,1.0285,0.9296,27.39,26.48,30.23,0.8761,1.1035,0.9668
2025-05-27,SLV,30.23,0.042,25.95,25.28,27.98,0.9035,1.0782,0.9742,26.91,26.87,28.45,0.9444,1.0571,0.9984
2025-05-28,SLV,29.98,0.0422,24.06,23.55,26.94,0.8741,1.1196,0.9786,25.57,24.37,27.79,0.877,1.0865,0.9528
2025-05-29,SLV,30.3,0.0423,24.36,24.85,25.96,0.9575,1.0656,1.0203,26.52,25.4,28.0,0.9071,1.0559,0.9577
2025-05-30,SLV,30.0,0.0423,24.52,25.74,62.87,0.4094,2.5642,1.0498,25.23,25.23,28.07,0.8989,1.1124,1.0
2025-06-02,SLV,31.59,0.0423,29.7,28.97,32.35,0.8956,1.089,0.9753,,,,,,
2025-06-03,SLV,31.44,0.0424,28.42,28.46,31.58,0.9012,1.1112,1.0014,,,,,,
2025-06-04,SLV,31.34,0.0424,27.93,26.61,30.07,0.8849,1.0766,0.9526,,,,,,
2025-06-05,SLV,32.45,0.0423,30.75,29.03,33.37,0.87,1.0851,0.944,,,,,,
2025-06-06,SLV,32.69,0.0423,28.51,27.43,31.33,0.8755,1.0993,0.9624,28.67,28.0,31.75,0.8818,1.1074,0.9765
2025-06-09,SLV,33.39,0.0424,32.1,28.81,34.15,0.8435,1.064,0.8975,29.38,28.16,32.72,0.8606,1.1136,0.9584
2025-06-10,SLV,33.23,0.0425,28.71,28.78,32.3,0.8911,1.1247,1.0023,28.56,27.9,31.29,0.8915,1.0958,0.9769
2025-06-11,SLV,32.95,0.0425,27.05,27.27,29.95,0.9104,1.1072,1.008,26.99,26.71,29.65,0.9009,1.0987,0.9898
2025-06-12,SLV,33.06,0.0426,27.32,27.12,30.26,0.8963,1.1077,0.9928,27.93,27.51,30.04,0.916,1.0756,0.9852
2025-06-13,SLV,32.97,0.0424,25.82,26.6,28.35,0.938,1.0983,1.0302,26.58,27.22,30.27,0.8994,1.1386,1.024
2025-06-16,SLV,33.03,0.0425,27.09,26.79,29.27,0.9153,1.0802,0.9887,26.91,27.14,30.13,0.9007,1.1198,1.0086
2025-06-17,SLV,33.74,0.0422,27.7,28.84,30.55,0.9441,1.1028,1.0412,27.13,27.68,31.12,0.8893,1.147,1.0201
2025-06-18,SLV,33.27,0.0422,26.13,25.72,27.56,0.9332,1.0545,0.9841,26.53,26.32,32.18,0.8179,1.2129,0.992
2025-06-20,SLV,32.72,0.042,24.79,24.42,26.6,0.9182,1.0728,0.985,24.33,25.25,27.84,0.9071,1.1441,1.0378
2025-06-23,SLV,32.96,0.0416,26.25,25.67,26.57,0.9661,1.012,0.9778,25.2,25.22,28.07,0.8985,1.114,1.001
2025-06-24,SLV,32.61,0.0418,24.9,24.07,25.53,0.9428,1.0253,0.9667,24.57,24.79,26.52,0.935,1.0793,1.0091
2025-06-25,SLV,33.01,0.0419,24.48,25.5,26.41,0.9655,1.0788,1.0416,23.25,25.93,27.83,0.9318,1.1968,1.1151
2025-06-26,SLV,33.34,0.0419,24.69,24.69,26.78,0.9221,1.0844,0.9999,25.85,25.9,28.36,0.9132,1.0968,1.0016
2025-06-27,SLV,32.62,0.042,25.0,23.32,26.75,0.8718,1.0699,0.9327,25.16,24.61,27.31,0.9013,1.0854,0.9782
2025-06-30,SLV,32.81,0.0419,25.57,24.73,27.76,0.8906,1.0859,0.9672,26.12,26.06,28.86,0.9032,1.1049,0.998
2025-07-01,SLV,32.73,0.0422,25.15,24.09,27.99,0.8607,1.1127,0.9577,27.48,25.61,29.01,0.8827,1.0556,0.9317
2025-07-02,SLV,33.24,0.0422,25.48,24.68,27.09,0.9111,1.0631,0.9685,26.68,26.74,29.28,0.9132,1.0975,1.0023
2025-07-03,SLV,33.51,0.0424,26.99,24.78,27.15,0.913,1.0059,0.9184,26.81,26.68,29.27,0.9116,1.0919,0.9954
2025-07-07,SLV,33.43,0.0424,26.0,26.85,27.95,0.9608,1.0749,1.0327,27.35,27.27,29.09,0.9376,1.0635,0.9972
2025-07-08,SLV,33.29,0.0425,25.91,25.03,27.44,0.9124,1.0588,0.966,26.69,26.41,29.76,0.8872,1.115,0.9892
2025-07-09,SLV,33.0,0.0424,23.93,24.54,27.15,0.9039,1.1345,1.0255,26.19,25.71,28.88,0.8905,1.1026,0.9819
2025-07-10,SLV,33.75,0.0424,29.1,27.84,31.97,0.871,1.0983,0.9566,28.01,27.7,31.49,0.8796,1.1242,0.9889
2025-07-11,SLV,35.03,0.0424,28.65,29.47,31.75,0.9281,1.1082,1.0285,28.79,28.98,31.93,0.9076,1.1092,1.0067
2025-07-14,SLV,34.63,0.0423,24.58,27.02,29.37,0.9199,1.1952,1.0995,27.23,25.55,27.68,0.9234,1.0163,0.9384
2025-07-15,SLV,34.26,0.0423,24.55,26.68,24.71,1.08,1.0066,1.0871,24.03,27.32,26.74,1.0216,1.113,1.1371
2025-07-16,SLV,34.41,0.0422,26.19,26.98,27.51,0.981,1.0502,1.0302,25.74,28.02,28.4,0.9867,1.1035,1.0889
2025-07-17,SLV,34.65,0.0424,25.36,27.19,27.15,1.0016,1.0705,1.0722,25.59,27.29,28.45,0.9594,1.1118,1.0666
2025-07-18,SLV,34.61,0.0423,25.69,25.6,27.85,0.9192,1.0841,0.9965,26.47,26.16,28.98,0.9024,1.095,0.9881
2025-07-21,SLV,35.35,0.0422,26.08,26.07,30.43,0.8569,1.1669,0.9998,26.33,27.1,29.87,0.9075,1.1344,1.0294
2025-07-22,SLV,35.72,0.0423,28.7,28.56,29.53,0.9669,1.0291,0.9951,27.89,28.36,31.97,0.8869,1.1464,1.0168
2025-07-23,SLV,35.69,0.0424,27.0,27.21,29.69,0.9166,1.0997,1.008,26.26,27.43,30.53,0.8985,1.1628,1.0448
2025-07-24,SLV,35.49,0.0424,25.94,25.78,27.92,0.9233,1.0764,0.9938,26.11,26.87,29.23,0.9192,1.1196,1.0291
2025-07-25,SLV,34.66,0.0424,23.88,23.9,25.61,0.9333,1.0722,1.0007,25.1,25.84,27.71,0.9325,1.104,1.0295
2025-07-28,SLV,34.64,0.0424,23.36,24.67,25.79,0.9563,1.1043,1.056,24.06,25.77,27.03,0.9534,1.1232,1.0709
2025-07-29,SLV,34.66,0.0423,22.59,23.51,23.0,1.0223,1.0181,1.0409,23.31,24.44,25.63,0.9535,1.0998,1.0486
2025-07-30,SLV,33.51,0.0423,24.8,23.14,24.11,0.9599,0.972,0.933,24.84,21.41,26.57,0.806,1.0694,0.8619
2025-07-31,SLV,33.32,0.0424,23.02,22.83,23.37,0.9771,1.0149,0.9917,23.79,24.89,25.75,0.9669,1.0823,1.0465
2025-08-01,SLV,33.59,0.0418,23.87,22.74,25.63,0.887,1.0736,0.9523,24.75,24.16,26.55,0.9098,1.0728,0.9761
2025-08-04,SLV,33.98,0.0415,22.44,23.96,24.68,0.9708,1.0998,1.0676,,,,,,
2025-08-05,SLV,34.35,0.0415,23.25,23.33,25.09,0.9299,1.079,1.0033,,,,,,
