date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-29,SMH,209.64,0.0419,41.54,39.92,36.15,1.1042,0.8703,0.9609,36.44,40.07,33.26,1.205,0.9127,1.0998
2025-04-30,SMH,210.62,0.0419,35.87,46.54,30.54,1.5239,0.8514,1.2975,35.72,40.84,33.67,1.2131,0.9426,1.1435
2025-05-01,SMH,211.64,0.0418,45.69,37.52,38.18,0.9827,0.8355,0.8211,39.82,40.31,35.2,1.1452,0.884,1.0123
2025-05-02,SMH,218.35,0.0421,37.09,38.69,35.1,1.1025,0.9464,1.0434,35.47,38.2,33.4,1.1438,0.9415,1.0769
2025-05-05,SMH,216.93,0.0421,39.81,39.6,37.52,1.0556,0.9424,0.9947,36.63,38.41,33.61,1.1429,0.9177,1.0487
2025-05-06,SMH,214.92,0.0421,38.97,41.74,36.71,1.1372,0.942,1.0712,37.28,40.23,34.18,1.1768,0.917,1.0791
2025-05-07,SMH,219.34,0.0422,41.62,43.37,37.91,1.1442,0.9108,1.0421,35.6,41.25,30.94,1.3334,0.8691,1.1589
2025-05-08,SMH,221.26,0.0422,37.76,38.44,38.94,0.9873,1.0312,1.0181,35.63,36.96,35.02,1.0555,0.9827,1.0373
2025-05-09,SMH,222.71,0.0422,37.26,38.36,34.51,1.1113,0.9263,1.0294,34.31,37.97,32.92,1.1534,0.9594,1.1066
2025-05-12,SMH,236.67,0.0428,34.86,36.81,32.62,1.1286,0.9357,1.056,32.97,35.16,30.23,1.1633,0.9167,1.0665
2025-05-13,SMH,244.8,0.0428,37.3,33.59,31.63,1.0618,0.848,0.9004,33.37,34.21,30.73,1.1134,0.9208,1.0252
2025-05-14,SMH,247.22,0.0428,33.44,35.35,31.36,1.1273,0.9376,1.057,33.02,35.8,31.05,1.1528,0.9405,1.0842
2025-05-15,SMH,246.36,0.0426,36.33,35.55,30.89,1.1509,0.8505,0.9787,32.78,35.82,30.25,1.184,0.9227,1.0926
2025-05-16,SMH,245.66,0.0424,33.69,33.77,31.79,1.0624,0.9435,1.0024,33.83,34.82,31.28,1.1132,0.9244,1.029
2025-05-19,SMH,245.25,0.0424,33.93,33.77,30.49,1.1076,0.8986,0.9953,32.84,35.25,31.24,1.1283,0.9513,1.0734
2025-05-20,SMH,244.78,0.0425,31.64,34.7,32.4,1.0712,1.0238,1.0967,33.19,36.27,30.02,1.2083,0.9044,1.0927
2025-05-21,SMH,240.72,0.0424,41.59,35.36,37.89,0.9333,0.9109,0.8501,34.65,38.02,31.27,1.216,0.9023,1.0972
2025-05-22,SMH,240.06,0.0423,38.94,35.6,34.07,1.0447,0.8751,0.9142,36.72,36.28,32.27,1.1244,0.8788,0.9881
2025-05-23,SMH,236.7,0.0423,35.48,38.28,35.77,1.07,1.0082,1.0788,36.18,38.27,32.47,1.1785,0.8975,1.0577
2025-05-27,SMH,244.21,0.042,39.25,38.48,32.12,1.198,0.8183,0.9804,34.51,36.58,31.51,1.1608,0.9131,1.0599
2025-05-28,SMH,241.61,0.0422,44.23,38.57,34.75,1.11,0.7856,0.872,37.4,35.64,32.18,1.1077,0.8603,0.9529
2025-05-29,SMH,243.32,0.0423,34.62,37.11,31.48,1.179,0.9092,1.0719,32.91,36.85,31.86,1.1568,0.9679,1.1197
2025-05-30,SMH,239.01,0.0423,35.41,34.25,31.33,1.0933,0.8847,0.9672,31.46,35.77,29.84,1.1987,0.9486,1.1371
2025-06-02,SMH,242.55,0.0423,32.77,34.08,29.49,1.1554,0.9001,1.04,,,,,,
2025-06-03,SMH,248.02,0.0424,30.98,32.64,29.04,1.1241,0.9373,1.0536,,,,,,
2025-06-04,SMH,250.97,0.0424,31.87,33.3,30.01,1.1095,0.9417,1.0448,,,,,,
2025-06-05,SMH,250.52,0.0423,34.5,34.11,35.79,0.953,1.0373,0.9885,,,,,,
2025-06-06,SMH,251.95,0.0423,31.88,31.29,29.6,1.0571,0.9285,0.9816,32.92,34.11,31.07,1.0979,0.9437,1.0362
2025-06-09,SMH,256.16,0.0424,32.31,31.63,31.12,1.0163,0.9632,0.9788,32.83,34.11,31.65,1.0778,0.9638,1.0388
2025-06-10,SMH,261.26,0.0425,32.0,31.51,27.11,1.1623,0.8471,0.9846,32.19,34.36,29.87,1.1502,0.9281,1.0674
2025-06-11,SMH,261.07,0.0425,29.78,34.91,28.86,1.2099,0.969,1.1724,32.61,34.43,29.59,1.1637,0.9073,1.0558
2025-06-12,SMH,262.33,0.0426,31.8,31.06,27.54,1.1278,0.866,0.9766,32.49,34.88,29.48,1.1831,0.9073,1.0735
2025-06-13,SMH,256.19,0.0424,35.28,36.06,29.83,1.2091,0.8455,1.0222,34.27,34.62,31.56,1.097,0.921,1.0103
2025-06-16,SMH,262.56,0.0425,31.5,32.02,28.6,1.1195,0.908,1.0165,33.34,35.4,30.39,1.1648,0.9116,1.0618
2025-06-17,SMH,260.78,0.0422,36.64,36.61,31.41,1.1654,0.8573,0.9991,34.35,37.18,31.61,1.1763,0.9202,1.0824
2025-06-18,SMH,261.78,0.0422,32.76,34.27,31.72,1.0805,0.9681,1.046,33.51,37.58,32.35,1.1617,0.9654,1.1215
2025-06-20,SMH,259.46,0.042,32.93,35.66,29.22,1.2201,0.8875,1.0829,33.92,37.17,30.78,1.2079,0.9073,1.0958
2025-06-23,SMH,261.11,0.0416,29.57,31.72,28.52,1.1121,0.9646,1.0728,33.33,36.06,29.73,1.2128,0.8922,1.082
2025-06-24,SMH,270.7,0.0418,29.46,30.69,28.46,1.0782,0.9662,1.0418,32.44,33.48,28.75,1.1643,0.8864,1.032
2025-06-25,SMH,274.35,0.0419,31.0,31.59,29.13,1.0846,0.9396,1.0192,32.07,33.99,29.68,1.1452,0.9253,1.0596
2025-06-26,SMH,276.34,0.0419,29.52,30.49,26.93,1.1324,0.9121,1.0329,32.34,33.57,29.51,1.1376,0.9125,1.0381
2025-06-27,SMH,277.56,0.042,30.84,31.08,28.94,1.0739,0.9382,1.0076,31.95,34.18,29.35,1.1647,0.9185,1.0697
2025-06-30,SMH,278.01,0.0419,31.14,28.68,28.77,0.997,0.9236,0.9209,31.71,33.58,28.81,1.1655,0.9083,1.0587
2025-07-01,SMH,274.98,0.0422,32.42,30.69,28.38,1.0815,0.8754,0.9467,31.9,32.64,29.6,1.1027,0.928,1.0233
2025-07-02,SMH,280.38,0.0422,30.54,29.4,27.55,1.0673,0.9019,0.9626,31.4,33.05,28.92,1.1427,0.921,1.0525
2025-07-03,SMH,282.74,0.0424,31.03,28.54,28.95,0.9858,0.9332,0.9199,31.93,33.28,29.42,1.1312,0.9215,1.0424
2025-07-07,SMH,278.89,0.0424,33.0,32.9,31.37,1.0487,0.9509,0.9972,32.71,34.64,29.54,1.1727,0.9029,1.0588
2025-07-08,SMH,282.6,0.0425,32.41,33.91,30.7,1.1048,0.947,1.0462,32.76,33.28,29.93,1.1118,0.9139,1.0161
2025-07-09,SMH,284.53,0.0424,32.27,31.26,28.8,1.0854,0.8926,0.9688,32.13,33.21,28.82,1.1525,0.8969,1.0337
2025-07-10,SMH,286.63,0.0424,31.38,31.28,29.24,1.0696,0.9321,0.9969,30.85,32.9,28.52,1.1536,0.9245,1.0666
2025-07-11,SMH,286.6,0.0424,31.46,30.9,30.01,1.0299,0.9537,0.9821,31.11,32.97,28.53,1.1555,0.9172,1.0598
