date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-30,SPY,548.26,0.0419,29.52,22.0,25.25,0.8715,0.8552,0.7453,21.23,24.25,19.41,1.2497,0.914,1.1422
2025-05-01,SPY,552.14,0.0418,30.18,23.79,21.02,1.1321,0.6963,0.7883,24.55,23.94,18.94,1.2641,0.7714,0.9752
2025-05-02,SPY,560.34,0.0421,24.86,20.48,19.62,1.0438,0.7891,0.8236,22.16,23.35,17.74,1.3162,0.8006,1.0537
2025-05-05,SPY,557.12,0.0421,26.08,21.11,19.99,1.0562,0.7664,0.8094,23.62,23.16,18.24,1.27,0.7721,0.9806
2025-05-06,SPY,552.47,0.0421,28.05,22.66,22.64,1.0009,0.8071,0.8078,23.18,24.17,18.33,1.3185,0.7906,1.0424
2025-05-07,SPY,554.79,0.0422,30.8,21.57,20.41,1.0568,0.6627,0.7003,22.68,23.8,18.04,1.3192,0.7953,1.0492
2025-05-08,SPY,558.66,0.0422,26.07,20.53,19.98,1.0273,0.7666,0.7875,22.56,23.47,17.66,1.3293,0.7826,1.0403
2025-05-09,SPY,557.94,0.0422,24.86,19.94,20.59,0.9685,0.8283,0.8022,21.81,22.65,17.41,1.3015,0.7979,1.0384
2025-05-12,SPY,576.38,0.0428,22.5,15.44,17.94,0.8611,0.7974,0.6866,18.45,19.46,14.98,1.2992,0.8118,1.0547
2025-05-13,SPY,580.19,0.0428,19.56,14.93,17.41,0.8575,0.8905,0.7635,19.25,18.24,15.27,1.1943,0.793,0.9471
2025-05-14,SPY,580.93,0.0428,22.11,15.99,18.67,0.8561,0.8445,0.723,18.72,18.84,14.96,1.2597,0.7989,1.0063
2025-05-15,SPY,583.77,0.0426,18.22,17.16,18.2,0.9427,0.9993,0.9421,17.95,18.75,14.97,1.2523,0.8339,1.0443
2025-05-16,SPY,587.47,0.0424,19.29,16.83,15.66,1.075,0.8116,0.8725,18.05,19.06,14.62,1.3038,0.81,1.0561
2025-05-19,SPY,588.11,0.0424,19.19,14.51,15.23,0.9527,0.7936,0.756,18.95,19.24,14.81,1.2993,0.7818,1.0157
2025-05-20,SPY,586.13,0.0425,22.8,14.82,15.01,0.9874,0.6586,0.6503,18.9,19.29,14.97,1.2882,0.7922,1.0205
2025-05-21,SPY,576.25,0.0424,21.37,17.06,16.85,1.0122,0.7887,0.7984,20.13,19.59,17.02,1.1507,0.8457,0.9732
2025-05-22,SPY,576.48,0.0423,25.05,18.71,16.97,1.1022,0.6776,0.7468,20.03,21.11,15.98,1.3204,0.7981,1.0538
