date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,UNG,15.78,0.0421,61.39,64.35,63.23,1.0177,1.0301,1.0483,63.62,66.48,64.79,1.0262,1.0184,1.045
2025-04-23,UNG,15.73,0.0421,58.81,58.59,64.47,0.9088,1.0963,0.9963,63.15,62.84,65.21,0.9638,1.0325,0.9951
2025-04-24,UNG,15.5,0.042,62.3,67.4,60.27,1.1183,0.9674,1.0819,62.79,63.56,65.5,0.9704,1.0432,1.0123
2025-04-25,UNG,15.7,0.0419,61.25,59.71,62.02,0.9627,1.0126,0.9748,61.42,64.08,63.33,1.0119,1.031,1.0433
2025-04-28,UNG,16.62,0.0419,66.85,62.38,68.46,0.9112,1.0242,0.9332,64.86,63.25,65.97,0.9589,1.017,0.9752
2025-04-29,UNG,16.88,0.0419,54.42,67.74,68.08,0.995,1.2511,1.2448,56.57,64.45,66.25,0.9728,1.1712,1.1393
2025-04-30,UNG,16.74,0.0419,51.84,65.66,63.27,1.0378,1.2206,1.2667,61.63,63.85,64.44,0.9909,1.0455,1.036
2025-05-01,UNG,17.32,0.0418,64.23,67.63,64.84,1.0431,1.0095,1.053,65.01,60.85,68.28,0.8911,1.0503,0.936
2025-05-02,UNG,18.32,0.0421,47.75,65.21,65.06,1.0023,1.3626,1.3657,62.09,62.91,64.58,0.9742,1.0401,1.0132
2025-05-05,UNG,17.98,0.0421,62.83,67.21,74.17,0.9061,1.1806,1.0698,,,,,,
2025-05-06,UNG,17.37,0.0421,69.59,68.76,62.03,1.1086,0.8913,0.9881,,,,,,
2025-05-07,UNG,18.17,0.0422,60.31,62.96,65.07,0.9676,1.079,1.044,,,,,,
2025-05-08,UNG,18.07,0.0422,68.38,62.42,59.77,1.0443,0.8741,0.9128,,,,,,
2025-05-09,UNG,18.98,0.0422,59.09,61.5,59.56,1.0326,1.0079,1.0408,,,,,,
2025-05-12,UNG,18.35,0.0428,59.19,60.54,62.3,0.9717,1.0525,1.0227,65.93,65.72,65.93,0.9967,1.0,0.9967
2025-05-13,UNG,18.19,0.0428,69.55,55.08,59.05,0.9328,0.849,0.7919,63.06,61.79,63.59,0.9718,1.0083,0.9798
2025-05-14,UNG,17.4,0.0428,58.63,56.4,58.28,0.9679,0.994,0.9621,64.84,59.2,64.37,0.9198,0.9926,0.913
2025-05-15,UNG,16.8,0.0426,56.07,51.62,63.99,0.8068,1.1412,0.9208,60.12,57.53,65.37,0.88,1.0874,0.9569
