date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-23,USO,68.05,0.0421,36.95,48.33,37.54,1.2874,1.0159,1.3079,34.65,41.5,35.22,1.1782,1.0166,1.1977
2025-04-24,USO,68.46,0.042,39.56,45.6,36.95,1.234,0.934,1.1526,35.99,43.61,36.52,1.1941,1.0147,1.2117
2025-04-25,USO,69.03,0.0419,36.24,42.99,36.04,1.1928,0.9945,1.1863,35.49,43.54,34.94,1.2462,0.9846,1.2269
2025-04-28,USO,67.76,0.0419,37.47,45.52,38.92,1.1695,1.0388,1.2149,34.82,43.27,35.77,1.2099,1.0272,1.2427
2025-04-29,USO,65.85,0.0419,46.3,48.15,42.77,1.1257,0.9238,1.0399,40.47,43.73,36.17,1.209,0.8938,1.0806
2025-04-30,USO,63.56,0.0419,52.6,58.21,43.41,1.3409,0.8253,1.1066,46.67,51.02,39.04,1.307,0.8365,1.0934
2025-05-01,USO,64.52,0.0418,41.93,61.92,44.37,1.3956,1.0582,1.4768,41.74,53.98,38.61,1.3981,0.9249,1.2931
2025-05-02,USO,64.01,0.0421,42.39,57.37,39.41,1.4558,0.9296,1.3533,37.58,47.7,35.67,1.3372,0.9493,1.2695
2025-05-05,USO,62.37,0.0421,39.87,43.0,38.68,1.1116,0.9704,1.0786,36.89,44.11,34.98,1.2611,0.9482,1.1958
2025-05-06,USO,64.6,0.0421,37.21,39.29,35.6,1.1035,0.9568,1.0558,38.25,40.3,33.95,1.1871,0.8876,1.0537
2025-05-07,USO,63.51,0.0422,36.82,40.07,34.81,1.151,0.9456,1.0884,36.89,43.28,34.37,1.259,0.9318,1.1732
2025-05-08,USO,65.6,0.0422,35.81,40.3,35.11,1.1478,0.9802,1.1251,33.8,39.29,33.24,1.1819,0.9834,1.1623
2025-05-09,USO,66.61,0.0422,35.12,39.58,32.65,1.2123,0.9295,1.1268,34.5,39.62,32.38,1.2237,0.9386,1.1486
2025-05-12,USO,67.6,0.0428,33.43,37.38,32.72,1.1423,0.9787,1.1181,35.75,34.66,34.73,0.9979,0.9717,0.9696
2025-05-13,USO,69.59,0.0428,34.87,36.85,30.96,1.1902,0.888,1.057,32.1,36.65,30.14,1.216,0.9388,1.1416
2025-05-14,USO,68.73,0.0428,35.23,37.39,33.12,1.1288,0.9401,1.0612,34.08,37.03,34.08,1.0866,1.0,1.0866
2025-05-15,USO,67.59,0.0426,33.12,38.92,32.98,1.1799,0.9959,1.175,32.0,39.2,31.36,1.25,0.98,1.225
2025-05-16,USO,68.1,0.0424,36.54,40.27,32.98,1.221,0.9025,1.102,31.0,39.09,32.8,1.1919,1.058,1.2611
2025-05-19,USO,68.51,0.0424,38.14,37.73,31.14,1.2118,0.8165,0.9894,34.93,39.5,30.77,1.2836,0.8809,1.1308
2025-05-20,USO,68.66,0.0425,32.78,41.42,30.18,1.3724,0.9208,1.2638,31.81,38.11,30.12,1.2652,0.9467,1.1978
2025-05-21,USO,67.59,0.0424,36.78,36.52,37.26,0.9803,1.0131,0.9931,33.88,37.51,32.98,1.1371,0.9736,1.1071
2025-05-22,USO,67.14,0.0423,36.84,38.1,37.78,1.0084,1.0256,1.0342,33.13,40.59,34.28,1.1841,1.0346,1.225
