date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,VGK,68.7,0.0421,41.27,20.65,29.97,0.6891,0.7262,0.5004,,,,,,
2025-04-23,VGK,68.94,0.0421,46.27,13.97,26.98,0.518,0.5831,0.302,,,,,,
2025-04-24,VGK,69.84,0.042,39.38,16.99,25.96,0.6547,0.6592,0.4315,,,,,,
2025-04-25,VGK,70.13,0.0419,33.41,18.46,26.94,0.6852,0.8065,0.5527,,,,,,
2025-04-28,VGK,70.59,0.0419,32.84,15.89,26.7,0.595,0.813,0.4837,,,,,,
2025-04-29,VGK,70.73,0.0419,42.59,10.62,32.3,0.3287,0.7584,0.2493,,,,,,
2025-04-30,VGK,70.66,0.0419,50.42,13.88,25.74,0.539,0.5106,0.2752,,,,,,
2025-05-01,VGK,70.41,0.0418,43.71,,30.3,,0.6931,,,,,,,
2025-05-06,VGK,71.81,0.0421,28.78,15.64,22.28,0.7019,0.7742,0.5434,,,,,,
2025-05-07,VGK,71.59,0.0422,24.78,18.56,22.23,0.8348,0.8971,0.7489,,,,,,
2025-05-08,VGK,71.33,0.0422,35.49,16.88,23.29,0.7247,0.6562,0.4756,,,,,,
2025-05-09,VGK,71.81,0.0422,26.59,23.26,20.29,1.1465,0.7629,0.8747,,,,,,
2025-05-12,VGK,71.96,0.0428,26.38,15.22,21.6,0.7049,0.8187,0.5771,,,,,,
2025-05-13,VGK,72.25,0.0428,29.02,13.1,23.73,0.5521,0.8177,0.4515,,,,,,
2025-05-14,VGK,72.09,0.0428,36.12,14.7,19.94,0.7372,0.552,0.4069,,,,,,
2025-05-15,VGK,72.8,0.0426,29.46,13.62,20.46,0.666,0.6944,0.4624,,,,,,
2025-05-16,VGK,72.98,0.0424,26.42,16.48,19.6,0.8406,0.7419,0.6237,,,,,,
2025-05-19,VGK,73.92,0.0424,27.46,13.94,18.33,0.7606,0.6675,0.5077,,,,,,
2025-05-20,VGK,74.4,0.0425,29.65,12.7,19.5,0.6511,0.6576,0.4282,,,,,,
