date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-29,XHB,93.18,0.0419,32.34,35.35,31.29,1.1297,0.9675,1.093,,,,,,
2025-04-30,XHB,93.97,0.0419,32.36,34.06,29.16,1.1682,0.901,1.0525,,,,,,
2025-05-01,XHB,94.45,0.0418,39.22,30.97,32.55,0.9516,0.83,0.7898,,,,,,
2025-05-02,XHB,96.49,0.0421,35.65,31.02,29.46,1.0529,0.8264,0.8701,,,,,,
2025-05-05,XHB,95.85,0.0421,34.61,28.24,32.2,0.8768,0.9304,0.8158,,,,,,
2025-05-06,XHB,94.21,0.0421,38.8,31.64,31.24,1.0127,0.8052,0.8154,,,,,,
2025-05-07,XHB,94.37,0.0422,32.7,33.18,29.33,1.1311,0.8971,1.0147,,,,,,
2025-05-08,XHB,96.0,0.0422,32.43,29.36,27.39,1.0717,0.8447,0.9053,,,,,,
2025-05-09,XHB,95.65,0.0422,33.97,30.27,31.28,0.9676,0.9208,0.891,,,,,,
2025-05-12,XHB,100.08,0.0428,29.22,26.37,27.0,0.9763,0.9242,0.9024,,,,,,
2025-05-13,XHB,100.43,0.0428,31.67,25.56,27.6,0.9263,0.8714,0.8072,,,,,,
2025-05-14,XHB,97.92,0.0428,36.71,27.3,31.93,0.8549,0.8699,0.7437,,,,,,
2025-05-15,XHB,98.45,0.0426,27.71,33.44,25.97,1.2875,0.9373,1.2068,,,,,,
2025-05-16,XHB,100.11,0.0424,26.09,26.19,23.38,1.12,0.8964,1.0039,,,,,,
2025-05-19,XHB,98.98,0.0424,30.39,25.44,25.08,1.0141,0.8252,0.8368,,,,,,
2025-05-20,XHB,97.91,0.0425,36.93,24.53,26.75,0.9169,0.7244,0.6642,,,,,,
2025-05-21,XHB,94.84,0.0424,35.1,29.98,33.69,0.8898,0.9599,0.8541,,,,,,
2025-05-22,XHB,94.42,0.0423,32.58,29.08,30.76,0.9454,0.9443,0.8927,,,,,,
2025-05-23,XHB,93.97,0.0423,33.29,32.65,30.24,1.0797,0.9083,0.9807,,,,,,
2025-05-27,XHB,95.99,0.042,30.75,28.72,26.88,1.0684,0.8741,0.9338,,,,,,
2025-05-28,XHB,93.5,0.0422,32.81,27.75,31.94,0.8688,0.9738,0.846,,,,,,
2025-05-29,XHB,94.2,0.0423,31.27,32.23,27.33,1.1792,0.8739,1.0306,,,,,,
2025-05-30,XHB,93.53,0.0423,29.09,28.25,23.41,1.2068,0.8048,0.9712,,,,,,
2025-06-02,XHB,92.35,0.0423,22.75,31.78,27.31,1.1637,1.2008,1.3973,,,,,,
2025-06-03,XHB,93.96,0.0424,28.54,32.48,26.79,1.2125,0.9386,1.1381,,,,,,
2025-06-04,XHB,95.28,0.0424,29.81,24.75,22.51,1.0994,0.7552,0.8303,,,,,,
2025-06-05,XHB,95.17,0.0423,31.06,27.55,26.68,1.0327,0.8589,0.887,,,,,,
