date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-05-02,XLE,39.71,0.0421,103.48,,103.48,,1.0,,119.11,,119.11,,1.0,
2025-05-06,XLE,39.01,0.0421,117.47,,117.47,,1.0,,112.76,,112.76,,1.0,
2025-05-07,XLE,39.02,0.0422,118.73,,118.73,,1.0,,111.24,,111.24,,1.0,
2025-05-08,XLE,39.54,0.0422,114.78,,114.78,,1.0,,117.2,,117.2,,1.0,
2025-05-09,XLE,39.93,0.0422,114.9,,114.9,,1.0,,117.58,,117.58,,1.0,
2025-05-12,XLE,40.97,0.0428,114.24,,114.24,,1.0,,103.56,5.84,103.56,0.0564,1.0,0.0564
2025-05-13,XLE,41.55,0.0428,115.14,,115.14,,1.0,,105.91,7.16,105.91,0.0676,1.0,0.0676
2025-05-14,XLE,41.3,0.0428,118.66,,118.66,,1.0,,103.36,,103.36,,1.0,
2025-05-15,XLE,41.47,0.0426,113.06,10.44,113.06,0.0923,1.0,0.0923,103.18,,103.18,,1.0,
2025-05-16,XLE,41.41,0.0424,107.71,,107.71,,1.0,,102.46,,102.46,,1.0,
2025-05-19,XLE,40.87,0.0424,119.55,,119.55,,1.0,,119.84,,119.84,,1.0,
2025-05-20,XLE,40.49,0.0425,115.88,,115.88,,1.0,,118.91,,118.91,,1.0,
2025-05-21,XLE,39.75,0.0424,119.63,,119.63,,1.0,,115.78,,115.78,,1.0,
2025-05-22,XLE,39.59,0.0423,117.74,,117.74,,1.0,,117.63,,117.63,,1.0,
2025-05-23,XLE,39.72,0.0423,116.28,,116.28,,1.0,,118.67,,118.67,,1.0,
2025-05-28,XLE,39.56,0.0422,118.8,,118.8,,1.0,,117.11,,117.11,,1.0,
2025-05-30,XLE,39.5,0.0423,110.22,,110.22,,1.0,,113.0,,113.0,,1.0,
2025-06-03,XLE,40.49,0.0424,119.28,,119.28,,1.0,,,,,,,
2025-06-04,XLE,39.7,0.0424,117.43,,117.43,,1.0,,,,,,,
2025-06-05,XLE,39.66,0.0423,115.73,,115.73,,1.0,,,,,,,
2025-06-06,XLE,40.41,0.0423,117.03,,117.03,,1.0,,112.65,,112.65,,1.0,
2025-06-09,XLE,40.49,0.0424,112.41,,112.41,,1.0,,116.94,,116.94,,1.0,
2025-06-10,XLE,41.21,0.0425,117.72,,117.72,,1.0,,118.88,,118.88,,1.0,
2025-06-11,XLE,41.8,0.0425,117.12,,117.12,,1.0,,113.13,,113.13,,1.0,
2025-06-12,XLE,41.95,0.0426,114.13,,114.13,,1.0,,117.13,,117.13,,1.0,
2025-06-13,XLE,42.68,0.0424,114.61,,114.61,,1.0,,117.63,,117.63,,1.0,
2025-06-17,XLE,42.95,0.0422,111.04,,111.04,,1.0,,115.99,7.65,115.99,0.066,1.0,0.066
2025-06-24,XLE,41.47,0.0418,118.7,,118.7,,1.0,,115.67,,115.67,,1.0,
2025-07-01,XLE,41.74,0.0422,117.69,,117.69,,1.0,,116.44,,116.44,,1.0,
2025-07-02,XLE,42.46,0.0422,119.56,,119.56,,1.0,,117.81,,117.81,,1.0,
2025-07-07,XLE,42.09,0.0424,111.9,,111.9,,1.0,,116.77,,116.77,,1.0,
2025-07-08,XLE,43.23,0.0425,111.66,,111.66,,1.0,,110.49,,110.49,,1.0,
2025-07-09,XLE,43.01,0.0424,118.4,,118.4,,1.0,,112.05,,112.05,,1.0,
2025-07-10,XLE,43.33,0.0424,117.87,,117.87,,1.0,,109.14,,109.14,,1.0,
2025-07-11,XLE,43.53,0.0424,117.58,,117.58,,1.0,,116.15,,116.15,,1.0,
2025-07-14,XLE,43.05,0.0423,115.17,,115.17,,1.0,,114.89,,114.89,,1.0,
2025-07-15,XLE,42.43,0.0423,114.76,,114.76,,1.0,,112.45,,112.45,,1.0,
2025-07-16,XLE,42.06,0.0422,113.32,,113.32,,1.0,,109.94,,109.94,,1.0,
2025-07-17,XLE,42.32,0.0424,114.56,,114.56,,1.0,,117.61,,117.61,,1.0,
2025-07-18,XLE,41.98,0.0423,119.6,,119.6,,1.0,,116.31,,116.31,,1.0,
2025-08-05,XLE,41.76,0.0415,119.99,,119.99,,1.0,,,,,,,
2025-08-06,XLE,41.38,0.0413,118.48,,118.48,,1.0,,,,,,,
2025-08-07,XLE,41.22,0.0414,119.46,,119.46,,1.0,,,,,,,
2025-08-08,XLE,41.48,0.0413,116.04,,116.04,,1.0,,119.02,,119.02,,1.0,
2025-08-11,XLE,41.15,0.0414,117.93,,117.93,,1.0,,117.61,,117.61,,1.0,
2025-08-12,XLE,41.35,0.0413,118.85,,118.85,,1.0,,115.25,,115.25,,1.0,
2025-08-13,XLE,41.83,0.0411,118.92,,118.92,,1.0,,119.23,,119.23,,1.0,
2025-08-14,XLE,41.79,0.0411,116.52,,116.52,,1.0,,118.83,,118.83,,1.0,
2025-08-15,XLE,41.79,0.0411,113.77,,113.77,,1.0,,118.38,,118.38,,1.0,
2025-08-18,XLE,41.54,0.0412,119.91,,119.91,,1.0,,119.59,,119.59,,1.0,
2025-08-19,XLE,41.55,0.0411,116.43,,116.43,,1.0,,118.16,,118.16,,1.0,
2025-08-20,XLE,41.9,0.0411,110.09,,110.09,,1.0,,118.63,,118.63,,1.0,
2025-08-21,XLE,42.19,0.0413,113.23,,113.23,,1.0,,115.61,,115.61,,1.0,
2025-08-22,XLE,43.05,0.0409,116.55,,116.55,,1.0,,118.18,,118.18,,1.0,
2025-08-25,XLE,43.16,0.0409,119.13,,119.13,,1.0,,111.3,,111.3,,1.0,
2025-08-26,XLE,43.09,0.0409,119.97,,119.97,,1.0,,112.22,,112.22,,1.0,
2025-08-27,XLE,43.57,0.0406,118.14,,118.14,,1.0,,116.59,,116.59,,1.0,
2025-08-28,XLE,43.91,0.0407,117.54,,117.54,,1.0,,119.13,,119.13,,1.0,
2025-08-29,XLE,44.15,0.0404,119.7,,119.7,,1.0,,116.73,,116.73,,1.0,
2025-09-02,XLE,44.21,0.0403,115.96,,115.96,,1.0,,117.94,,117.94,,1.0,
2025-09-03,XLE,43.22,0.0402,116.81,,116.81,,1.0,,115.97,,115.97,,1.0,
2025-09-04,XLE,43.51,0.04,114.73,,114.73,,1.0,,116.34,,116.34,,1.0,
2025-09-05,XLE,42.67,0.0391,119.74,,119.74,,1.0,,106.51,,106.51,,1.0,
2025-09-08,XLE,42.57,0.0393,115.9,,115.9,,1.0,,114.89,,114.89,,1.0,
2025-09-09,XLE,42.77,0.0394,115.27,,115.27,,1.0,,114.85,,114.85,,1.0,
2025-09-10,XLE,43.52,0.0393,119.45,,119.45,,1.0,,113.91,,113.91,,1.0,
2025-09-11,XLE,43.53,0.0393,116.13,,116.13,,1.0,,108.51,,108.51,,1.0,
2025-09-12,XLE,43.27,0.0393,110.79,,110.79,,1.0,,110.38,,110.38,,1.0,
2025-09-15,XLE,43.12,0.039,114.18,,114.18,,1.0,,116.49,,116.49,,1.0,
2025-09-16,XLE,43.85,0.0389,109.69,,109.69,,1.0,,117.81,,117.81,,1.0,
2025-09-17,XLE,43.95,0.0387,113.68,,113.68,,1.0,,116.13,,116.13,,1.0,
2025-09-19,XLE,43.23,0.0388,113.05,,113.05,,1.0,,112.54,,112.54,,1.0,
2025-09-22,XLE,43.18,0.0385,119.39,,119.39,,1.0,,119.51,,119.51,,1.0,
2025-09-23,XLE,43.93,0.0385,116.51,,116.51,,1.0,,118.59,,118.59,,1.0,
