date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,XLF,46.44,0.0421,34.03,29.34,28.0,1.0477,0.8229,0.8622,25.35,29.07,23.7,1.2268,0.9349,1.1469
2025-04-23,XLF,46.99,0.0421,34.05,27.53,31.56,0.8722,0.9269,0.8084,29.39,27.47,24.17,1.1364,0.8223,0.9345
2025-04-24,XLF,47.52,0.042,30.84,26.53,27.34,0.9704,0.8864,0.8601,27.11,27.47,21.72,1.2643,0.8014,1.0132
2025-04-25,XLF,47.29,0.0419,33.95,22.21,23.81,0.9326,0.7014,0.6541,25.72,25.27,21.93,1.1524,0.8525,0.9824
2025-04-28,XLF,47.44,0.0419,27.36,21.96,26.05,0.843,0.952,0.8026,26.1,26.02,21.7,1.1993,0.8313,0.997
2025-04-29,XLF,47.93,0.0419,27.03,23.57,26.62,0.8854,0.9849,0.872,24.4,24.35,20.34,1.1972,0.8335,0.9979
2025-04-30,XLF,48.02,0.0419,30.0,25.58,21.84,1.1714,0.7278,0.8526,22.87,26.07,19.45,1.3401,0.8506,1.1399
2025-05-01,XLF,48.01,0.0418,29.55,22.43,21.97,1.0206,0.7437,0.759,27.05,24.31,21.22,1.1457,0.7844,0.8987
2025-05-02,XLF,49.0,0.0421,27.02,21.26,21.94,0.9691,0.812,0.7869,24.45,23.95,20.09,1.1924,0.8218,0.9799
2025-05-05,XLF,48.69,0.0421,33.67,19.2,24.68,0.778,0.733,0.5703,,,,,,
2025-05-06,XLF,48.41,0.0421,29.88,23.24,24.2,0.9605,0.8097,0.7777,,,,,,
2025-05-07,XLF,48.7,0.0422,30.8,20.8,23.25,0.8947,0.7547,0.6753,,,,,,
2025-05-08,XLF,49.1,0.0422,33.51,18.69,21.45,0.8713,0.6402,0.5578,,,,,,
2025-05-09,XLF,49.1,0.0422,27.28,19.06,22.11,0.8621,0.8104,0.6987,,,,,,
2025-05-12,XLF,50.1,0.0428,24.37,16.03,21.31,0.7523,0.8745,0.6579,,,,,,
2025-05-13,XLF,50.3,0.0428,30.17,12.74,18.5,0.6883,0.6134,0.4222,,,,,,
2025-05-14,XLF,50.17,0.0428,24.67,15.3,19.38,0.7894,0.7858,0.6204,,,,,,
2025-05-15,XLF,50.5,0.0426,20.33,15.59,18.15,0.859,0.8926,0.7668,21.55,20.47,17.73,1.1546,0.8226,0.9497
2025-05-16,XLF,50.81,0.0424,25.39,15.35,18.54,0.8279,0.7304,0.6047,20.02,18.53,16.64,1.1131,0.8315,0.9256
2025-05-19,XLF,50.84,0.0424,27.28,15.28,18.29,0.835,0.6707,0.56,20.89,20.49,17.02,1.2037,0.8147,0.9806
2025-05-20,XLF,50.56,0.0425,21.22,17.73,17.19,1.0314,0.8102,0.8356,21.89,20.63,17.65,1.1684,0.8064,0.9422
2025-05-21,XLF,49.53,0.0424,24.24,19.44,19.96,0.9738,0.8237,0.8021,23.99,22.03,20.89,1.0549,0.8705,0.9183
2025-05-22,XLF,49.47,0.0423,24.31,18.02,21.49,0.8387,0.884,0.7414,24.38,19.93,18.98,1.0501,0.7785,0.8175
2025-05-23,XLF,49.29,0.0423,28.07,18.4,21.71,0.8475,0.7734,0.6555,22.87,21.31,19.6,1.0874,0.8569,0.9318
2025-05-27,XLF,50.16,0.042,20.56,16.16,21.26,0.7602,1.0343,0.7863,20.77,20.35,17.92,1.1357,0.8627,0.9798
2025-05-28,XLF,49.82,0.0422,30.33,13.63,20.73,0.6574,0.6837,0.4495,22.65,19.15,18.11,1.0575,0.7995,0.8454
2025-05-29,XLF,50.08,0.0423,20.27,19.61,17.69,1.1089,0.8727,0.9677,21.06,20.04,17.28,1.1601,0.8203,0.9516
2025-05-30,XLF,50.19,0.0423,22.77,15.52,19.59,0.7921,0.8604,0.6815,21.96,19.74,17.21,1.1475,0.7836,0.8991
2025-06-02,XLF,50.2,0.0423,19.3,16.5,20.28,0.8135,1.051,0.855,,,,,,
