date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-25,XLI,127.29,0.0419,26.35,22.36,23.23,0.9628,0.8817,0.8488,,,,,,
2025-04-28,XLI,127.72,0.0419,26.43,24.72,21.42,1.1538,0.8105,0.9352,,,,,,
2025-04-29,XLI,128.55,0.0419,26.68,21.27,24.13,0.8814,0.9044,0.7972,,,,,,
2025-04-30,XLI,129.48,0.0419,25.32,24.65,21.15,1.1653,0.8354,0.9735,,,,,,
2025-05-01,XLI,130.45,0.0418,31.33,19.05,21.9,0.8699,0.6991,0.6082,,,,,,
2025-05-02,XLI,132.79,0.0421,27.64,18.34,21.72,0.8441,0.7858,0.6633,,,,,,
2025-05-05,XLI,132.86,0.0421,31.22,17.48,21.23,0.8231,0.6801,0.5598,,,,,,
2025-05-06,XLI,131.7,0.0421,26.52,20.17,20.7,0.9745,0.7805,0.7606,,,,,,
2025-05-07,XLI,132.37,0.0422,28.63,21.37,20.35,1.0504,0.7105,0.7463,,,,,,
2025-05-08,XLI,134.19,0.0422,30.3,18.28,20.59,0.8878,0.6794,0.6032,,,,,,
2025-05-09,XLI,134.3,0.0422,24.89,20.63,19.17,1.0763,0.7701,0.8288,,,,,,
2025-05-12,XLI,138.43,0.0428,22.05,16.1,17.24,0.9337,0.7818,0.7299,,,,,,
2025-05-13,XLI,139.4,0.0428,26.22,14.2,18.05,0.7865,0.6885,0.5415,,,,,,
2025-05-14,XLI,138.73,0.0428,21.47,15.61,17.66,0.8841,0.8225,0.7272,,,,,,
2025-05-15,XLI,140.27,0.0426,19.61,13.15,18.59,0.7075,0.948,0.6707,,,,,,
2025-05-16,XLI,141.87,0.0424,20.5,15.41,17.52,0.8791,0.8548,0.7515,,,,,,
2025-05-19,XLI,142.35,0.0424,22.9,17.25,17.05,1.0117,0.7446,0.7533,,,,,,
2025-05-20,XLI,141.84,0.0425,26.99,16.11,19.47,0.8277,0.7213,0.597,,,,,,
2025-05-21,XLI,139.44,0.0424,31.35,18.33,20.5,0.8943,0.654,0.5849,,,,,,
2025-05-22,XLI,139.41,0.0423,25.6,18.55,20.32,0.9133,0.7936,0.7248,,,,,,
2025-05-23,XLI,138.96,0.0423,25.27,20.15,20.79,0.969,0.8228,0.7973,,,,,,
2025-05-27,XLI,141.4,0.042,24.53,16.41,18.77,0.8746,0.7649,0.6689,,,,,,
2025-05-28,XLI,140.7,0.0422,30.39,15.22,19.5,0.7806,0.6415,0.5008,,,,,,
2025-05-29,XLI,140.83,0.0423,20.3,17.32,19.13,0.9053,0.9425,0.8532,,,,,,
2025-05-30,XLI,140.92,0.0423,24.52,15.93,16.58,0.9608,0.6762,0.6496,,,,,,
2025-06-02,XLI,140.74,0.0423,12.78,19.06,16.05,1.1874,1.2565,1.4921,,,,,,
2025-06-03,XLI,141.83,0.0424,20.41,17.69,19.57,0.9038,0.9591,0.8668,,,,,,
2025-06-04,XLI,141.91,0.0424,21.24,15.16,17.24,0.8794,0.8118,0.7139,,,,,,
2025-06-05,XLI,141.81,0.0423,20.75,16.44,18.71,0.879,0.9015,0.7924,,,,,,
2025-06-06,XLI,143.0,0.0423,18.88,15.97,16.3,0.98,0.8632,0.8459,19.03,18.49,16.34,1.1315,0.8589,0.9718
2025-06-09,XLI,142.87,0.0424,20.59,15.56,18.58,0.8374,0.9022,0.7555,21.04,17.73,17.46,1.0151,0.8299,0.8425
2025-06-10,XLI,142.25,0.0425,19.48,16.29,16.46,0.9899,0.845,0.8365,20.71,18.88,16.76,1.1261,0.8093,0.9113
2025-06-11,XLI,142.32,0.0425,19.6,14.87,17.07,0.871,0.8713,0.7589,18.9,18.9,15.17,1.2454,0.8025,0.9995
2025-06-12,XLI,141.95,0.0426,20.34,16.73,16.67,1.0034,0.8196,0.8224,18.79,18.92,15.92,1.1888,0.8471,1.007
2025-06-13,XLI,140.75,0.0424,21.96,17.93,18.75,0.9563,0.8539,0.8166,21.58,19.38,17.16,1.1293,0.7953,0.8981
2025-06-16,XLI,141.72,0.0425,23.62,16.96,17.78,0.9543,0.7528,0.7184,22.08,20.06,17.17,1.1683,0.7775,0.9083
2025-06-17,XLI,140.65,0.0422,24.42,17.14,19.2,0.8929,0.7861,0.7019,21.87,20.48,17.82,1.1493,0.8146,0.9363
2025-06-18,XLI,140.32,0.0422,26.47,19.23,18.7,1.028,0.7065,0.7263,21.11,19.66,18.52,1.0614,0.8773,0.9312
2025-06-20,XLI,140.48,0.042,24.71,17.28,18.07,0.9563,0.7315,0.6995,19.37,19.86,16.68,1.1911,0.861,1.0255
2025-06-23,XLI,142.38,0.0416,22.23,18.92,16.32,1.1595,0.7343,0.8514,18.87,19.78,16.09,1.2294,0.8526,1.0482
2025-06-24,XLI,143.57,0.0418,21.15,16.62,16.76,0.9917,0.7923,0.7857,18.1,18.08,15.97,1.1319,0.8825,0.9989
2025-06-25,XLI,142.3,0.0419,21.86,15.68,19.36,0.8096,0.8856,0.717,18.95,19.73,15.71,1.2559,0.8289,1.0409
2025-06-26,XLI,143.84,0.0419,19.86,15.59,16.46,0.9473,0.8289,0.7852,19.24,17.61,15.73,1.1196,0.8175,0.9153
2025-06-27,XLI,145.28,0.042,22.69,15.94,15.26,1.0445,0.6727,0.7027,18.7,18.31,15.55,1.1771,0.8318,0.9791
2025-06-30,XLI,146.0,0.0419,18.49,16.41,16.46,0.9971,0.8903,0.8877,18.58,17.37,15.39,1.1285,0.8284,0.9348
2025-07-01,XLI,146.49,0.0422,22.51,16.92,16.15,1.0481,0.7172,0.7517,19.79,17.8,17.19,1.0355,0.8686,0.8994
2025-07-02,XLI,146.63,0.0422,21.52,14.44,15.01,0.962,0.6977,0.6712,18.09,18.15,14.82,1.2243,0.8196,1.0034
2025-07-03,XLI,147.88,0.0424,21.83,13.52,15.99,0.8457,0.7325,0.6194,18.19,16.02,15.51,1.033,0.8523,0.8804
2025-07-07,XLI,147.37,0.0424,19.29,17.11,15.91,1.0751,0.8248,0.8867,,,,,,
2025-07-08,XLI,147.33,0.0425,23.12,16.23,17.03,0.9526,0.7367,0.7018,,,,,,
2025-07-09,XLI,148.36,0.0424,19.71,15.19,15.64,0.9711,0.7933,0.7704,,,,,,
2025-07-10,XLI,149.19,0.0424,21.15,12.29,16.71,0.7352,0.79,0.5808,,,,,,
2025-07-11,XLI,148.65,0.0424,20.29,15.91,15.86,1.0036,0.7814,0.7842,,,,,,
2025-07-14,XLI,149.46,0.0423,22.07,16.44,15.44,1.0653,0.6993,0.745,,,,,,
