date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-24,XLK,102.13,0.042,113.12,,113.12,,1.0,,,,,,,
2025-04-25,XLK,103.64,0.0419,110.82,,110.82,,1.0,,,,,,,
2025-05-01,XLK,105.92,0.0418,118.16,,118.16,,1.0,,,,,,,
2025-05-02,XLK,107.69,0.0421,111.91,,111.91,,1.0,,,,,,,
2025-05-06,XLK,106.23,0.0421,113.63,,113.63,,1.0,,,,,,,
2025-05-07,XLK,107.29,0.0422,113.66,,113.66,,1.0,,,,,,,
2025-05-08,XLK,108.32,0.0422,117.47,,117.47,,1.0,,,,,,,
2025-05-09,XLK,108.18,0.0422,105.78,,105.78,,1.0,,,,,,,
2025-05-12,XLK,113.2,0.0428,115.21,,115.21,,1.0,,,,,,,
2025-05-13,XLK,115.65,0.0428,117.93,,117.93,,1.0,,,,,,,
2025-05-14,XLK,116.4,0.0428,113.87,11.13,113.87,0.0978,1.0,0.0978,,,,,,
2025-05-15,XLK,116.56,0.0426,116.82,,116.82,,1.0,,104.45,,104.45,,1.0,
2025-05-19,XLK,116.61,0.0424,114.05,,114.05,,1.0,,,,,,,
2025-05-20,XLK,116.17,0.0425,118.28,,118.28,,1.0,,118.33,,118.33,,1.0,
2025-05-21,XLK,113.99,0.0424,107.18,,107.18,,1.0,,115.61,,115.61,,1.0,
2025-05-27,XLK,115.44,0.042,113.04,,113.04,,1.0,,109.71,,109.71,,1.0,
2025-05-30,XLK,114.8,0.0423,107.98,,107.98,,1.0,,110.78,,110.78,,1.0,
2025-06-03,XLK,117.55,0.0424,119.6,,119.6,,1.0,,,,,,,
2025-06-04,XLK,117.73,0.0424,112.27,,112.27,,1.0,,,,,,,
2025-06-05,XLK,117.39,0.0423,114.93,,114.93,,1.0,,,,,,,
2025-06-06,XLK,118.5,0.0423,118.07,,118.07,,1.0,,113.03,,113.03,,1.0,
2025-06-09,XLK,119.08,0.0424,112.54,,112.54,,1.0,,106.25,22.92,106.25,0.2157,1.0,0.2157
2025-06-10,XLK,119.75,0.0425,119.09,,119.09,,1.0,,114.25,,114.25,,1.0,
2025-06-11,XLK,119.49,0.0425,109.93,,109.93,,1.0,,118.46,,118.46,,1.0,
2025-06-12,XLK,120.6,0.0426,115.0,,115.0,,1.0,,119.9,42.36,119.9,0.3533,1.0,0.3533
2025-06-13,XLK,118.91,0.0424,115.44,,115.44,,1.0,,116.38,,116.38,,1.0,
2025-06-16,XLK,120.83,0.0425,85.72,,85.72,,1.0,,114.36,,114.36,,1.0,
2025-06-17,XLK,119.97,0.0422,118.1,,118.1,,1.0,,113.12,,113.12,,1.0,
2025-06-18,XLK,120.12,0.0422,119.46,,119.46,,1.0,,113.59,,113.59,,1.0,
2025-06-20,XLK,119.59,0.042,112.95,,112.95,,1.0,,110.8,25.12,110.8,0.2267,1.0,0.2267
2025-06-23,XLK,120.95,0.0416,117.09,,117.09,,1.0,,112.21,,112.21,,1.0,
2025-06-24,XLK,123.12,0.0418,111.63,,111.63,,1.0,,112.4,,112.4,,1.0,
2025-06-30,XLK,126.1,0.0419,111.02,,111.02,,1.0,,113.97,,113.97,,1.0,
2025-07-01,XLK,124.98,0.0422,113.64,,113.64,,1.0,,113.2,,113.2,,1.0,
2025-07-02,XLK,126.3,0.0422,116.38,,116.38,,1.0,,115.46,,115.46,,1.0,
2025-07-03,XLK,127.96,0.0424,107.36,,107.36,,1.0,,115.57,,115.57,,1.0,
2025-07-07,XLK,126.95,0.0424,118.12,,118.12,,1.0,,114.05,,114.05,,1.0,
2025-07-09,XLK,128.39,0.0424,119.33,,119.33,,1.0,,116.73,,116.73,,1.0,
2025-07-10,XLK,127.97,0.0424,116.19,,116.19,,1.0,,118.83,,118.83,,1.0,
2025-07-11,XLK,127.41,0.0424,119.51,,119.51,,1.0,,93.64,,93.64,,1.0,
