date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-29,XLP,79.05,0.0419,33.99,10.25,26.39,0.3883,0.7763,0.3015,,,,,,
2025-04-30,XLP,79.63,0.0419,37.41,11.94,27.1,0.4407,0.7245,0.3193,,,,,,
2025-05-01,XLP,78.94,0.0418,41.06,10.64,21.84,0.487,0.532,0.2591,,,,,,
2025-05-02,XLP,79.37,0.0421,29.57,13.04,21.9,0.5953,0.7407,0.4409,,,,,,
2025-05-05,XLP,79.3,0.0421,29.74,11.42,22.27,0.5129,0.7486,0.384,,,,,,
2025-05-06,XLP,79.16,0.0421,28.69,13.58,20.94,0.6486,0.7299,0.4734,,,,,,
2025-05-07,XLP,79.29,0.0422,29.11,11.86,21.04,0.5637,0.723,0.4075,,,,,,
2025-05-08,XLP,79.19,0.0422,29.93,11.48,22.63,0.5072,0.756,0.3834,,,,,,
2025-05-09,XLP,78.73,0.0422,33.33,12.26,22.38,0.5477,0.6713,0.3677,,,,,,
2025-05-12,XLP,78.85,0.0428,28.8,12.47,19.87,0.6275,0.6897,0.4328,,,,,,
2025-05-13,XLP,77.79,0.0428,41.35,8.26,24.85,0.3326,0.6009,0.1998,,,,,,
2025-05-14,XLP,77.37,0.0428,27.77,10.14,20.91,0.4848,0.7531,0.3651,,,,,,
2025-05-15,XLP,78.96,0.0426,27.89,8.98,16.66,0.5391,0.5974,0.322,,,,,,
2025-05-16,XLP,79.86,0.0424,26.73,8.01,20.69,0.3871,0.774,0.2996,,,,,,
2025-05-19,XLP,80.1,0.0424,27.71,9.06,18.8,0.482,0.6784,0.327,,,,,,
2025-05-20,XLP,80.38,0.0425,30.26,8.67,19.2,0.4515,0.6346,0.2865,,,,,,
2025-05-21,XLP,79.44,0.0424,30.41,11.85,22.12,0.5357,0.7274,0.3896,,,,,,
2025-05-22,XLP,79.11,0.0423,41.1,9.58,22.24,0.431,0.5411,0.2332,,,,,,
2025-05-23,XLP,79.4,0.0423,26.81,14.71,21.48,0.6846,0.8012,0.5485,,,,,,
2025-05-27,XLP,80.12,0.042,24.94,9.19,16.89,0.544,0.6774,0.3685,,,,,,
2025-05-28,XLP,79.58,0.0422,38.67,8.91,22.07,0.4038,0.5708,0.2305,,,,,,
2025-05-29,XLP,79.9,0.0423,24.67,8.65,22.09,0.3914,0.8955,0.3505,,,,,,
2025-05-30,XLP,80.6,0.0423,34.97,7.15,23.12,0.3091,0.6611,0.2043,,,,,,
2025-06-02,XLP,80.65,0.0423,34.25,9.49,15.38,0.6175,0.4489,0.2772,,,,,,
2025-06-03,XLP,80.57,0.0424,28.48,6.41,18.49,0.3465,0.649,0.2249,,,,,,
2025-06-04,XLP,80.01,0.0424,23.65,9.37,19.59,0.4784,0.8284,0.3963,,,,,,
2025-06-05,XLP,79.24,0.0423,23.43,10.26,18.86,0.5442,0.8047,0.4379,,,,,,
2025-06-06,XLP,79.49,0.0423,22.85,10.6,20.62,0.514,0.9026,0.4639,17.52,12.79,14.87,0.8604,0.8484,0.73
2025-06-09,XLP,79.38,0.0424,21.46,8.49,20.37,0.4169,0.9493,0.3958,17.85,13.33,14.58,0.9144,0.8171,0.7472
