date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,XLRE,39.06,0.0421,50.55,20.38,33.21,0.6137,0.657,0.4032,,,,,,
2025-04-23,XLRE,39.11,0.0421,47.17,18.97,30.01,0.6322,0.6363,0.4022,,,,,,
2025-04-24,XLRE,39.23,0.042,45.6,17.87,33.48,0.5337,0.7342,0.3919,,,,,,
2025-04-25,XLRE,39.17,0.0419,51.33,17.06,32.94,0.518,0.6418,0.3325,,,,,,
2025-04-28,XLRE,39.41,0.0419,47.38,20.71,32.48,0.6375,0.6855,0.437,,,,,,
2025-04-29,XLRE,39.73,0.0419,48.28,14.87,35.63,0.4172,0.7379,0.3079,,,,,,
2025-04-30,XLRE,39.91,0.0419,44.92,17.0,36.46,0.4662,0.8118,0.3785,,,,,,
2025-05-01,XLRE,40.03,0.0418,55.73,27.35,35.41,0.7724,0.6354,0.4908,,,,,,
2025-05-06,XLRE,40.19,0.0421,30.15,12.16,26.94,0.4515,0.8935,0.4034,,39.61,,,,
2025-05-07,XLRE,40.16,0.0422,32.79,14.7,27.87,0.5275,0.85,0.4484,28.73,16.09,19.34,0.8319,0.6731,0.5599
2025-05-08,XLRE,39.97,0.0422,33.18,13.74,25.93,0.5299,0.7815,0.4141,27.05,12.24,20.07,0.61,0.7418,0.4525
2025-05-09,XLRE,40.21,0.0422,31.55,17.16,23.47,0.7313,0.7436,0.5438,21.9,20.19,21.9,0.9223,1.0,0.9223
2025-05-12,XLRE,40.25,0.0428,32.49,13.42,27.68,0.485,0.8519,0.4132,20.05,13.83,20.05,0.6896,1.0,0.6896
2025-05-13,XLRE,39.71,0.0428,33.34,9.44,24.55,0.3844,0.7365,0.2831,23.04,16.56,17.35,0.9546,0.753,0.7188
2025-05-14,XLRE,39.37,0.0428,33.18,9.5,23.2,0.4094,0.6994,0.2863,22.77,15.29,19.55,0.7821,0.8586,0.6715
2025-05-15,XLRE,40.1,0.0426,36.27,15.13,22.26,0.6797,0.6137,0.4171,21.22,11.24,18.38,0.6117,0.8661,0.5297
2025-05-16,XLRE,40.6,0.0424,31.52,12.62,21.97,0.5745,0.697,0.4004,21.97,15.95,19.19,0.8311,0.8733,0.7258
2025-05-19,XLRE,40.69,0.0424,34.9,10.78,25.17,0.4282,0.7211,0.3088,22.23,17.32,19.27,0.8988,0.867,0.7792
2025-05-20,XLRE,40.47,0.0425,33.49,10.2,24.25,0.4205,0.7242,0.3046,23.16,15.73,18.85,0.8347,0.8137,0.6792
2025-05-21,XLRE,39.4,0.0424,38.2,11.73,27.27,0.4301,0.7138,0.307,25.04,,20.77,,0.8292,
2025-05-22,XLRE,39.26,0.0423,36.72,14.39,27.16,0.5299,0.7397,0.392,21.79,16.3,22.23,0.7331,1.0207,0.7483
2025-05-23,XLRE,39.27,0.0423,34.76,11.46,27.6,0.4152,0.7941,0.3297,29.93,17.45,29.93,0.5831,1.0,0.5831
2025-05-27,XLRE,39.92,0.042,40.04,11.14,28.82,0.3865,0.7199,0.2782,,17.28,,,,
2025-05-28,XLRE,39.92,0.0422,39.19,13.17,25.74,0.5115,0.6567,0.3359,29.53,18.62,18.81,0.9898,0.6369,0.6304
2025-05-29,XLRE,40.29,0.0423,36.05,9.51,27.19,0.3498,0.7541,0.2638,25.42,17.06,19.59,0.8711,0.7704,0.6711
2025-05-30,XLRE,40.33,0.0423,39.1,10.91,30.95,0.3524,0.7916,0.2789,22.95,11.97,19.58,0.6112,0.8533,0.5216
2025-06-02,XLRE,40.39,0.0423,36.03,,33.3,,0.9243,,,,,,,
2025-06-03,XLRE,40.24,0.0424,47.11,10.36,21.01,0.4928,0.446,0.2198,,,,,,
2025-06-04,XLRE,40.37,0.0424,29.07,8.6,21.56,0.3988,0.7417,0.2958,,,,,,
2025-06-05,XLRE,40.36,0.0423,28.99,11.66,33.47,0.3484,1.1546,0.4022,,,,,,
2025-06-06,XLRE,40.47,0.0423,25.41,11.56,20.57,0.5621,0.8094,0.4549,,,,,,
2025-06-09,XLRE,40.45,0.0424,26.41,15.05,22.53,0.6681,0.8531,0.57,,,,,,
2025-06-10,XLRE,40.81,0.0425,28.83,16.22,20.75,0.7818,0.7197,0.5626,,,,,,
2025-06-11,XLRE,40.59,0.0425,24.1,11.87,22.63,0.5242,0.9391,0.4923,,,,,,
2025-06-12,XLRE,40.81,0.0426,24.19,17.23,21.12,0.816,0.8732,0.7125,,,,,,
2025-06-13,XLRE,40.48,0.0424,27.79,11.61,26.26,0.4421,0.9447,0.4177,,,,,,
