date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,XLU,37.92,0.0421,118.72,,118.72,,1.0,,,,,,,
2025-04-23,XLU,38.08,0.0421,115.65,,115.65,,1.0,,,,,,,
2025-04-25,XLU,38.02,0.0419,114.53,,114.53,,1.0,,,,,,,
2025-04-28,XLU,38.26,0.0419,110.54,,110.54,,1.0,,,,,,,
2025-05-06,XLU,39.15,0.0421,113.62,,113.62,,1.0,,,,,,,
2025-05-07,XLU,39.26,0.0422,118.22,,118.22,,1.0,,,,,,,
2025-05-08,XLU,38.94,0.0422,117.42,,117.42,,1.0,,,,,,,
2025-05-09,XLU,39.01,0.0422,114.85,,114.85,,1.0,,,,,,,
2025-05-12,XLU,38.78,0.0428,116.5,,116.5,,1.0,,,,,,,
2025-05-13,XLU,38.72,0.0428,114.66,,114.66,,1.0,,,,,,,
2025-05-14,XLU,38.55,0.0428,119.27,,119.27,,1.0,,,,,,,
2025-05-15,XLU,39.37,0.0426,115.56,,115.56,,1.0,,,,,,,
2025-05-16,XLU,39.95,0.0424,119.4,,119.4,,1.0,,,,,,,
2025-05-19,XLU,40.12,0.0424,119.72,,119.72,,1.0,,,,,,,
2025-05-20,XLU,40.24,0.0425,113.45,,113.45,,1.0,,,,,,,
2025-05-21,XLU,39.51,0.0424,116.39,,116.39,,1.0,,,,,,,
2025-05-22,XLU,38.94,0.0423,118.72,,118.72,,1.0,,,,,,,
2025-05-23,XLU,39.41,0.0423,114.12,,114.12,,1.0,,,,,,,
2025-05-27,XLU,39.71,0.042,118.87,,118.87,,1.0,,,,,,,
2025-05-28,XLU,39.15,0.0422,109.42,,109.42,,1.0,,,,,,,
2025-05-30,XLU,39.83,0.0423,111.63,,111.63,,1.0,,,,,,,
2025-06-02,XLU,39.95,0.0423,119.71,,119.71,,1.0,,,,,,,
2025-06-03,XLU,40.06,0.0424,115.22,,115.22,,1.0,,,,,,,
2025-06-04,XLU,39.36,0.0424,119.37,,119.37,,1.0,,,,,,,
2025-06-05,XLU,39.3,0.0423,112.52,26.48,112.52,0.2353,1.0,0.2353,,,,,,
2025-06-06,XLU,39.47,0.0423,113.28,,113.28,,1.0,,108.56,,108.56,,1.0,
2025-06-09,XLU,39.22,0.0424,106.12,,106.12,,1.0,,119.75,,119.75,,1.0,
2025-06-10,XLU,39.31,0.0425,111.27,,111.27,,1.0,,116.31,,116.31,,1.0,
2025-06-11,XLU,39.34,0.0425,113.18,,113.18,,1.0,,116.82,,116.82,,1.0,
2025-06-12,XLU,39.81,0.0426,116.88,,116.88,,1.0,,114.42,,114.42,,1.0,
2025-06-13,XLU,39.58,0.0424,118.27,,118.27,,1.0,,116.71,,116.71,,1.0,
2025-06-16,XLU,39.39,0.0425,119.17,,119.17,,1.0,,107.46,,107.46,,1.0,
