date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-23,XLV,133.35,0.0421,34.54,21.34,23.67,0.9014,0.6853,0.6177,,,,,,
2025-04-24,XLV,134.98,0.042,30.57,19.1,23.0,0.8306,0.7522,0.6248,,,,,,
2025-04-25,XLV,135.63,0.0419,22.81,14.63,19.66,0.7442,0.862,0.6415,,,,,,
2025-04-28,XLV,136.17,0.0419,26.15,16.78,18.69,0.8973,0.7148,0.6414,,,,,,
2025-04-29,XLV,136.84,0.0419,33.52,15.14,24.2,0.6257,0.722,0.4517,,,,,,
2025-04-30,XLV,138.01,0.0419,21.24,19.25,18.09,1.064,0.852,0.9065,,,,,,
2025-05-01,XLV,134.25,0.0418,38.86,14.89,26.9,0.5536,0.6923,0.3832,,,,,,
2025-05-02,XLV,136.1,0.0421,24.39,13.64,21.71,0.6284,0.8899,0.5592,,,,,,
2025-05-05,XLV,135.72,0.0421,27.92,15.33,21.38,0.7173,0.7657,0.5492,,,,,,
2025-05-06,XLV,131.98,0.0421,31.27,17.63,26.87,0.6562,0.8591,0.5637,,,,,,
2025-05-07,XLV,132.99,0.0422,26.93,18.87,22.01,0.8573,0.8174,0.7007,,,,,,
2025-05-08,XLV,131.79,0.0422,32.22,18.58,22.58,0.8227,0.7007,0.5765,,,,,,
2025-05-09,XLV,130.36,0.0422,36.9,18.33,25.26,0.7255,0.6845,0.4967,,,,,,
2025-05-12,XLV,133.58,0.0428,27.53,16.02,20.74,0.7724,0.7533,0.5818,,,,,,
2025-05-13,XLV,129.56,0.0428,30.18,16.12,22.45,0.7182,0.7438,0.5341,,,,,,
2025-05-14,XLV,126.51,0.0428,44.77,17.58,23.31,0.7542,0.5206,0.3927,,,,,,
2025-05-15,XLV,128.17,0.0426,18.16,18.58,19.33,0.9611,1.0641,1.0227,,,,,,
2025-05-16,XLV,130.76,0.0424,23.65,19.35,22.24,0.8703,0.9403,0.8184,,,,,,
