date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,XME,53.8,0.0421,39.19,43.93,37.3,1.1779,0.9516,1.1209,,,,,,
2025-04-23,XME,55.11,0.0421,41.26,41.17,37.72,1.0916,0.9141,0.9978,,,,,,
2025-04-24,XME,56.95,0.042,43.11,42.77,34.27,1.2479,0.795,0.9921,,,,,,
2025-04-25,XME,56.3,0.0419,39.57,41.0,32.83,1.249,0.8295,1.036,,,,,,
2025-04-28,XME,56.67,0.0419,33.45,38.25,34.03,1.124,1.0172,1.1433,,,,,,
2025-04-29,XME,56.63,0.0419,39.4,37.79,32.64,1.1577,0.8285,0.9591,,,,,,
2025-04-30,XME,56.11,0.0419,36.43,35.67,32.3,1.1041,0.8868,0.9791,,,,,,
2025-05-01,XME,56.23,0.0418,36.88,38.02,34.75,1.0941,0.9423,1.0309,,,,,,
2025-05-06,XME,57.87,0.0421,30.47,32.97,26.29,1.254,0.8631,1.0823,,,,,,
2025-05-07,XME,57.18,0.0422,32.11,36.51,30.6,1.1932,0.9528,1.137,,,,,,
2025-05-08,XME,57.62,0.0422,32.26,30.85,31.03,0.9941,0.9617,0.956,,,,,,
2025-05-09,XME,58.15,0.0422,30.02,33.22,26.92,1.2343,0.8966,1.1067,,,,,,
2025-05-12,XME,58.87,0.0428,32.33,26.57,27.07,0.9815,0.8374,0.8219,,,,,,
2025-05-13,XME,59.38,0.0428,29.64,26.35,26.12,1.0089,0.8812,0.889,,,,,,
2025-05-14,XME,58.83,0.0428,31.55,26.21,25.43,1.0307,0.806,0.8308,,,,,,
2025-05-15,XME,58.82,0.0426,27.35,27.85,24.94,1.1165,0.9119,1.0181,,,,,,
2025-05-16,XME,59.18,0.0424,27.56,28.35,26.58,1.0665,0.9645,1.0286,,,,,,
2025-05-19,XME,59.23,0.0424,27.33,28.84,25.77,1.1191,0.943,1.0553,,,,,,
2025-05-20,XME,59.36,0.0425,26.62,27.87,25.63,1.0872,0.9629,1.0469,,,,,,
2025-05-21,XME,58.56,0.0424,35.15,24.92,30.69,0.8119,0.8731,0.7089,,,,,,
2025-05-22,XME,57.96,0.0423,34.16,28.43,28.9,0.9838,0.8459,0.8323,,,,,,
2025-05-23,XME,59.6,0.0423,31.86,31.51,29.13,1.0816,0.9144,0.989,,,,,,
2025-05-27,XME,61.16,0.042,28.67,25.72,25.82,0.9962,0.9003,0.8968,,,,,,
