date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-22,XOM,104.7,0.0421,51.03,31.1,37.25,0.8349,0.7301,0.6096,39.52,30.33,29.77,1.0185,0.7533,0.7673
2025-04-23,XOM,103.8,0.0421,51.72,31.43,40.3,0.7801,0.779,0.6077,36.49,30.56,31.12,0.9819,0.8529,0.8375
2025-04-24,XOM,105.02,0.042,46.02,28.57,39.08,0.731,0.8493,0.6209,37.67,26.2,28.39,0.9227,0.7538,0.6955
2025-04-25,XOM,104.96,0.0419,42.57,25.41,31.78,0.7995,0.7467,0.597,35.32,25.14,29.53,0.8513,0.8361,0.7118
2025-04-28,XOM,105.02,0.0419,53.8,25.29,40.5,0.6245,0.7529,0.4702,34.87,24.39,30.26,0.8062,0.8678,0.6996
2025-04-29,XOM,104.76,0.0419,51.31,24.71,31.41,0.7868,0.6121,0.4816,35.81,24.19,28.99,0.8345,0.8096,0.6756
2025-04-30,XOM,102.12,0.0419,54.09,27.77,42.32,0.6561,0.7824,0.5133,34.11,27.28,29.78,0.916,0.8729,0.7996
2025-05-01,XOM,102.27,0.0418,63.64,25.32,39.45,0.6419,0.62,0.398,37.81,26.98,31.04,0.8692,0.8211,0.7137
2025-05-02,XOM,102.68,0.0421,38.39,18.81,29.72,0.633,0.7742,0.4901,34.46,27.83,28.1,0.9904,0.8154,0.8075
2025-05-05,XOM,99.84,0.0421,38.73,22.81,31.27,0.7293,0.8074,0.5888,32.03,29.13,27.52,1.0586,0.8592,0.9095
2025-05-06,XOM,101.23,0.0421,51.84,21.28,33.92,0.6275,0.6543,0.4106,34.24,27.49,29.37,0.9361,0.8577,0.8029
2025-05-07,XOM,101.14,0.0422,41.77,24.17,30.92,0.7817,0.7403,0.5787,32.52,27.74,28.35,0.9787,0.8718,0.8532
2025-05-08,XOM,102.55,0.0422,55.86,22.58,32.91,0.6861,0.5892,0.4043,33.22,27.11,29.15,0.93,0.8775,0.8161
2025-05-09,XOM,103.75,0.0422,35.97,21.75,30.7,0.7087,0.8535,0.6049,33.21,27.46,28.06,0.9788,0.8448,0.8269
2025-05-12,XOM,105.53,0.0428,37.83,19.79,31.03,0.6378,0.8202,0.5231,28.4,23.25,25.97,0.8953,0.9142,0.8186
2025-05-13,XOM,105.82,0.0428,30.69,18.51,29.62,0.6248,0.9653,0.6031,30.31,21.9,25.03,0.8752,0.8257,0.7226
2025-05-14,XOM,104.88,0.0428,34.61,19.66,30.18,0.6514,0.8721,0.5681,30.72,22.88,26.05,0.8784,0.848,0.7449
2025-05-15,XOM,105.94,0.0426,30.67,22.17,32.04,0.692,1.0449,0.7231,28.31,23.43,24.09,0.9725,0.8508,0.8275
2025-05-16,XOM,105.56,0.0424,37.31,17.16,28.66,0.5988,0.7682,0.46,28.36,23.29,26.04,0.8944,0.9182,0.8212
2025-05-19,XOM,103.88,0.0424,33.39,18.49,29.73,0.6218,0.8905,0.5538,31.6,25.16,25.9,0.9714,0.8196,0.7962
2025-05-20,XOM,102.4,0.0425,35.63,18.3,28.31,0.6464,0.7945,0.5136,30.84,25.22,26.29,0.9594,0.8523,0.8177
2025-05-21,XOM,101.14,0.0424,41.74,19.92,30.71,0.6488,0.7358,0.4774,33.09,25.06,28.35,0.8842,0.8567,0.7575
2025-05-22,XOM,100.47,0.0423,47.64,20.26,36.38,0.5567,0.7637,0.4252,31.83,25.08,28.83,0.8697,0.906,0.7879
2025-05-23,XOM,100.52,0.0423,34.51,20.97,31.07,0.6752,0.9001,0.6077,32.11,25.61,27.95,0.9164,0.8704,0.7976
2025-05-27,XOM,101.0,0.042,38.08,19.62,30.14,0.6508,0.7914,0.5151,31.07,25.35,28.9,0.8774,0.93,0.8159
2025-05-28,XOM,99.63,0.0422,42.13,18.02,30.05,0.5995,0.7134,0.4277,33.91,25.13,28.2,0.8911,0.8315,0.7409
2025-05-29,XOM,100.19,0.0423,35.25,19.61,28.15,0.6968,0.7985,0.5564,33.82,24.95,28.23,0.8839,0.8349,0.7379
2025-05-30,XOM,99.81,0.0423,30.77,21.71,29.77,0.7292,0.9675,0.7055,33.19,25.11,27.47,0.9142,0.8277,0.7567
2025-06-02,XOM,100.54,0.0423,39.49,20.08,27.79,0.7225,0.7038,0.5085,,,,,,
2025-06-03,XOM,101.28,0.0424,35.32,18.87,25.21,0.7486,0.7137,0.5343,,,,,,
2025-06-04,XOM,99.81,0.0424,37.37,18.09,28.56,0.6333,0.7643,0.484,,,,,,
2025-06-05,XOM,99.35,0.0423,39.42,19.2,29.82,0.6438,0.7565,0.487,,,,,,
2025-06-06,XOM,101.73,0.0423,32.58,16.98,28.16,0.6032,0.8642,0.5213,28.45,24.53,24.63,0.9961,0.8657,0.8623
2025-06-09,XOM,102.42,0.0424,41.61,14.36,28.67,0.501,0.689,0.3451,28.22,23.52,24.51,0.9595,0.8686,0.8335
