date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-28,XOP,112.02,0.0419,50.79,36.69,39.85,0.9209,0.7846,0.7225,39.83,39.0,34.49,1.1306,0.8659,0.979
2025-04-29,XOP,111.24,0.0419,57.42,34.7,47.07,0.7372,0.8198,0.6043,37.37,41.56,35.67,1.1651,0.9545,1.1121
2025-04-30,XOP,108.12,0.0419,56.15,41.18,51.0,0.8073,0.9084,0.7334,41.84,39.74,37.03,1.0732,0.8852,0.95
2025-05-01,XOP,110.06,0.0418,53.84,39.06,58.96,0.6625,1.0952,0.7256,44.23,41.04,37.34,1.0992,0.8442,0.928
2025-05-02,XOP,112.26,0.0421,45.71,41.25,41.27,0.9995,0.9028,0.9024,42.01,42.15,38.23,1.1025,0.9099,1.0032
2025-05-05,XOP,110.32,0.0421,49.44,40.8,46.42,0.8788,0.939,0.8252,,,,,,
2025-05-06,XOP,110.49,0.0421,55.58,32.46,49.96,0.6497,0.8989,0.584,,,,,,
2025-05-07,XOP,110.64,0.0422,50.48,33.84,37.57,0.9008,0.7442,0.6704,,,,,,
2025-05-08,XOP,114.26,0.0422,52.19,30.65,36.46,0.8408,0.6985,0.5873,,,,,,
2025-05-09,XOP,116.06,0.0422,48.27,31.73,36.22,0.876,0.7503,0.6573,,,,,,
2025-05-12,XOP,120.38,0.0428,39.63,24.56,34.2,0.7181,0.863,0.6197,,,,,,
2025-05-13,XOP,124.37,0.0428,40.28,20.85,31.87,0.6542,0.7913,0.5177,,,,,,
2025-05-14,XOP,123.76,0.0428,39.38,26.27,33.01,0.7958,0.8382,0.667,,,,,,
2025-05-15,XOP,122.63,0.0426,34.81,27.5,31.05,0.8859,0.8919,0.7902,,,,,,
2025-05-16,XOP,122.51,0.0424,32.83,31.09,31.91,0.9743,0.972,0.9471,,,,,,
2025-05-19,XOP,121.25,0.0424,41.93,26.02,32.37,0.8038,0.772,0.6205,,,,,,
2025-05-20,XOP,120.62,0.0425,43.07,22.76,35.67,0.6381,0.8282,0.5285,,,,,,
2025-05-21,XOP,117.97,0.0424,46.03,27.18,36.3,0.7488,0.7887,0.5906,,,,,,
2025-05-22,XOP,117.9,0.0423,44.65,33.07,35.23,0.9386,0.7891,0.7406,,,,,,
2025-05-23,XOP,118.01,0.0423,39.01,36.79,37.92,0.9701,0.9721,0.9431,,,,,,
2025-05-27,XOP,119.88,0.042,43.81,27.38,35.14,0.7793,0.8021,0.625,,,,,,
2025-05-28,XOP,117.82,0.0422,51.24,29.54,40.8,0.724,0.7962,0.5765,,,,,,
2025-05-29,XOP,118.34,0.0423,42.44,29.61,34.28,0.8636,0.8077,0.6975,,,,,,
2025-05-30,XOP,116.75,0.0423,44.84,31.16,36.38,0.8565,0.8114,0.695,,,,,,
2025-06-02,XOP,118.29,0.0423,36.39,26.27,31.77,0.8267,0.8731,0.7218,,,,,,
2025-06-03,XOP,120.75,0.0424,41.63,28.38,35.76,0.7937,0.859,0.6818,,,,,,
2025-06-04,XOP,117.79,0.0424,49.56,24.3,37.83,0.6422,0.7634,0.4902,,,,,,
2025-06-05,XOP,117.49,0.0423,41.2,26.34,34.59,0.7614,0.8396,0.6392,,,,,,
2025-06-06,XOP,120.35,0.0423,37.86,27.34,31.43,0.8698,0.8301,0.722,34.25,30.75,29.49,1.0429,0.861,0.8979
2025-06-09,XOP,121.36,0.0424,39.19,27.44,31.17,0.8804,0.7953,0.7002,34.09,29.36,30.6,0.9596,0.8975,0.8612
2025-06-10,XOP,123.15,0.0425,38.22,25.43,35.17,0.7232,0.9201,0.6655,33.12,28.95,29.5,0.9813,0.8907,0.874
2025-06-11,XOP,125.49,0.0425,36.32,28.36,35.57,0.7974,0.9793,0.7809,35.82,31.63,27.71,1.1412,0.7736,0.8828
2025-06-12,XOP,126.3,0.0426,36.48,31.01,30.94,1.0022,0.8481,0.85,31.98,32.29,29.15,1.1078,0.9113,1.0095
2025-06-13,XOP,129.67,0.0424,39.17,30.99,37.73,0.8212,0.9634,0.7911,32.23,31.47,32.18,0.9777,0.9985,0.9762
2025-06-16,XOP,129.98,0.0425,33.62,28.72,36.96,0.777,1.0995,0.8543,31.7,30.94,32.32,0.9572,1.0195,0.9759
2025-06-17,XOP,131.67,0.0422,42.13,30.58,35.0,0.8735,0.8309,0.7258,38.34,29.64,32.01,0.9258,0.8349,0.7729
2025-06-18,XOP,130.73,0.0422,46.23,30.45,50.97,0.5973,1.1027,0.6587,36.92,29.83,33.81,0.8822,0.9158,0.8079
2025-06-20,XOP,131.4,0.042,40.37,29.04,34.32,0.8461,0.8501,0.7193,35.19,31.25,31.84,0.9816,0.9048,0.8881
2025-06-23,XOP,126.65,0.0416,56.25,29.05,39.01,0.7447,0.6936,0.5165,37.0,31.01,37.59,0.825,1.0159,0.8381
2025-06-24,XOP,125.75,0.0418,40.34,25.79,31.88,0.8091,0.7902,0.6393,33.46,27.96,32.48,0.8608,0.9708,0.8356
2025-06-25,XOP,123.88,0.0419,37.28,22.39,34.6,0.6471,0.9282,0.6006,33.63,28.14,31.6,0.8906,0.9397,0.8369
2025-06-26,XOP,125.49,0.0419,37.94,22.66,33.78,0.6708,0.8904,0.5972,33.47,27.86,31.1,0.896,0.9292,0.8326
2025-06-27,XOP,124.92,0.042,38.19,25.76,30.88,0.8343,0.8086,0.6746,32.38,28.93,28.63,1.0105,0.8844,0.8937
2025-06-30,XOP,123.55,0.0419,39.02,26.73,32.2,0.8303,0.8252,0.6852,33.26,27.47,30.18,0.9101,0.9074,0.8258
2025-07-01,XOP,124.61,0.0422,34.36,22.7,31.68,0.7165,0.9219,0.6606,35.86,30.55,30.47,1.0025,0.8497,0.8519
