date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-05-01,XRT,68.49,0.0418,39.1,32.09,33.96,0.9448,0.8686,0.8206,,,,,,
2025-05-02,XRT,69.98,0.0421,33.47,33.94,30.48,1.1136,0.9105,1.014,,,,,,
2025-05-05,XRT,69.63,0.0421,36.3,23.36,33.87,0.6897,0.9331,0.6436,,,,,,
2025-05-06,XRT,69.03,0.0421,34.73,30.68,28.73,1.0676,0.8274,0.8834,,,,,,
2025-05-07,XRT,69.53,0.0422,36.01,31.28,27.42,1.1409,0.7614,0.8687,,,,,,
2025-05-08,XRT,70.61,0.0422,35.46,29.91,27.39,1.0921,0.7724,0.8435,,,,,,
2025-05-09,XRT,69.78,0.0422,33.89,29.87,27.13,1.1011,0.8004,0.8813,,,,,,
2025-05-12,XRT,73.92,0.0428,23.57,23.11,21.1,1.0952,0.8952,0.9804,,,,,,
2025-05-13,XRT,73.88,0.0428,26.47,19.34,21.8,0.8871,0.8233,0.7304,,,,,,
2025-05-14,XRT,73.7,0.0428,30.83,21.35,24.05,0.8878,0.78,0.6925,,,,,,
2025-05-15,XRT,74.84,0.0426,21.75,23.11,21.19,1.0907,0.9744,1.0627,,,,,,
2025-05-16,XRT,75.82,0.0424,26.58,19.42,22.12,0.8782,0.832,0.7307,,,,,,
2025-05-19,XRT,75.62,0.0424,24.81,21.92,20.55,1.0668,0.8283,0.8836,,,,,,
2025-05-20,XRT,75.9,0.0425,24.41,21.23,22.03,0.9639,0.9025,0.87,,,,,,
2025-05-21,XRT,73.57,0.0424,30.01,22.87,26.23,0.872,0.8739,0.762,,,,,,
2025-05-22,XRT,74.89,0.0423,26.9,33.94,25.6,1.3254,0.9518,1.2614,,,,,,
2025-05-23,XRT,74.05,0.0423,27.58,27.29,21.13,1.2918,0.7659,0.9894,,,,,,
2025-05-27,XRT,75.77,0.042,26.29,24.82,24.67,1.0062,0.9382,0.944,,,,,,
