date,Ticker,IV30,Skew_1M_25D
2026-02-03,EWY,48.62,7.91
2026-02-04,EWY,55.29,-1.52
2026-02-05,EWY,50.95,6.24
2026-02-06,EWY,46.51,5.7
2026-02-09,EWY,44.07,8.72
2026-02-10,EWY,44.28,2.94
2026-02-11,EWY,39.78,3.54
2026-02-12,EWY,52.9,-2.08
2026-02-13,EWY,44.18,2.77
2026-02-17,EWY,56.91,5.27
2026-02-18,EWY,54.16,6.16
2026-02-19,EWY,46.82,2.59
2026-02-20,EWY,53.5,2.88
2026-02-23,EWY,55.78,4.72
2026-02-24,EWY,54.16,5.15
2026-02-25,EWY,55.6,3.53
2026-02-26,EWY,64.5,14.46
2026-02-27,EWY,53.22,9.95
2026-03-02,EWY,57.85,7.26
2026-03-03,EWY,53.41,9.74
2026-03-04,EWY,79.61,2.35
2026-03-05,EWY,84.89,16.23
2026-03-06,EWY,83.64,10.21
2026-03-09,EWY,45.58,29.72
2026-03-10,EWY,84.85,3.55
2026-03-11,EWY,64.63,12.17
2026-03-12,EWY,81.95,1.31
2026-03-13,EWY,66.46,7.21
2026-03-16,EWY,61.56,9.29
2026-03-17,EWY,59.4,7.03
2026-03-18,EWY,61.08,9.12
2026-03-19,EWY,56.8,8.38
2026-03-20,EWY,61.76,7.53
