date,Ticker,IV30,Skew_1M_25D
2026-01-30,SPY,13.82,6.11
2026-02-02,SPY,13.78,5.22
2026-02-03,SPY,14.93,8.04
2026-02-04,SPY,16.1,5.36
2026-02-05,SPY,18.28,5.17
2026-02-06,SPY,14.96,6.36
2026-02-09,SPY,14.29,5.32
2026-02-10,SPY,14.73,5.64
2026-02-11,SPY,14.56,6.04
2026-02-12,SPY,17.24,6.45
2026-02-13,SPY,16.53,8.61
2026-02-17,SPY,16.06,7.99
2026-02-18,SPY,15.42,8.12
2026-02-19,SPY,16.13,8.77
2026-02-20,SPY,14.95,8.3
2026-02-23,SPY,16.62,9.44
2026-02-24,SPY,14.77,8.96
2026-02-25,SPY,13.28,7.92
2026-02-26,SPY,13.47,8.57
2026-02-27,SPY,14.21,4.34
2026-03-02,SPY,15.24,4.39
2026-03-03,SPY,17.03,11.67
2026-03-04,SPY,15.62,9.57
2026-03-05,SPY,16.59,11.62
2026-03-06,SPY,21.17,13.46
2026-03-09,SPY,17.66,11.17
2026-03-10,SPY,18.74,7.48
2026-03-11,SPY,17.75,10.35
2026-03-12,SPY,21.19,8.63
2026-03-13,SPY,21.11,9.26
2026-03-16,SPY,18.49,9.15
2026-03-17,SPY,17.13,9.3
2026-03-18,SPY,19.03,10.8
2026-03-19,SPY,19.65,8.95
2026-03-20,SPY,23.75,7.02
